entidad,caclog1,caclog2,caclog3,caclog4,caclog5,caclog6,caclog7,caclog8,caclog9
"01","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"02","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"03","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"04","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"05","95.79","1.35","2.85",".01","0","0","0","0","0"
"06","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"07","96.87",".36","2.77","0","0","0","0","0","0"
"08","97.23","1.84",".91","0",".02","0","0","0","0"
"09","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","69","24","2","0","5","0","0","0","0"
"11","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30","89.91",".98","7.5",".21",".81",".59","0","0","0"
"31","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"32","NA","NA","NA","NA","NA","NA","NA","NA","NA"
