entidad,predelit,apiciatt,apicia1,apicia2
"01",1,"22765","7915","14850"
"01",2,"72","31","41"
"01",3,"5","0","5"
"02",1,"97103","22559","74544"
"02",2,"265","265","0"
"02",3,"0","0","0"
"03",1,"24450","5002","19448"
"03",2,"156","20","136"
"03",3,"973","107","866"
"04",1,"1994","331","1663"
"04",2,"40","2","38"
"04",3,"0","0","0"
"05",1,"50157","4564","45593"
"05",2,"19","1","18"
"05",3,"2917","0","2917"
"06",1,"10286","2093","8193"
"06",2,"591","342","249"
"06",3,"0","0","0"
"07",1,"21750","1434","20316"
"07",2,"439","29","410"
"07",3,"0","0","0"
"08",1,"57020","NA","57020"
"08",2,"882","NA","882"
"08",3,"NSS","NA","NSS"
"09",1,"177894","39625","138269"
"09",2,"1826","890","936"
"09",3,"0","0","0"
"10",1,"31938","370","31568"
"10",2,"245","0","245"
"10",3,"0","0","0"
"11",1,"105077","14197","90880"
"11",2,"714","38","676"
"11",3,"0","0","0"
"12",1,"36561","11510","25051"
"12",2,"0","0","0"
"12",3,"0","0","0"
"13",1,"33031","2988","30043"
"13",2,"51","4","47"
"13",3,"0","0","0"
"14",1,"104291","35249","69042"
"14",2,"749","240","509"
"14",3,"1669","1022","647"
"15",1,"221760","NA","221760"
"15",2,"0","NA","0"
"15",3,"0","NA","0"
"16",1,"36375","2596","33779"
"16",2,"270","40","230"
"16",3,"0","0","0"
"17",1,"44643","NA","44643"
"17",2,"1343","NA","1343"
"17",3,"1205","NA","1205"
"18",1,"3597","1905","1692"
"18",2,"49","17","32"
"18",3,"0","0","0"
"19",1,"84746","173","84573"
"19",2,"0","0","0"
"19",3,"0","0","0"
"20",1,"33817","8234","25583"
"20",2,"418","79","339"
"20",3,"0","0","0"
"21",1,"48036","21636","26400"
"21",2,"604","345","259"
"21",3,"2421","1007","1414"
"22",1,"42535","13051","29484"
"22",2,"318","113","205"
"22",3,"2364","0","2364"
"23",1,"18408","2021","16387"
"23",2,"13","0","13"
"23",3,"0","0","0"
"24",1,"28503","5028","23475"
"24",2,"0","0","0"
"24",3,"0","0","0"
"25",1,"23253","7819","15434"
"25",2,"145","35","110"
"25",3,"620","232","388"
"26",1,"38887","10513","28374"
"26",2,"511","163","348"
"26",3,"0","0","0"
"27",1,"59434","14233","45201"
"27",2,"0","0","0"
"27",3,"0","0","0"
"28",1,"45699","11497","34202"
"28",2,"133","35","98"
"28",3,"0","0","0"
"29",1,"6515","3120","3395"
"29",2,"35","19","16"
"29",3,"0","0","0"
"30",1,"50011","8258","41753"
"30",2,"425","57","368"
"30",3,"6345","920","5425"
"31",1,"34288","NA","34288"
"31",2,"56","NA","56"
"31",3,"2145","NA","2145"
"32",1,"17001","445","16556"
"32",2,"110","4","106"
"32",3,"0","0","0"
