entidad,alfabeti,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"141","130","11","NSS","NSS"
"01",2,"1169","1024","145","NSS","NSS"
"01",3,"NSS","0","0","NSS","NSS"
"02",1,"8761","3635","237","4495","394"
"02",2,"144","47","3","90","4"
"02",3,"940","262","39","567","72"
"03",1,"221","NSS","NSS","199","22"
"03",2,"2","NSS","NSS","2","NSS"
"03",3,"1862","1458","180","206","18"
"04",1,"192","88","32","64","8"
"04",2,"6","3","NSS","3","0"
"04",3,"70","37","16","17","0"
"05",1,"1693","268","22","1299","104"
"05",2,"26","3","NSS","23","NSS"
"05",3,"203","22","7","158","16"
"06",1,"347","309","38","0","0"
"06",2,"8","8","NSS","0","0"
"06",3,"42","32","10","0","0"
"07",1,"1270","482","34","703","51"
"07",2,"80","44","8","28","NSS"
"07",3,"1198","704","101","362","31"
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS"
"08",3,"9997","NSS","NSS","8931","1066"
"09",1,"5528","4722","480","237","89"
"09",2,"83","71","6","4","2"
"09",3,"7988","1763","451","4803","971"
"10",1,"3152","28","5","2738","381"
"10",2,"132","NSS","NSS","98","34"
"10",3,"908","63","13","716","116"
"12",1,"1451","1077","152","195","27"
"12",2,"72","53","6","12","1"
"12",3,"1192","917","187","82","6"
"13",1,"2100","1195","236","598","71"
"13",2,"61","40","7","12","2"
"13",3,"1215","796","156","230","33"
"14",1,"3060","2477","252","306","25"
"14",2,"70","60","5","5","NSS"
"14",3,"1489","1235","174","74","6"
"15",1,"9711","NSS","NSS","8806","905"
"15",2,"247","NSS","NSS","216","31"
"15",3,"10109","3928","373","5093","715"
"16",1,"3279","1695","266","1191","127"
"16",2,"1423","1214","142","59","8"
"16",3,"2320","1514","260","461","85"
"17",1,"533","0","0","461","72"
"17",2,"7","0","0","5","2"
"17",3,"384","0","0","338","46"
"18",1,"2243","1034","130","1002","77"
"18",2,"66","39","3","24","NSS"
"18",3,"1008","688","127","180","13"
"19",1,"6815","1069","122","5042","582"
"19",2,"NSS","NSS","NSS","NSS","NSS"
"19",3,"894","229","7","564","94"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"3882","1121","244","2240","277"
"21",1,"2051","1301","172","533","45"
"21",2,"113","15","1","86","11"
"21",3,"3658","734","184","2433","307"
"22",1,"999","517","75","373","34"
"22",2,"16","1","NSS","12","3"
"22",3,"453","143","38","254","18"
"23",1,"909","346","55","476","32"
"23",2,"28","8","NSS","20","NSS"
"23",3,"354","151","24","168","11"
"24",1,"1116","998","118","NSS","NSS"
"24",2,"108","105","3","NSS","NSS"
"24",3,"529","81","2","421","25"
"25",1,"7","NSS","NSS","7","NSS"
"25",2,"631","NSS","NSS","591","40"
"25",3,"395","NSS","NSS","363","32"
"26",1,"5057","3887","359","764","47"
"26",2,"95","68","4","23","NSS"
"26",3,"1510","1196","192","108","14"
"27",1,"1861","822","97","539","403"
"27",2,"62","24","2","23","13"
"27",3,"1218","299","26","679","214"
"28",1,"599","531","32","31","5"
"28",2,"67","36","3","22","6"
"28",3,"2091","1106","254","627","104"
"29",1,"727","509","74","127","17"
"29",2,"7","5","2","NSS","NSS"
"29",3,"199","137","44","16","2"
"30",1,"2294","1271","248","678","97"
"30",2,"125","66","10","46","3"
"30",3,"1451","615","123","615","98"
"31",1,"845","221","36","525","63"
"31",2,"26","2","NSS","21","3"
"31",3,"270","105","22","133","10"
"32",1,"1492","358","97","900","137"
"32",2,"39","13","3","20","3"
"32",3,"1249","577","240","370","62"
