entidad,rangedad,sexostt,sexos1,sexos2,sexosne
"01",1,"NSS","NSS","NSS",""
"01",2,"NSS","NSS","NSS",""
"01",3,"NSS","NSS","NSS",""
"01",4,"NSS","NSS","NSS",""
"01",5,"NSS","NSS","NSS",""
"01",6,"NSS","NSS","NSS",""
"01",7,"NSS","NSS","NSS",""
"01",8,"NSS","NSS","NSS",""
"01",9,"NSS","NSS","NSS",""
"01",10,"NSS","NSS","NSS",""
"02",1,"NSS","NSS","NSS",""
"02",2,"NSS","NSS","NSS",""
"02",3,"NSS","NSS","NSS",""
"02",4,"NSS","NSS","NSS",""
"02",5,"NSS","NSS","NSS",""
"02",6,"NSS","NSS","NSS",""
"02",7,"NSS","NSS","NSS",""
"02",8,"NSS","NSS","NSS",""
"02",9,"NSS","NSS","NSS",""
"02",10,"NSS","NSS","NSS",""
"03",1,"87","81","6",""
"03",2,"76","69","7",""
"03",3,"71","63","8",""
"03",4,"61","54","7",""
"03",5,"32","31","1",""
"03",6,"22","21","1",""
"03",7,"13","12","1",""
"03",8,"6","4","2",""
"03",9,"8","8","0",""
"03",10,"0","0","0",""
"04",1,"NSS","NSS","NSS",""
"04",2,"NSS","NSS","NSS",""
"04",3,"NSS","NSS","NSS",""
"04",4,"NSS","NSS","NSS",""
"04",5,"NSS","NSS","NSS",""
"04",6,"NSS","NSS","NSS",""
"04",7,"NSS","NSS","NSS",""
"04",8,"NSS","NSS","NSS",""
"04",9,"NSS","NSS","NSS",""
"04",10,"NSS","NSS","NSS",""
"05",1,"52","51","1",""
"05",2,"55","54","1",""
"05",3,"16","11","5",""
"05",4,"11","5","6",""
"05",5,"9","8","1",""
"05",6,"2","2","0",""
"05",7,"1","0","1",""
"05",8,"2","2","0",""
"05",9,"0","0","0",""
"05",10,"800","730","70",""
"06",1,"NSS","NSS","NSS",""
"06",2,"NSS","NSS","NSS",""
"06",3,"NSS","NSS","NSS",""
"06",4,"NSS","NSS","NSS",""
"06",5,"NSS","NSS","NSS",""
"06",6,"NSS","NSS","NSS",""
"06",7,"NSS","NSS","NSS",""
"06",8,"NSS","NSS","NSS",""
"06",9,"NSS","NSS","NSS",""
"06",10,"NSS","NSS","NSS",""
"07",1,"NSS","NSS","NSS",""
"07",2,"NSS","NSS","NSS",""
"07",3,"NSS","NSS","NSS",""
"07",4,"NSS","NSS","NSS",""
"07",5,"NSS","NSS","NSS",""
"07",6,"NSS","NSS","NSS",""
"07",7,"NSS","NSS","NSS",""
"07",8,"NSS","NSS","NSS",""
"07",9,"NSS","NSS","NSS",""
"07",10,"NSS","NSS","NSS",""
"08",1,"NSS","NSS","NSS",""
"08",2,"NSS","NSS","NSS",""
