entidad,particip,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"56","51","5","NSS","NSS"
"01",2,"74","69","5","NSS","NSS"
"01",3,"11","10","1","NSS","NSS"
"01",4,"4","4","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"2","NSS","2","NSS","NSS"
"01",10,"1163","1020","143","NSS","NSS"
"02",1,"2835","1059","75","1610","91"
"02",2,"2061","1955","106","0","0"
"02",3,"904","79","16","709","100"
"02",4,"171","150","16","5","0"
"02",5,"0","0","0","0","0"
"02",6,"16","9","2","5","0"
"02",7,"0","0","0","0","0"
"02",8,"0","0","0","0","0"
"02",9,"152","139","11","1","1"
"02",10,"3706","553","53","2822","278"
"03",1,"12","NSS","NSS","11","1"
"03",2,"309","NSS","NSS","279","30"
"03",3,"62","NSS","NSS","55","7"
"03",4,"1","NSS","NSS","1","0"
"03",5,"NSS","NSS","NSS","0","0"
"03",6,"NSS","NSS","NSS","0","0"
"03",7,"NSS","NSS","NSS","0","0"
"03",8,"NSS","NSS","NSS","0","0"
"03",9,"2","NSS","NSS","2","0"
"03",10,"1699","1458","180","59","2"
"04",1,"31","16","7","6","2"
"04",2,"102","47","16","39","0"
"04",3,"59","32","11","14","2"
"04",4,"21","7","0","13","1"
"04",5,"1","1","0","0","0"
"04",6,"15","9","5","1","0"
"04",7,"0","0","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"3","2","0","1","0"
"04",10,"36","14","9","10","3"
"05",1,"16","3","0","12","1"
"05",2,"1470","190","14","1185","81"
"05",3,"186","70","5","97","14"
"05",4,"1","1","0","0","0"
"05",5,"1","1","0","0","0"
"05",6,"7","5","0","2","0"
"05",7,"1","0","0","1","0"
"05",8,"0","0","0","0","0"
"05",9,"14","5","3","5","1"
"05",10,"226","18","7","178","23"
"06",1,"20","19","1","0","0"
"06",2,"307","276","31","0","0"
"06",3,"7","7","0","0","0"
"06",4,"4","4","0","0","0"
"06",5,"0","0","0","0","0"
"06",6,"4","3","1","0","0"
"06",7,"1","1","0","0","0"
"06",8,"0","0","0","0","0"
"06",9,"8","5","3","0","0"
"06",10,"46","34","12","0","0"
"07",1,"105","54","6","45","0"
"07",2,"1030","455","38","503","34"
"07",3,"373","199","23","143","8"
"07",4,"31","23","0","7","1"
"07",5,"0","0","0","0","0"
"07",6,"7","6","0","1","0"
"07",7,"1","1","0","0","0"
"07",8,"4","0","0","4","0"
"07",9,"13","5","1","5","2"
"07",10,"984","487","75","385","37"
"08",1,"NSS","NSS","NSS","0","0"
"08",2,"9997","NSS","NSS","8931","1066"
"08",3,"NSS","NSS","NSS","0","0"
"08",4,"NSS","NSS","NSS","0","0"
"08",5,"NSS","NSS","NSS","0","0"
"08",6,"NSS","NSS","NSS","0","0"
"08",7,"NSS","NSS","NSS","0","0"
"08",8,"NSS","NSS","NSS","0","0"
"08",9,"NSS","NSS","NSS","0","0"
"08",10,"NSS","NSS","NSS","0","0"
"09",1,"339","315","24","NSS","NSS"
"09",2,"2261","2152","109","NSS","NSS"
"09",3,"1016","918","98","NSS","NSS"
"09",4,"5","5","0","NSS","NSS"
"09",5,"1","0","1","NSS","NSS"
"09",6,"12","11","1","NSS","NSS"
"09",7,"1","1","0","NSS","NSS"
"09",8,"0","0","0","NSS","NSS"
"09",9,"2","1","1","NSS","NSS"
"09",10,"9962","3153","703","5044","1062"
"10",1,"511","1","1","476","33"
"10",2,"2125","23","5","1832","265"
"10",3,"550","13","0","433","104"
"10",4,"280","10","0","255","15"
"10",5,"2","0","0","2","0"
"10",6,"9","0","0","8","1"
"10",7,"1","0","0","1","0"
"10",8,"0","0","0","0","0"
"10",9,"5","1","1","3","0"
"10",10,"709","43","11","542","113"
"12",1,"283","222","30","29","2"
"12",2,"1050","812","99","126","13"
"12",3,"298","180","43","64","11"
"12",4,"24","16","3","5","0"
"12",5,"0","0","0","0","0"
"12",6,"17","11","1","3","2"
"12",7,"4","3","1","0","0"
"12",8,"1","0","0","1","0"
"12",9,"25","20","2","3","0"
"12",10,"1013","783","166","58","6"
"13",1,"403","216","32","136","19"
"13",2,"2076","1315","224","491","46"
"13",3,"796","454","134","182","26"
"13",4,"30","15","0","13","2"
"13",5,"0","0","0","0","0"
"13",6,"24","16","5","2","1"
