entidad,rangedad,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"41","37","4","NSS","NSS"
"01",2,"41","37","4","NSS","NSS"
"01",3,"21","21","NSS","NSS","NSS"
"01",4,"15","14","1","NSS","NSS"
"01",5,"14","12","2","NSS","NSS"
"01",6,"6","6","NSS","NSS","NSS"
"01",7,"6","6","NSS","NSS","NSS"
"01",8,"2","1","1","NSS","NSS"
"01",9,"1","NSS","1","NSS","NSS"
"01",10,"1163","1020","143","NSS","NSS"
"02",1,"2211","822","51","1237","101"
"02",2,"1802","652","41","1011","98"
"02",3,"1559","592","36","854","77"
"02",4,"1392","555","34","740","63"
"02",5,"1052","485","26","495","46"
"02",6,"662","311","21","305","25"
"02",7,"319","134","10","158","17"
"02",8,"174","76","8","81","9"
"02",9,"151","43","7","92","9"
"02",10,"523","274","45","179","25"
"03",1,"150","47","6","90","7"
"03",2,"158","75","6","69","8"
"03",3,"152","73","7","67","5"
"03",4,"143","77","9","50","7"
"03",5,"72","41","3","24","4"
"03",6,"60","38","2","19","1"
"03",7,"41","19","5","14","3"
"03",8,"11","8","1","2","0"
"03",9,"26","15","3","8","0"
"03",10,"1272","1065","138","64","5"
"04",1,"38","18","1","19","0"
"04",2,"23","11","1","10","1"
"04",3,"17","8","1","6","2"
"04",4,"25","10","6","9","0"
"04",5,"14","6","2","4","2"
"04",6,"12","7","3","2","0"
"04",7,"21","5","4","10","2"
"04",8,"7","2","2","3","0"
"04",9,"12","7","1","3","1"
"04",10,"99","54","27","18","0"
"05",1,"539","72","3","435","29"
"05",2,"342","61","3","255","23"
"05",3,"267","41","6","208","12"
"05",4,"217","35","1","169","12"
"05",5,"149","21","3","119","6"
"05",6,"91","16","1","68","6"
"05",7,"56","10","3","36","7"
"05",8,"41","5","1","28","7"
"05",9,"35","7","1","22","5"
"05",10,"185","25","7","140","13"
"06",1,"60","53","7","0","0"
"06",2,"53","49","4","0","0"
"06",3,"67","58","9","0","0"
"06",4,"55","51","4","0","0"
"06",5,"43","39","4","0","0"
"06",6,"36","32","4","0","0"
"06",7,"17","13","4","0","0"
"06",8,"5","5","0","0","0"
"06",9,"18","16","2","0","0"
"06",10,"43","33","10","0","0"
"07",1,"304","82","4","206","12"
"07",2,"253","84","2","161","6"
"07",3,"230","71","9","147","3"
"07",4,"205","83","5","108","9"
"07",5,"169","67","10","86","6"
"07",6,"104","44","0","53","7"
"07",7,"64","20","3","34","7"
"07",8,"43","21","2","18","2"
"07",9,"44","20","2","20","2"
"07",10,"1132","738","106","260","28"
"08",1,"984","NSS","NSS","919","65"
"08",2,"1098","NSS","NSS","1012","86"
"08",3,"947","NSS","NSS","866","81"
"08",4,"801","NSS","NSS","730","71"
"08",5,"636","NSS","NSS","578","58"
"08",6,"488","NSS","NSS","437","51"
"08",7,"249","NSS","NSS","223","26"
"08",8,"160","NSS","NSS","147","13"
"08",9,"140","NSS","NSS","126","14"
"08",10,"4494","NSS","NSS","3893","601"
"09",1,"2799","1702","157","734","206"
"09",2,"1777","1081","103","452","141"
"09",3,"1563","899","134","455","75"
"09",4,"1307","833","111","297","66"
"09",5,"1094","682","112","251","49"
"09",6,"746","445","88","173","40"
"09",7,"466","289","64","93","20"
"09",8,"311","200","43","59","9"
"09",9,"282","185","47","42","8"
"09",10,"3254","240","78","2488","448"
"10",1,"744","2","0","661","81"
"10",2,"544","2","2","484","56"
"10",3,"519","6","1","452","60"
"10",4,"436","7","0","386","43"
"10",5,"318","3","0","286","29"
"10",6,"218","2","0","179","37"
"10",7,"160","2","0","114","44"
"10",8,"79","3","1","69","6"
"10",9,"94","3","1","68","22"
"10",10,"1080","61","13","853","153"
"12",1,"315","214","28","65","8"
"12",2,"237","177","17","39","4"
"12",3,"197","150","17","28","2"
"12",4,"181","135","20","21","5"
"12",5,"129","105","9","13","2"
"12",6,"118","85","19","12","2"
"12",7,"71","53","12","5","1"
"12",8,"72","50","11","10","1"
"12",9,"83","60","10","11","2"
"12",10,"1312","1018","202","85","7"
"13",1,"416","182","14","201","19"
"13",2,"351","177","28","128","18"
"13",3,"358","211","29","101","17"
"13",4,"350","219","47","72","12"
"13",5,"243","150","30","56","7"
"13",6,"191","118","24","45","4"
"13",7,"127","80","21","23","3"
"13",8,"103","63","26","12","2"
"13",9,"132","89","19","24","0"
"13",10,"1105","742","161","178","24"
"14",1,"789","640","50","93","6"
"14",2,"558","433","45","73","7"
"14",3,"464","384","29","49","2"
"14",4,"333","265","28","36","4"
"14",5,"271","210","23","35","3"
"14",6,"150","118","20","10","2"
"14",7,"98","77","11","8","2"
"14",8,"50","43","3","3","1"
"14",9,"97","81","8","8","0"
"14",10,"1809","1521","214","70","4"
"15",1,"2587","125","4","2286","172"
"15",2,"1636","65","0","1432","139"
"15",3,"1386","51","2","1220","113"
"15",4,"977","46","3","849","79"
"15",5,"730","20","5","633","72"
"15",6,"445","23","0","377","45"
"15",7,"286","7","2","243","34"
"15",8,"116","4","2","90","20"
"15",9,"7970","7","1","6985","977"
"15",10,"3934","3580","354","0","0"
"16",1,"896","421","61","375","39"
"16",2,"672","379","49","223","21"
"16",3,"558","307","51","185","15"
"16",4,"556","320","46","171","19"
"16",5,"405","258","46","96","5"
"16",6,"257","164","34","51","8"
"16",7,"189","118","31","37","3"
"16",8,"169","90","16","24","39"
"16",9,"196","136","22","32","6"
"16",10,"3124","2230","312","517","65"
"17",1,"131","0","0","119","12"
"17",2,"88","0","0","82","6"
