entidad,dom_espa,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"1310","1154","156","NSS","NSS"
"01",2,"NSS","0","0","NSS","NSS"
"01",3,"NSS","0","0","NSS","NSS"
"02",1,"9136","3687","233","4795","421"
"02",2,"50","14","NSS","30","6"
"02",3,"659","243","46","327","43"
"03",1,"379","NSS","NSS","341","38"
"03",2,"1","NSS","NSS","1","NSS"
"03",3,"1705","1458","180","65","2"
"04",1,"207","96","33","70","8"
"04",2,"NSS","NSS","NSS","NSS","0"
"04",3,"61","32","15","14","0"
"05",1,"1694","266","23","1302","103"
"05",2,"13","1","NSS","12","NSS"
"05",3,"215","26","6","166","17"
"06",1,"352","313","39","0","0"
"06",2,"1","1","NSS","0","0"
"06",3,"44","35","9","0","0"
"07",1,"1382","526","35","767","54"
"07",2,"55","28","4","23","NSS"
"07",3,"1111","676","104","303","28"
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS"
"08",3,"9997","NSS","NSS","8931","1066"
"09",1,"5716","4839","486","297","94"
"09",2,"12","8","3","1","0"
"09",3,"7871","1709","448","4746","968"
"10",1,"3260","42","6","2830","382"
"10",2,"135","1","NSS","102","32"
"10",3,"797","48","12","620","117"
"12",1,"1527","1139","162","199","27"
"12",2,"30","21","5","4","NSS"
"12",3,"1158","887","178","86","7"
"13",1,"2238","1250","244","662","82"
"13",2,"43","30","8","4","1"
"13",3,"1095","751","147","174","23"
"14",1,"3151","2542","260","322","27"
"14",2,"14","10","2","2","NSS"
"14",3,"1454","1220","169","61","4"
"15",1,"10824","NSS","NSS","9781","1043"
"15",2,"75","NSS","NSS","66","9"
"15",3,"9168","3928","373","4268","599"
"16",1,"4596","3006","486","1001","103"
"16",2,"1637","1417","182","33","5"
"16",3,"789","0","0","677","112"
"17",1,"922","0","0","802","120"
"17",2,"2","0","0","2","0"
"17",3,"0","0","0","0","0"
"18",1,"2303","1085","130","1010","78"
"18",2,"29","18","7","4","NSS"
"18",3,"985","658","123","192","12"
"19",1,"5812","190","21","5027","574"
"19",2,"1216","1108","108","NSS","NSS"
"19",3,"681","0","0","579","102"
"20",1,"2502","299","51","1959","193"
"20",2,"NSS","NSS","NSS","0","0"
"20",3,"1380","822","193","281","84"
"21",1,"2398","1375","183","756","84"
"21",2,"98","10","1","80","7"
"21",3,"3326","665","173","2216","272"
"22",1,"1149","526","78","497","48"
"22",2,"7","2","NSS","5","NSS"
"22",3,"312","133","35","137","7"
"23",1,"950","356","50","509","35"
"23",2,"12","5","1","6","NSS"
"23",3,"329","144","28","149","8"
"24",1,"1223","1102","121","NSS","NSS"
"24",2,"14","13","1","NSS","NSS"
"24",3,"516","69","1","421","25"
"25",1,"NSS","NSS","NSS","NSS","NSS"
"25",2,"NSS","NSS","NSS","NSS","NSS"
"25",3,"1033","NSS","NSS","961","72"
"26",1,"5836","4534","443","810","49"
"26",2,"8","5","1","1","1"
"26",3,"818","612","111","84","11"
"27",1,"1875","836","97","539","403"
"27",2,"961","26","6","702","227"
"27",3,"305","283","22","0","0"
"28",1,"638","567","35","31","5"
"28",2,"32","4","NSS","22","6"
"28",3,"2087","1102","254","627","104"
"29",1,"756","524","88","127","17"
"29",2,"8","8","NSS","NSS","NSS"
"29",3,"169","119","32","16","2"
"30",1,"2672","1457","265","829","121"
"30",2,"21","11","1","8","1"
"30",3,"1177","484","115","502","76"
"31",1,"907","220","34","585","68"
"31",2,"7","NSS","NSS","6","1"
"31",3,"227","108","24","88","7"
"32",1,"2477","921","336","1058","162"
"32",2,"5","NSS","NSS","3","2"
"32",3,"298","27","4","229","38"
