entidad,gdo_estu,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"4","3","1","NSS","NSS"
"01",2,"34","32","2","NSS","NSS"
"01",3,"67","63","4","NSS","NSS"
"01",4,"38","32","6","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"3","3","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"1","1","NSS","NSS","NSS"
"01",9,"1163","1020","143","NSS","NSS"
"02",1,"249","132","9","105","3"
"02",2,"2360","1061","64","1161","74"
"02",3,"4084","1679","93","2138","174"
"02",4,"1828","694","50","977","107"
"02",5,"0","0","0","0","0"
"02",6,"417","112","21","237","47"
"02",7,"20","6","0","11","3"
"02",8,"1","1","0","0","0"
"02",9,"886","259","42","523","62"
"03",1,"6","NSS","NSS","6","0"
"03",2,"226","NSS","NSS","208","18"
"03",3,"97","NSS","NSS","84","13"
"03",4,"43","NSS","NSS","37","6"
"03",5,"NSS","NSS","NSS","0","0"
"03",6,"1","NSS","NSS","1","0"
"03",7,"NSS","NSS","NSS","0","0"
"03",8,"NSS","NSS","NSS","0","0"
"03",9,"1712","1458","180","71","3"
"04",1,"9","3","0","6","0"
"04",2,"61","18","6","33","4"
"04",3,"44","26","8","8","2"
"04",4,"34","16","4","13","1"
"04",5,"0","0","0","0","0"
"04",6,"17","10","4","3","0"
"04",7,"1","1","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"102","54","26","21","1"
"05",1,"26","0","0","23","3"
"05",2,"1163","104","5","982","72"
"05",3,"381","107","4","249","21"
"05",4,"125","42","6","68","9"
"05",5,"0","0","0","0","0"
"05",6,"17","11","5","1","0"
"05",7,"3","3","0","0","0"
"05",8,"0","0","0","0","0"
"05",9,"207","26","9","157","15"
"06",1,"14","14","0","0","0"
"06",2,"104","97","7","0","0"
"06",3,"139","125","14","0","0"
"06",4,"58","50","8","0","0"
"06",5,"0","0","0","0","0"
"06",6,"30","21","9","0","0"
"06",7,"2","2","0","0","0"
"06",8,"2","2","0","0","0"
"06",9,"48","38","10","0","0"
"07",1,"105","54","8","43","0"
"07",2,"633","172","14","419","28"
"07",3,"326","171","10","133","12"
"07",4,"191","76","5","104","6"
"07",5,"0","0","0","0","0"
"07",6,"41","30","3","7","1"
"07",7,"5","1","0","4","0"
"07",8,"1","0","1","0","0"
"07",9,"1246","726","102","383","35"
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS","NSS"
"08",7,"NSS","NSS","NSS","NSS","NSS"
"08",8,"NSS","NSS","NSS","NSS","NSS"
"08",9,"9997","NSS","NSS","8931","1066"
"09",1,"100","89","5","3","3"
"09",2,"1124","1012","103","9","0"
"09",3,"2507","2266","196","32","13"
"09",4,"1332","1050","98","138","46"
"09",5,"207","74","21","92","20"
"09",6,"362","290","52","12","8"
"09",7,"32","25","5","2","0"
"09",8,"NSS","NSS","NSS","NSS","NSS"
"09",9,"7935","1750","457","4756","972"
"10",1,"68","0","0","63","5"
"10",2,"2211","12","1","1927","271"
"10",3,"577","14","1","514","48"
"10",4,"261","1","0","223","37"
"10",5,"0","0","0","0","0"
"10",6,"25","3","3","13","6"
"10",7,"12","0","0","5","7"
"10",8,"0","0","0","0","0"
"10",9,"1038","61","13","807","157"
"12",1,"74","56","8","9","1"
"12",2,"491","289","33","150","19"
"12",3,"392","317","44","28","3"
"12",4,"263","224","29","6","4"
"12",5,"0","0","0","0","0"
"12",6,"163","133","30","0","0"
"12",7,"3","3","0","0","0"
"12",8,"5","4","1","0","0"
"12",9,"1324","1021","200","96","7"
"13",1,"67","40","10","15","2"
