entidad,fam_ling,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"NSS","NSS","NSS","NSS","NSS"
"01",11,"NSS","NSS","NSS","NSS","NSS"
"01",12,"NSS","NSS","NSS","NSS","NSS"
"01",13,"NSS","NSS","NSS","NSS","NSS"
"01",14,"NSS","NSS","NSS","NSS","NSS"
"01",15,"1310","1154","156","NSS","NSS"
"02",1,"3378","3165","213","NSS","NSS"
"02",2,"NSS","0","NSS","NSS","NSS"
"02",3,"NSS","0","NSS","NSS","NSS"
"02",4,"NSS","0","NSS","NSS","NSS"
"02",5,"NSS","0","NSS","NSS","NSS"
"02",6,"NSS","0","NSS","NSS","NSS"
"02",7,"NSS","0","NSS","NSS","NSS"
"02",8,"NSS","0","NSS","NSS","NSS"
"02",9,"NSS","0","NSS","NSS","NSS"
"02",10,"NSS","0","NSS","NSS","NSS"
"02",11,"NSS","0","NSS","NSS","NSS"
"02",12,"NSS","0","NSS","NSS","NSS"
"02",13,"NSS","0","NSS","NSS","NSS"
"02",14,"1","1","NSS","NSS","NSS"
"02",15,"6466","778","66","5152","470"
"03",1,"381","NSS","NSS","345","36"
"03",2,"NSS","NSS","NSS","0","NSS"
"03",3,"NSS","NSS","NSS","0","NSS"
"03",4,"NSS","NSS","NSS","0","NSS"
"03",5,"NSS","NSS","NSS","0","NSS"
"03",6,"NSS","NSS","NSS","0","NSS"
"03",7,"NSS","NSS","NSS","0","NSS"
"03",8,"NSS","NSS","NSS","0","NSS"
"03",9,"2","NSS","2","0","NSS"
"03",10,"NSS","NSS","NSS","0","NSS"
"03",11,"NSS","NSS","NSS","0","NSS"
"03",12,"NSS","NSS","NSS","0","NSS"
"03",13,"NSS","NSS","NSS","0","NSS"
"03",14,"1","NSS","NSS","1","NSS"
"03",15,"1701","1458","178","61","4"
"04",1,"176","83","18","67","8"
"04",2,"0","0","0","0","0"
"04",3,"0","0","0","0","0"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",6,"0","0","0","0","0"
"04",7,"0","0","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"0","0","0","0","0"
"04",10,"15","3","11","1","0"
"04",11,"0","0","0","0","0"
"04",12,"0","0","0","0","0"
"04",13,"0","0","0","0","0"
"04",14,"0","0","0","0","0"
"04",15,"77","42","19","16","0"
"05",1,"1623","257","21","1253","92"
"05",2,"NSS","NSS","NSS","NSS","NSS"
"05",3,"NSS","NSS","NSS","NSS","NSS"
"05",4,"NSS","NSS","NSS","NSS","NSS"
"05",5,"NSS","NSS","NSS","NSS","NSS"
"05",6,"NSS","NSS","NSS","NSS","NSS"
"05",7,"NSS","NSS","NSS","NSS","NSS"
"05",8,"NSS","NSS","NSS","NSS","NSS"
"05",9,"NSS","NSS","NSS","NSS","NSS"
"05",10,"NSS","NSS","NSS","NSS","NSS"
"05",11,"NSS","NSS","NSS","NSS","NSS"
"05",12,"NSS","NSS","NSS","NSS","NSS"
"05",13,"NSS","NSS","NSS","NSS","NSS"
"05",14,"NSS","NSS","NSS","NSS","NSS"
"05",15,"299","36","8","227","28"
"06",1,"293","261","32","0","0"
"06",2,"NSS","NSS","NSS","0","0"
"06",3,"NSS","NSS","NSS","0","0"
"06",4,"NSS","NSS","NSS","0","0"
"06",5,"NSS","NSS","NSS","0","0"
"06",6,"NSS","NSS","NSS","0","0"
"06",7,"NSS","NSS","NSS","0","0"
"06",8,"NSS","NSS","NSS","0","0"
"06",9,"NSS","NSS","NSS","0","0"
"06",10,"NSS","NSS","NSS","0","0"
"06",11,"NSS","NSS","NSS","0","0"
"06",12,"NSS","NSS","NSS","0","0"
"06",13,"NSS","NSS","NSS","0","0"
"06",14,"NSS","NSS","NSS","0","0"
"06",15,"104","88","16","0","0"
"07",1,"1259","458","32","717","52"
"07",2,"0","0","0","0","0"
"07",3,"0","0","0","0","0"
"07",4,"0","0","0","0","0"
"07",5,"0","0","0","0","0"
"07",6,"0","0","0","0","0"
"07",7,"0","0","0","0","0"
"07",8,"0","0","0","0","0"
"07",9,"6","2","3","1","0"
"07",10,"5","5","0","0","0"
"07",11,"0","0","0","0","0"
"07",12,"0","0","0","0","0"
"07",13,"0","0","0","0","0"
"07",14,"106","55","3","47","1"
"07",15,"1172","710","105","328","29"
"08",1,"9997","NSS","NSS","8931","1066"
"08",2,"NSS","NSS","NSS","0","0"
"08",3,"NSS","NSS","NSS","0","0"
"08",4,"NSS","NSS","NSS","0","0"
"08",5,"NSS","NSS","NSS","0","0"
"08",6,"NSS","NSS","NSS","0","0"
"08",7,"NSS","NSS","NSS","0","0"
"08",8,"NSS","NSS","NSS","0","0"
"08",9,"NSS","NSS","NSS","0","0"
"08",10,"NSS","NSS","NSS","0","0"
"08",11,"NSS","NSS","NSS","0","0"
"08",12,"NSS","NSS","NSS","0","0"
"08",13,"NSS","NSS","NSS","0","0"
"08",14,"NSS","NSS","NSS","0","0"
"08",15,"NSS","NSS","NSS","0","0"
"09",1,"11425","4834","488","5041","1062"
"09",2,"0","0","0","0","0"
"09",3,"3","1","2","0","0"
"09",4,"3","3","0","0","0"
"09",5,"6","6","0","0","0"
"09",6,"0","0","0","0","0"
"09",7,"0","0","0","0","0"
"09",8,"2","0","0","2","0"
"09",9,"1","1","0","0","0"
"09",10,"0","0","0","0","0"
"09",11,"0","0","0","0","0"
"09",12,"1","1","0","0","0"
"09",13,"0","0","0","0","0"
"09",14,"24","22","1","1","0"
"09",15,"2134","1688","446","0","0"
"10",1,"2519","22","4","2177","316"
"10",2,"1","NSS","NSS","1","0"
"10",3,"1","NSS","NSS","0","1"
"10",4,"NSS","NSS","NSS","0","0"
"10",5,"NSS","NSS","NSS","0","0"
"10",6,"NSS","NSS","NSS","0","0"
"10",7,"NSS","NSS","NSS","0","0"
"10",8,"NSS","NSS","NSS","0","0"
"10",9,"NSS","NSS","NSS","0","0"
"10",10,"NSS","NSS","NSS","0","0"
"10",11,"NSS","NSS","NSS","0","0"
"10",12,"NSS","NSS","NSS","0","0"
"10",13,"NSS","NSS","NSS","0","0"
"10",14,"4","NSS","NSS","4","0"
"10",15,"1667","69","14","1370","214"
"12",1,"1484","1097","156","203","28"
"12",2,"NSS","0","0","0","NSS"
"12",3,"NSS","0","0","0","NSS"
"12",4,"NSS","0","0","0","NSS"
"12",5,"NSS","0","0","0","NSS"
"12",6,"NSS","0","0","0","NSS"
"12",7,"5","2","2","1","NSS"
"12",8,"1","1","0","0","NSS"
"12",9,"NSS","0","0","0","NSS"
"12",10,"NSS","0","0","0","NSS"
"12",11,"NSS","0","0","0","NSS"
"12",12,"NSS","0","0","0","NSS"
"12",13,"NSS","0","0","0","NSS"
"12",14,"61","38","8","15","NSS"
"12",15,"1164","909","179","70","6"
"13",1,"3012","1958","385","599","70"
"13",2,"0","0","0","0","0"
"13",3,"0","0","0","0","0"
"13",4,"0","0","0","0","0"
"13",5,"0","0","0","0","0"
"13",6,"0","0","0","0","0"
"13",7,"0","0","0","0","0"
"13",8,"0","0","0","0","0"
"13",9,"0","0","0","0","0"
"13",10,"0","0","0","0","0"
"13",11,"0","0","0","0","0"
"13",12,"0","0","0","0","0"
"13",13,"0","0","0","0","0"
"13",14,"130","73","14","38","5"
"13",15,"234","0","0","203","31"
"14",1,"2983","2517","250","195","21"
"14",2,"NSS","0","NSS","0","NSS"
"14",3,"NSS","0","NSS","0","NSS"
"14",4,"NSS","0","NSS","0","NSS"
"14",5,"NSS","0","NSS","0","NSS"
"14",6,"NSS","0","NSS","0","NSS"
"14",7,"NSS","0","NSS","0","NSS"
"14",8,"NSS","0","NSS","0","NSS"
"14",9,"1","1","NSS","0","NSS"
"14",10,"NSS","0","NSS","0","NSS"
"14",11,"NSS","0","NSS","0","NSS"
"14",12,"NSS","0","NSS","0","NSS"
"14",13,"NSS","0","NSS","0","NSS"
"14",14,"1","0","NSS","1","NSS"
"14",15,"1634","1254","181","189","10"
"15",1,"9676","NSS","NSS","8765","911"
"15",2,"NSS","NSS","NSS","0","0"
"15",3,"NSS","NSS","NSS","0","0"
"15",4,"NSS","NSS","NSS","0","0"
"15",5,"3","NSS","NSS","3","0"
"15",6,"NSS","NSS","NSS","0","0"
"15",7,"NSS","NSS","NSS","0","0"
"15",8,"NSS","NSS","NSS","0","0"
"15",9,"4","NSS","NSS","4","0"
"15",10,"NSS","NSS","NSS","0","0"
"15",11,"NSS","NSS","NSS","0","0"
"15",12,"NSS","NSS","NSS","0","0"
"15",13,"NSS","NSS","NSS","0","0"
"15",14,"20","NSS","NSS","19","1"
"15",15,"10364","3928","373","5324","739"
"16",1,"6154","4403","661","991","99"
"16",2,"NSS","0","0","NSS","NSS"
"16",3,"NSS","0","0","NSS","NSS"
"16",4,"NSS","0","0","NSS","NSS"
"16",5,"NSS","0","0","NSS","NSS"
"16",6,"NSS","0","0","NSS","NSS"
"16",7,"NSS","0","0","NSS","NSS"
"16",8,"NSS","0","0","NSS","NSS"
"16",9,"NSS","0","0","NSS","NSS"
"16",10,"NSS","0","0","NSS","NSS"
"16",11,"NSS","0","0","NSS","NSS"
"16",12,"NSS","0","0","NSS","NSS"
"16",13,"NSS","0","0","NSS","NSS"
"16",14,"27","20","7","NSS","NSS"
"16",15,"841","0","0","720","121"
"17",1,"916","0","0","797","119"
"17",2,"0","0","0","0","0"
"17",3,"0","0","0","0","0"
"17",4,"0","0","0","0","0"
"17",5,"0","0","0","0","0"
"17",6,"0","0","0","0","0"
"17",7,"1","0","0","1","0"
"17",8,"0","0","0","0","0"
"17",9,"0","0","0","0","0"
"17",10,"0","0","0","0","0"
"17",11,"0","0","0","0","0"
"17",12,"0","0","0","0","0"
"17",13,"0","0","0","0","0"
"17",14,"0","0","0","0","0"
"17",15,"7","0","0","6","1"
"18",1,"2328","1108","139","1004","77"
"18",2,"NSS","0","0","0","NSS"
"18",3,"NSS","0","0","0","NSS"
"18",4,"NSS","0","0","0","NSS"
"18",5,"NSS","0","0","0","NSS"
"18",6,"NSS","0","0","0","NSS"
"18",7,"NSS","0","0","0","NSS"
"18",8,"NSS","0","0","0","NSS"
"18",9,"NSS","0","0","0","NSS"
"18",10,"NSS","0","0","0","NSS"
"18",11,"23","21","1","1","NSS"
"18",12,"NSS","0","0","0","NSS"
"18",13,"NSS","0","0","0","NSS"
"18",14,"13","2","1","10","NSS"
"18",15,"953","630","119","191","13"
"19",1,"1455","1298","129","26","2"
"19",2,"5908","0","0","5282","626"
"19",3,"9","0","0","9","0"
"19",4,"0","0","0","0","0"
"19",5,"0","0","0","0","0"
"19",6,"0","0","0","0","0"
"19",7,"0","0","0","0","0"
"19",8,"0","0","0","0","0"
"19",9,"0","0","0","0","0"
"19",10,"0","0","0","0","0"
"19",11,"0","0","0","0","0"
"19",12,"0","0","0","0","0"
"19",13,"0","0","0","0","0"
"19",14,"1","0","0","1","0"
"19",15,"336","0","0","288","48"
"20",1,"1354","1112","242","NSS","NSS"
"20",2,"NSS","0","0","NSS","NSS"
"20",3,"NSS","0","0","NSS","NSS"
"20",4,"NSS","0","0","NSS","NSS"
"20",5,"11","9","2","NSS","NSS"
"20",6,"NSS","0","0","NSS","NSS"
"20",7,"NSS","0","0","NSS","NSS"
"20",8,"NSS","0","0","NSS","NSS"
"20",9,"NSS","0","0","NSS","NSS"
"20",10,"NSS","0","0","NSS","NSS"
"20",11,"NSS","0","0","NSS","NSS"
"20",12,"NSS","0","0","NSS","NSS"
