entidad,nacional,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"147","134","13","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"NSS","NSS","NSS","NSS","NSS"
"01",11,"NSS","NSS","NSS","NSS","NSS"
"01",12,"NSS","NSS","NSS","NSS","NSS"
"01",13,"NSS","NSS","NSS","NSS","NSS"
"01",14,"NSS","NSS","NSS","NSS","NSS"
"01",15,"NSS","NSS","NSS","NSS","NSS"
"01",16,"NSS","NSS","NSS","NSS","NSS"
"01",17,"NSS","NSS","NSS","NSS","NSS"
"01",18,"NSS","NSS","NSS","NSS","NSS"
"01",19,"NSS","NSS","NSS","NSS","NSS"
"01",20,"1163","1020","143","NSS","NSS"
"02",1,"9446","3699","244","5050","453"
"02",2,"138","65","4","57","12"
"02",3,"0","0","0","0","0"
"02",4,"0","0","0","0","0"
"02",5,"0","0","0","0","0"
"02",6,"0","0","0","0","0"
"02",7,"0","0","0","0","0"
"02",8,"0","0","0","0","0"
"02",9,"0","0","0","0","0"
"02",10,"0","0","0","0","0"
"02",11,"0","0","0","0","0"
"02",12,"0","0","0","0","0"
"02",13,"0","0","0","0","0"
"02",14,"0","0","0","0","0"
"02",15,"0","0","0","0","0"
"02",16,"0","0","0","0","0"
"02",17,"1","1","0","0","0"
"02",18,"0","0","0","0","0"
"02",19,"1","1","0","0","0"
"02",20,"259","178","31","45","5"
"03",1,"379","NSS","NSS","342","37"
"03",2,"2","NSS","NSS","2","NSS"
"03",3,"1","NSS","NSS","1","NSS"
"03",4,"NSS","NSS","NSS","0","NSS"
"03",5,"NSS","NSS","NSS","0","NSS"
"03",6,"NSS","NSS","NSS","0","NSS"
"03",7,"NSS","NSS","NSS","0","NSS"
"03",8,"NSS","NSS","NSS","0","NSS"
"03",9,"NSS","NSS","NSS","0","NSS"
"03",10,"NSS","NSS","NSS","0","NSS"
"03",11,"NSS","NSS","NSS","0","NSS"
"03",12,"NSS","NSS","NSS","0","NSS"
"03",13,"NSS","NSS","NSS","0","NSS"
"03",14,"NSS","NSS","NSS","0","NSS"
"03",15,"NSS","NSS","NSS","0","NSS"
"03",16,"1","NSS","NSS","1","NSS"
"03",17,"NSS","NSS","NSS","0","NSS"
"03",18,"NSS","NSS","NSS","0","NSS"
"03",19,"NSS","NSS","NSS","0","NSS"
"03",20,"1702","1458","180","61","3"
"04",1,"211","97","34","72","8"
"04",2,"NSS","NSS","NSS","NSS","0"
"04",3,"NSS","NSS","NSS","NSS","0"
"04",4,"NSS","NSS","NSS","NSS","0"
"04",5,"NSS","NSS","NSS","NSS","0"
"04",6,"NSS","NSS","NSS","NSS","0"
"04",7,"NSS","NSS","NSS","NSS","0"
"04",8,"NSS","NSS","NSS","NSS","0"
"04",9,"NSS","NSS","NSS","NSS","0"
"04",10,"NSS","NSS","NSS","NSS","0"
"04",11,"NSS","NSS","NSS","NSS","0"
"04",12,"NSS","NSS","NSS","NSS","0"
"04",13,"NSS","NSS","NSS","NSS","0"
"04",14,"NSS","NSS","NSS","NSS","0"
"04",15,"NSS","NSS","NSS","NSS","0"
"04",16,"NSS","NSS","NSS","NSS","0"
"04",17,"NSS","NSS","NSS","NSS","0"
"04",18,"NSS","NSS","NSS","NSS","0"
"04",19,"NSS","NSS","NSS","NSS","0"
"04",20,"57","31","14","12","0"
"05",1,"1737","270","22","1340","105"
"05",2,"8","1","NSS","6","1"
"05",3,"NSS","NSS","NSS","NSS","NSS"
"05",4,"NSS","NSS","NSS","NSS","NSS"
"05",5,"NSS","NSS","NSS","NSS","NSS"
"05",6,"NSS","NSS","NSS","NSS","NSS"
"05",7,"NSS","NSS","NSS","NSS","NSS"
"05",8,"NSS","NSS","NSS","NSS","NSS"
"05",9,"NSS","NSS","NSS","NSS","NSS"
"05",10,"NSS","NSS","NSS","NSS","NSS"
"05",11,"NSS","NSS","NSS","NSS","NSS"
"05",12,"NSS","NSS","NSS","NSS","NSS"
"05",13,"NSS","NSS","NSS","NSS","NSS"
"05",14,"NSS","NSS","NSS","NSS","NSS"
"05",15,"NSS","NSS","NSS","NSS","NSS"
"05",16,"NSS","NSS","NSS","NSS","NSS"
"05",17,"NSS","NSS","NSS","NSS","NSS"
"05",18,"NSS","NSS","NSS","NSS","NSS"
"05",19,"NSS","NSS","NSS","NSS","NSS"
"05",20,"177","22","7","134","14"
"06",1,"375","332","43","0","0"
"06",2,"NSS","NSS","NSS","0","0"
"06",3,"NSS","NSS","NSS","0","0"
"06",4,"NSS","NSS","NSS","0","0"
"06",5,"NSS","NSS","NSS","0","0"
"06",6,"NSS","NSS","NSS","0","0"
"06",7,"NSS","NSS","NSS","0","0"
"06",8,"NSS","NSS","NSS","0","0"
"06",9,"NSS","NSS","NSS","0","0"
"06",10,"NSS","NSS","NSS","0","0"
"06",11,"NSS","NSS","NSS","0","0"
"06",12,"NSS","NSS","NSS","0","0"
"06",13,"NSS","NSS","NSS","0","0"
"06",14,"NSS","NSS","NSS","0","0"
"06",15,"NSS","NSS","NSS","0","0"
"06",16,"NSS","NSS","NSS","0","0"
"06",17,"NSS","NSS","NSS","0","0"
"06",18,"NSS","NSS","NSS","0","0"
"06",19,"NSS","NSS","NSS","0","0"
"06",20,"22","17","5","0","0"
"07",1,"1578","589","40","887","62"
"07",2,"1","1","NSS","0","0"
"07",3,"1","0","NSS","0","1"
"07",4,"NSS","0","NSS","0","0"
"07",5,"NSS","0","NSS","0","0"
"07",6,"NSS","0","NSS","0","0"
"07",7,"NSS","0","NSS","0","0"
"07",8,"NSS","0","NSS","0","0"
"07",9,"NSS","0","NSS","0","0"
"07",10,"NSS","0","NSS","0","0"
"07",11,"NSS","0","NSS","0","0"
"07",12,"NSS","0","NSS","0","0"
"07",13,"NSS","0","NSS","0","0"
"07",14,"1","0","NSS","1","0"
"07",15,"NSS","0","NSS","0","0"
"07",16,"NSS","0","NSS","0","0"
"07",17,"NSS","0","NSS","0","0"
"07",18,"NSS","0","NSS","0","0"
"07",19,"NSS","0","NSS","0","0"
"07",20,"967","640","103","205","19"
"08",1,"9997","NSS","NSS","8931","1066"
"08",2,"NSS","NSS","NSS","0","0"
"08",3,"NSS","NSS","NSS","0","0"
"08",4,"NSS","NSS","NSS","0","0"
"08",5,"NSS","NSS","NSS","0","0"
"08",6,"NSS","NSS","NSS","0","0"
"08",7,"NSS","NSS","NSS","0","0"
"08",8,"NSS","NSS","NSS","0","0"
"08",9,"NSS","NSS","NSS","0","0"
"08",10,"NSS","NSS","NSS","0","0"
"08",11,"NSS","NSS","NSS","0","0"
"08",12,"NSS","NSS","NSS","0","0"
"08",13,"NSS","NSS","NSS","0","0"
"08",14,"NSS","NSS","NSS","0","0"
"08",15,"NSS","NSS","NSS","0","0"
"08",16,"NSS","NSS","NSS","0","0"
"08",17,"NSS","NSS","NSS","0","0"
