entidad,ocupacio,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"8","7","1","NSS","NSS"
"01",3,"1","NSS","1","NSS","NSS"
"01",4,"20","16","4","NSS","NSS"
"01",5,"7","6","1","NSS","NSS"
"01",6,"1","1","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"10","10","NSS","NSS","NSS"
"01",9,"49","47","2","NSS","NSS"
"01",10,"16","14","2","NSS","NSS"
"01",11,"1198","1053","145","NSS","NSS"
"02",1,"11","10","1","NSS","NSS"
"02",2,"72","63","9","NSS","NSS"
"02",3,"41","38","3","NSS","NSS"
"02",4,"609","556","53","NSS","NSS"
"02",5,"205","199","6","NSS","NSS"
"02",6,"219","212","7","NSS","NSS"
"02",7,"138","136","2","NSS","NSS"
"02",8,"186","180","6","NSS","NSS"
"02",9,"567","545","22","NSS","NSS"
"02",10,"298","259","39","NSS","NSS"
"02",11,"7499","1746","131","5152","470"
"03",1,"7","NSS","NSS","7","0"
"03",2,"19","NSS","NSS","19","0"
"03",3,"7","NSS","NSS","4","3"
"03",4,"40","NSS","NSS","37","3"
"03",5,"32","NSS","NSS","31","1"
"03",6,"13","NSS","NSS","13","0"
"03",7,"5","NSS","NSS","5","0"
"03",8,"9","NSS","NSS","9","0"
"03",9,"57","NSS","NSS","50","7"
"03",10,"74","NSS","NSS","54","20"
"03",11,"1822","1458","180","178","6"
"04",1,"7","3","0","4","0"
"04",2,"17","5","2","9","1"
"04",3,"1","1","0","0","0"
"04",4,"13","4","1","4","4"
"04",5,"41","8","0","32","1"
"04",6,"28","22","0","6","0"
"04",7,"4","3","1","0","0"
"04",8,"5","2","0","3","0"
"04",9,"16","11","4","1","0"
"04",10,"19","6","7","4","2"
"04",11,"117","63","33","21","0"
"05",1,"10","2","0","7","1"
"05",2,"52","6","0","40","6"
"05",3,"30","3","0","20","7"
"05",4,"196","28","3","144","21"
"05",5,"73","11","1","61","0"
"05",6,"68","6","0","61","1"
"05",7,"179","5","0","171","3"
"05",8,"313","45","2","265","1"
"05",9,"467","70","3","383","11"
"05",10,"190","28","6","109","47"
"05",11,"344","89","14","219","22"
"06",1,"2","2","0","0","0"
"06",2,"13","11","2","0","0"
"06",3,"9","5","4","0","0"
"06",4,"25","23","2","0","0"
"06",5,"7","7","0","0","0"
"06",6,"26","25","1","0","0"
"06",7,"5","5","0","0","0"
"06",8,"4","4","0","0","0"
"06",9,"199","181","18","0","0"
"06",10,"39","29","10","0","0"
"06",11,"68","57","11","0","0"
"07",1,"19","3","3","11","2"
"07",2,"83","21","1","57","4"
"07",3,"26","8","2","16","0"
"07",4,"177","60","7","97","13"
"07",5,"67","34","0","33","0"
"07",6,"258","191","0","67","0"
"07",7,"60","19","1","40","0"
"07",8,"63","4","1","56","2"
"07",9,"115","35","2","70","8"
"07",10,"78","18","7","41","12"
"07",11,"1602","837","119","605","41"
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS","NSS"
"08",7,"NSS","NSS","NSS","NSS","NSS"
"08",8,"NSS","NSS","NSS","NSS","NSS"
"08",9,"NSS","NSS","NSS","NSS","NSS"
"08",10,"NSS","NSS","NSS","NSS","NSS"
"08",11,"9997","NSS","NSS","8931","1066"
"09",1,"24","22","2","0","0"
"09",2,"126","91","19","13","3"
"09",3,"38","28","8","1","1"
"09",4,"1436","1195","141","72","28"
"09",5,"54","43","0","10","1"
"09",6,"14","14","0","0","0"
"09",7,"23","11","1","10","1"
"09",8,"202","167","1","33","1"
"09",9,"3202","2811","271","100","20"
"09",10,"443","346","34","31","32"
"09",11,"8037","1828","460","4774","975"
"10",1,"21","3","0","17","1"
"10",2,"133","2","0","103","28"
"10",3,"44","0","0","39","5"
"10",4,"357","3","1","316","37"
"10",5,"149","0","0","142","7"
"10",6,"247","14","3","230","0"
"10",7,"53","0","0","53","0"
"10",8,"233","5","0","227","1"
"10",9,"1307","5","0","1190","112"
"10",10,"655","1","1","444","209"
"10",11,"993","58","13","791","131"
"12",1,"9","6","2","1","0"
"12",2,"91","74","13","3","1"
"12",3,"26","19","4","2","1"
"12",4,"125","86","17","19","3"
"12",5,"89","72","4","12","1"
"12",6,"210","123","2","82","3"
"12",7,"36","30","5","1","0"
"12",8,"44","21","1","22","0"
"12",9,"271","214","21","27","9"
"12",10,"109","60","41","2","6"
"12",11,"1705","1342","235","118","10"
"13",1,"23","13","1","9","0"
"13",2,"169","102","31","33","3"
"13",3,"18","7","2","8","1"
"13",4,"355","171","35","127","22"
"13",5,"71","20","13","34","4"
"13",6,"198","140","1","55","2"
"13",7,"71","34","0","37","0"
"13",8,"173","98","0","75","0"
"13",9,"614","384","56","166","8"
"13",10,"231","98","75","33","25"
"13",11,"1453","964","185","263","41"
"14",1,"23","18","2","3","0"
"14",2,"119","95","16","6","2"
"14",3,"82","74","5","2","1"
"14",4,"639","557","47","34","1"
"14",5,"134","120","8","6","0"
"14",6,"70","37","0","33","0"
"14",7,"111","99","3","8","1"
"14",8,"44","18","1","24","1"
"14",9,"364","214","13","134","3"
"14",10,"162","98","35","17","12"
"14",11,"2871","2442","301","118","10"
"15",1,"199","NSS","NSS","174","25"
"15",2,"205","NSS","NSS","178","27"
"15",3,"22","NSS","NSS","21","1"
"15",4,"1797","NSS","NSS","1646","151"
"15",5,"212","NSS","NSS","210","2"
"15",6,"230","NSS","NSS","226","4"
"15",7,"75","NSS","NSS","71","4"
"15",8,"49","NSS","NSS","49","0"
"15",9,"509","NSS","NSS","491","18"
"15",10,"404","NSS","NSS","370","34"
"15",11,"16365","3928","373","10679","1385"
"16",1,"51","19","3","28","1"
"16",2,"167","111","22","27","7"
"16",3,"43","22","11","8","2"
"16",4,"528","271","52","190","15"
"16",5,"152","92","5","50","5"
"16",6,"743","528","13","198","4"
"16",7,"72","19","6","45","2"
"16",8,"265","139","0","126","0"
"16",9,"1001","696","100","190","15"
"16",10,"250","86","107","38","19"
"16",11,"3750","2440","349","811","150"
"17",1,"18","0","0","13","5"
"17",2,"20","0","0","16","4"
"17",3,"23","0","0","17","6"
"17",4,"77","0","0","68","9"
"17",5,"23","0","0","22","1"
"17",6,"21","0","0","21","0"
"17",7,"77","0","0","73","4"
"17",8,"71","0","0","71","0"
"17",9,"543","0","0","461","82"
"17",10,"42","0","0","33","9"
"17",11,"9","0","0","9","0"
"18",1,"23","8","0","12","3"
"18",2,"118","44","10","60","4"
"18",3,"32","19","4","8","1"
"18",4,"253","108","19","115","11"
"18",5,"84","24","1","54","5"
"18",6,"457","333","9","113","2"
"18",7,"92","23","4","64","1"
"18",8,"141","48","0","91","2"
"18",9,"440","144","14","271","11"
"18",10,"201","64","33","86","18"
"18",11,"1476","946","166","332","32"
"19",1,"1","0","0","1","0"
"19",2,"198","0","0","164","34"
"19",3,"885","0","0","802","83"
"19",4,"751","105","7","570","69"
"19",5,"2294","0","0","2223","71"
"19",6,"56","0","0","54","2"
"19",7,"0","0","0","0","0"
"19",8,"691","0","0","684","7"
"19",9,"1073","962","111","0","0"
"19",10,"850","27","8","480","335"
"19",11,"910","204","3","628","75"
"20",1,"16","15","1","0","0"
"20",2,"51","49","2","0","0"
"20",3,"8","2","6","0","0"
"20",4,"66","53","13","0","0"
"20",5,"29","23","6","0","0"
"20",6,"42","42","0","0","0"
"20",7,"11","11","0","0","0"
"20",8,"54","52","2","0","0"
"20",9,"145","117","28","0","0"
"20",10,"39","38","1","0","0"
"20",11,"3421","719","185","2240","277"
"21",1,"13","5","2","5","1"
"21",2,"98","57","11","25","5"
"21",3,"6","4","1","1","0"
"21",4,"320","224","14","74","8"
"21",5,"47","26","2","19","0"
"21",6,"184","88","1","93","2"
"21",7,"97","86","2","7","2"
"21",8,"84","22","0","61","1"
"21",9,"338","224","22","87","5"
"21",10,"276","100","28","125","23"
"21",11,"4359","1214","274","2555","316"
"22",1,"3","3","0","0","0"
"22",2,"53","37","9","7","0"
"22",3,"21","15","1","5","0"
"22",4,"129","59","7","59","4"
"22",5,"80","51","5","20","4"
"22",6,"30","8","0","22","0"
"22",7,"29","22","0","7","0"
"22",8,"68","45","0","23","0"
"22",9,"224","95","15","106","8"
"22",10,"109","48","20","32","9"
"22",11,"722","278","56","358","30"
"23",1,"10","7","1","1","1"
"23",2,"44","19","9","16","0"
"23",3,"25","8","5","11","1"
"23",4,"98","55","10","30","3"
"23",5,"50","35","0","15","0"
"23",6,"46","19","1","25","1"
"23",7,"35","14","1","20","0"
"23",8,"46","9","0","37","0"
"23",9,"125","41","2","78","4"
"23",10,"58","17","9","22","10"
"23",11,"754","281","41","409","23"
"24",1,"2","2","NSS","NSS","NSS"
"24",2,"36","30","6","NSS","NSS"
"24",3,"50","41","9","NSS","NSS"
"24",4,"238","215","23","NSS","NSS"
"24",5,"337","333","4","NSS","NSS"
"24",6,"80","78","2","NSS","NSS"
"24",7,"15","12","3","NSS","NSS"
"24",8,"42","40","2","NSS","NSS"
"24",9,"141","127","14","NSS","NSS"
"24",10,"116","74","42","NSS","NSS"
