entidad,tipsiste,sexoidtt,sexoid1,sexoid2,sexoid3,sexoid4
"01",1,"1321","1154","156","11","0"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"2","2","0","0","0"
"02",1,"4463","3944","279","232","8"
"02",2,"5991","5152","470","369","0"
"02",3,"30","29","1","0","0"
"03",1,"1638","1458","180","0","0"
"03",2,"457","407","40","10","0"
"03",3,"12","12","0","0","0"
"04",1,"182","128","48","5","1"
"04",2,"93","84","8","1","0"
"04",3,"0","0","0","0","0"
"05",1,"325","293","29","3","0"
"05",2,"1625","1480","120","24","1"
"05",3,"0","0","0","0","0"
"06",1,"399","349","48","2","0"
"06",2,"0","0","0","0","0"
"06",3,"0","0","0","0","0"
"07",1,"1630","1230","143","251","6"
"07",2,"1257","1093","82","82","0"
"07",3,"207","200","7","0","0"
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"9997","8931","1066","0","0"
"08",3,"NSS","NSS","NSS","NSS","NSS"
"09",1,"7495","6556","937","2","0"
"09",2,"6109","5044","1062","3","0"
"09",3,"44","41","3","0","0"
"10",1,"123","91","18","14","0"
"10",2,"4176","3552","531","91","2"
"10",3,"21","18","3","0","0"
"12",1,"2923","2047","345","528","3"
"12",2,"343","289","34","20","0"
"12",3,"35","31","4","0","0"
"13",1,"2461","2031","399","29","2"
"13",2,"957","840","106","11","0"
"13",3,"62","52","9","1","0"
"14",1,"5988","3772","431","1769","16"
"14",2,"452","385","31","36","0"
"14",3,"62","58","4","0","0"
"15",1,"4305","3928","373","4","0"
"15",2,"15926","14115","1651","160","0"
"15",3,"6052","5526","411","115","0"
"16",1,"5642","4423","668","551","0"
"16",2,"1931","1711","220","0","0"
"16",3,"138","125","13","0","0"
"17",1,"0","0","0","0","0"
"17",2,"1026","804","120","102","0"
"17",3,"74","67","5","2","0"
"18",1,"2343","1761","260","319","3"
"18",2,"1334","1206","90","38","0"
"18",3,"0","0","0","0","0"
"19",1,"2155","1298","129","728","0"
"19",2,"10637","5606","676","4355","0"
"19",3,"85","73","6","6","0"
"20",1,"1371","1121","244","6","0"
"20",2,"2517","2240","277","0","0"
"20",3,"3236","2839","387","10","0"
"21",1,"2497","2050","357","89","1"
"21",2,"3616","3052","363","189","12"
"21",3,"169","147","15","6","1"
"22",1,"861","661","113","87","0"
"22",2,"709","639","55","15","0"
"22",3,"17","16","1","0","0"
"23",1,"688","505","79","103","1"
"23",2,"718","664","43","11","0"
"23",3,"46","44","2","0","0"
"24",1,"1307","1184","123","NSS","0"
"24",2,"473","421","25","27","0"
"24",3,"0","0","0","0","0"
"25",1,"NSS","NSS","NSS","NSS","NSS"
"25",2,"1033","961","72","0","0"
"25",3,"102","98","4","0","0"
"26",1,"5706","5151","555","0","0"
"26",2,"969","895","61","13","0"
"26",3,"5","5","0","0","0"
"27",1,"1395","1145","125","124","1"
"27",2,"1871","1241","630","0","0"
"27",3,"25","15","10","0","0"
"28",1,"2013","1673","289","43","8"
"28",2,"795","680","115","0","0"
"28",3,"147","123","24","0","0"
"29",1,"1099","651","120","327","1"
"29",2,"188","143","19","26","0"
"29",3,"0","0","0","0","0"
"30",1,"2450","1952","381","116","1"
"30",2,"1592","1339","198","54","1"
"30",3,"30","27","3","0","0"
"31",1,"391","328","58","5","0"
"31",2,"756","679","76","1","0"
"31",3,"39","36","3","0","0"
"32",1,"1306","948","340","18","0"
"32",2,"1520","1290","202","28","0"
"32",3,"11","10","1","0","0"
