entidad,residenc,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"01",1,"138","126","12","NSS","NSS"
"01",2,"8","7","1","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"1","1","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"NSS","NSS","NSS","NSS","NSS"
"01",11,"NSS","NSS","NSS","NSS","NSS"
"01",12,"1163","1020","143","NSS","NSS"
"02",1,"9580","3717","241","5152","470"
"02",2,"38","34","4","0","0"
"02",3,"27","24","3","0","0"
"02",4,"0","0","0","0","0"
"02",5,"2","1","1","0","0"
"02",6,"0","0","0","0","0"
"02",7,"0","0","0","0","0"
"02",8,"0","0","0","0","0"
"02",9,"0","0","0","0","0"
"02",10,"0","0","0","0","0"
"02",11,"1","1","0","0","0"
"02",12,"197","167","30","0","0"
"03",1,"390","NSS","NSS","352","38"
"03",2,"2","NSS","NSS","2","NSS"
"03",3,"NSS","NSS","NSS","0","NSS"
"03",4,"NSS","NSS","NSS","0","NSS"
"03",5,"NSS","NSS","NSS","0","NSS"
"03",6,"NSS","NSS","NSS","0","NSS"
"03",7,"NSS","NSS","NSS","0","NSS"
"03",8,"NSS","NSS","NSS","0","NSS"
"03",9,"NSS","NSS","NSS","0","NSS"
"03",10,"NSS","NSS","NSS","0","NSS"
"03",11,"NSS","NSS","NSS","0","NSS"
"03",12,"1693","1458","180","53","2"
"04",1,"203","92","35","68","8"
"04",2,"17","9","2","6","0"
"04",3,"0","0","0","0","0"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",6,"0","0","0","0","0"
"04",7,"0","0","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"0","0","0","0","0"
"04",10,"0","0","0","0","0"
"04",11,"0","0","0","0","0"
"04",12,"48","27","11","10","0"
"05",1,"1701","261","23","1312","105"
"05",2,"51","10","2","38","1"
"05",3,"4","2","0","1","1"
