entidad,sexoidtt,sexoid1,sexoid2,sexoid3,sexoid4
"01","3","3","0","0","0"
"02","36","35","1","0","0"
"03","12","12","0","0","0"
"04","0","0","0","0","0"
"05","0","0","0","0","0"
"06","0","0","0","0","0"
"07","244","236","8","0","0"
"08","392","370","22","NSS","NSS"
"09","48","45","3","0","0"
"10","23","20","3","0","0"
"12","36","32","4","0","0"
"13","81","71","9","1","0"
"14","76","72","4","0","0"
"15","6511","5906","472","133","0"
"16","156","143","13","0","0"
"17","84","76","6","2","0"
"18","0","0","0","0","0"
"19","35","32","2","1","0"
"20","3236","2839","387","10","0"
"21","164","142","15","6","1"
"22","19","18","1","0","0"
"23","46","44","2","0","0"
"24","0","0","0","0","0"
"25","62","56","6","0","0"
"26","5","5","0","0","0"
"27","28","16","12","0","0"
"28","178","149","29","0","0"
"29","0","0","0","0","0"
"30","30","27","3","0","0"
"31","51","48","3","0","0"
"32","14","13","1","0","0"
