entidad,stpsnitt,stpsni1,stpsni2,stpsni3,stpsni4,stpsni5,stpsni6,stpsni7,stpsni8
"01","1447","1269","167","11","0","NSS","NSS","NSS","NSS"
"02","11736","4190","315","245","8","6005","575","398","0"
"03","2226","1548","194","0","0","431","43","10","0"
"04","335","149","80","9","2","86","8","1","0"
"05","2055","323","32","3","0","1543","127","26","1"
"06","473","415","55","3","0","0","0","0","0"
"07","3215","1395","155","305","6","1202","99","53","0"
"08","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0"
"09","14209","6939","989","2","0","5192","1084","3","0"
"10","4795","109","18","18","0","3963","581","103","3"
"12","3733","2376","382","615","2","300","34","24","0"
"13","3884","2236","428","31","3","1045","127","14","0"
"14","7218","4276","483","1892","17","474","35","41","0"
"15","14648","5113","566","4","0","7992","900","73","0"
"16","6365","3297","539","244","0","2027","258","0","0"
"17","1092","0","0","0","0","858","127","107","0"
"18","4099","2005","292","350","3","1311","99","39","0"
"19","9336","34","1","NSS","0","4682","590","4029","0"
"20","3618","920","175","6","0","2240","277","0","0"
"21","6734","2233","396","99","1","3351","408","234","12"
"22","1731","722","118","94","0","722","59","16","0"
"23","1566","579","92","109","1","727","47","11","0"
"24","1873","1201","123","NSS","0","486","30","33","0"
"25","1295","NSS","NSS","NSS","NSS","1200","95","0","0"
"26","7642","5916","639","0","0","995","69","23","0"
"27","3514","1227","135","128","1","1342","681","0","0"
"28","3511","2128","352","50","10","830","141","0","0"
"29","1365","687","128","347","1","157","18","27","0"
"30","4567","2215","426","124","1","1497","240","63","1"
"31","1340","395","67","8","0","782","87","1","0"
"32","4354","1838","666","25","0","1560","235","30","0"
