entidad,imputmed,sexoidtt,sexoid1,sexoid2,sexoid3
"01",1,"NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS"
"01",9,"","","",""
"02",1,"NSS","NSS","NSS","NSS"
"02",2,"NSS","NSS","NSS","NSS"
"02",3,"NSS","NSS","NSS","NSS"
"02",4,"NSS","NSS","NSS","NSS"
"02",5,"NSS","NSS","NSS","NSS"
"02",6,"NSS","NSS","NSS","NSS"
"02",9,"","","",""
"03",1,"175","162","13","0"
"03",2,"141","130","11","0"
"03",3,"51","42","9","0"
"03",4,"9","9","0","0"
"03",5,"0","0","0","0"
"03",6,"0","0","0","0"
"03",9,"","","",""
"04",1,"NSS","NSS","NSS","NSS"
"04",2,"NSS","NSS","NSS","NSS"
"04",3,"NSS","NSS","NSS","NSS"
"04",4,"NSS","NSS","NSS","NSS"
"04",5,"NSS","NSS","NSS","NSS"
"04",6,"NSS","NSS","NSS","NSS"
"04",9,"","","",""
"05",1,"855","782","73","0"
"05",2,"73","62","11","0"
"05",3,"16","15","1","0"
"05",4,"2","2","0","0"
"05",5,"2","2","0","0"
"05",6,"0","0","0","0"
"05",9,"","","",""
"06",1,"NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS"
"06",9,"","","",""
"07",1,"NSS","NSS","NSS","NSS"
"07",2,"NSS","NSS","NSS","NSS"
"07",3,"NSS","NSS","NSS","NSS"
"07",4,"NSS","NSS","NSS","NSS"
"07",5,"NSS","NSS","NSS","NSS"
"07",6,"NSS","NSS","NSS","NSS"
"07",9,"","","",""
"08",1,"1294","1210","84","NSS"
"08",2,"290","266","24","NSS"
"08",3,"149","143","6","NSS"
"08",4,"49","48","1","NSS"
"08",5,"10","8","2","NSS"
"08",6,"1","1","0","0"
"08",9,"595","","","595"
"09",1,"NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS"
"09",9,"4344","","","4344"
"10",1,"3678","3597","81","0"
"10",2,"0","0","0","0"
"10",3,"0","0","0","0"
"10",4,"0","0","0","0"
"10",5,"0","0","0","0"
"10",6,"0","0","0","0"
"10",9,"","","",""
"12",1,"28","26","2","0"
"12",2,"7","6","1","0"
"12",3,"11","9","2","0"
"12",4,"1","1","0","0"
"12",5,"0","0","0","0"
"12",6,"0","0","0","0"
"12",9,"","","",""
"13",1,"629","548","70","11"
"13",2,"105","88","17","0"
"13",3,"54","49","5","0"
"13",4,"17","14","3","0"
"13",5,"3","3","0","0"
"13",6,"1","1","0","0"
"13",9,"","","",""
"14",1,"NSS","NSS","NSS","NSS"
"14",2,"NSS","NSS","NSS","NSS"
"14",3,"NSS","NSS","NSS","NSS"
"14",4,"NSS","NSS","NSS","NSS"
"14",5,"NSS","NSS","NSS","NSS"
"14",6,"NSS","NSS","NSS","NSS"
"14",9,"","","",""
"15",1,"NSS","NSS","NSS","NSS"
"15",2,"NSS","NSS","NSS","NSS"
"15",3,"NSS","NSS","NSS","NSS"
"15",4,"NSS","NSS","NSS","NSS"
