entidad,rangedad,sexostt,sexos1,sexos2,sexosne
"01",1,"0","0","0",""
"01",2,"0","0","0",""
"01",3,"8","7","1",""
"01",4,"52","43","9",""
"01",5,"25","20","5",""
"01",6,"0","0","0",""
"01",7,"0","0","0",""
"01",8,"0","0","0",""
"01",9,"0","0","0",""
"01",10,"0","0","0",""
"02",1,"NSS","NSS","NSS",""
"02",2,"NSS","NSS","NSS",""
"02",3,"NSS","NSS","NSS",""
"02",4,"NSS","NSS","NSS",""
"02",5,"NSS","NSS","NSS",""
"02",6,"NSS","NSS","NSS",""
"02",7,"NSS","NSS","NSS",""
"02",8,"NSS","NSS","NSS",""
"02",9,"NSS","NSS","NSS",""
"02",10,"NSS","NSS","NSS",""
"03",1,"82","75","7",""
"03",2,"67","57","10",""
"03",3,"65","57","8",""
"03",4,"52","44","8",""
"03",5,"27","24","3",""
"03",6,"18","16","2",""
"03",7,"15","11","4",""
"03",8,"8","8","0",""
"03",9,"5","5","0",""
"03",10,"6","6","0",""
"04",1,"5","5","0",""
"04",2,"33","30","3",""
"04",3,"84","80","4",""
"04",4,"117","110","7",""
"04",5,"42","40","2",""
"04",6,"21","20","1",""
"04",7,"8","8","0",""
"04",8,"0","0","0",""
"04",9,"0","0","0",""
"04",10,"0","0","0",""
"05",1,"232","217","15",""
"05",2,"152","123","29",""
"05",3,"97","84","13",""
"05",4,"103","94","9",""
"05",5,"89","82","7",""
"05",6,"21","19","2",""
"05",7,"19","18","1",""
"05",8,"9","9","0",""
"05",9,"5","5","0",""
"05",10,"0","0","0",""
"06",1,"NSS","NSS","NSS",""
"06",2,"NSS","NSS","NSS",""
"06",3,"NSS","NSS","NSS",""
"06",4,"NSS","NSS","NSS",""
"06",5,"NSS","NSS","NSS",""
"06",6,"NSS","NSS","NSS",""
"06",7,"NSS","NSS","NSS",""
"06",8,"NSS","NSS","NSS",""
"06",9,"NSS","NSS","NSS",""
"06",10,"307","278","29",""
"07",1,"NSS","NSS","NSS",""
"07",2,"NSS","NSS","NSS",""
"07",3,"NSS","NSS","NSS",""
"07",4,"NSS","NSS","NSS",""
"07",5,"NSS","NSS","NSS",""
"07",6,"NSS","NSS","NSS",""
"07",7,"NSS","NSS","NSS",""
"07",8,"NSS","NSS","NSS",""
"07",9,"NSS","NSS","NSS",""
"07",10,"NSS","NSS","NSS",""
"08",1,"NSS","NSS","NSS",""
"08",2,"NSS","NSS","NSS",""
"08",3,"NSS","NSS","NSS",""
"08",4,"NSS","NSS","NSS",""
"08",5,"NSS","NSS","NSS",""
"08",6,"NSS","NSS","NSS",""
"08",7,"NSS","NSS","NSS",""
"08",8,"NSS","NSS","NSS",""
"08",9,"NSS","NSS","NSS",""
"08",10,"NSS","NSS","NSS",""
"09",1,"NSS","NSS","NSS",""
"09",2,"NSS","NSS","NSS",""
"09",3,"NSS","NSS","NSS",""
"09",4,"NSS","NSS","NSS",""
"09",5,"NSS","NSS","NSS",""
"09",6,"NSS","NSS","NSS",""
"09",7,"NSS","NSS","NSS",""
"09",8,"NSS","NSS","NSS",""
"09",9,"NSS","NSS","NSS",""
"09",10,"NSS","NSS","NSS",""
"10",1,"748","661","87",""
"10",2,"456","387","69",""
"10",3,"553","489","64",""
"10",4,"508","458","50",""
"10",5,"266","244","22",""
"10",6,"186","168","18",""
"10",7,"65","59","6",""
"10",8,"70","64","6",""
"10",9,"9","7","2",""
"10",10,"4","4","0",""
"11",1,"446","409","37",""
"11",2,"360","337","23",""
"11",3,"328","291","37",""
"11",4,"233","206","27",""
"11",5,"119","108","11",""
"11",6,"69","63","6",""
"11",7,"47","44","3",""
"11",8,"21","19","2",""
"11",9,"26","26","0",""
"11",10,"2","1","1",""
"12",1,"64","62","2",""
"12",2,"62","53","9",""
"12",3,"46","36","10",""
"12",4,"26","23","3",""
"12",5,"36","34","2",""
"12",6,"19","19","0",""
"12",7,"15","13","2",""
"12",8,"3","3","0",""
"12",9,"3","3","0",""
"12",10,"20","19","1",""
"13",1,"74","65","9",""
"13",2,"121","108","13",""
"13",3,"110","101","9",""
"13",4,"58","49","9",""
"13",5,"43","39","4",""
"13",6,"26","23","3",""
"13",7,"13","12","1",""
"13",8,"5","5","0",""
"13",9,"3","3","0",""
"13",10,"0","0","0",""
"14",1,"284","261","23",""
"14",2,"396","332","64",""
"14",3,"271","238","33",""
"14",4,"208","175","33",""
"14",5,"135","115","20",""
"14",6,"53","49","4",""
"14",7,"49","49","0",""
"14",8,"18","18","0",""
"14",9,"3","3","0",""
"14",10,"5","5","0",""
"15",1,"243","226","17",""
"15",2,"141","129","12",""
"15",3,"99","95","4",""
"15",4,"74","66","8",""
"15",5,"38","36","2",""
"15",6,"18","18","0",""
"15",7,"20","18","2",""
"15",8,"7","6","1",""
"15",9,"4","4","0",""
"15",10,"1369","1170","199",""
"16",1,"52","51","1",""
"16",2,"48","45","3",""
"16",3,"38","36","2",""
"16",4,"71","69","2",""
"16",5,"64","62","2",""
"16",6,"24","24","0",""
"16",7,"20","19","1",""
"16",8,"17","17","0",""
"16",9,"19","19","0",""
"16",10,"23","23","0",""
"17",1,"230","203","27",""
"17",2,"242","183","59",""
"17",3,"177","144","33",""
"17",4,"144","120","24",""
"17",5,"134","113","21",""
"17",6,"50","35","15",""
"17",7,"33","25","8",""
"17",8,"46","44","2",""
"17",9,"17","17","0",""
"17",10,"117","109","8",""
"18",1,"65","60","5",""
"18",2,"57","54","3",""
"18",3,"66","61","5",""
"18",4,"62","58","4",""
"18",5,"54","53","1",""
"18",6,"31","28","3",""
"18",7,"10","10","NSS",""
"18",8,"7","5","2",""
"18",9,"9","9","NSS",""
"18",10,"141","135","6",""
"19",1,"517","465","52",""
"19",2,"316","278","38",""
"19",3,"279","254","25",""
"19",4,"233","212","21",""
"19",5,"164","141","23",""
"19",6,"91","77","14",""
"19",7,"53","48","5",""
"19",8,"27","26","1",""
"19",9,"19","16","3",""
