entidad,rangotem,medcautt,medcau1,medcau2,medcau3,medcau4,medcau5,medcau6
"01",1,"2","1","1","0","0","0","0"
"01",2,"2","1","1","0","0","0","0"
"01",3,"10","2","2","0","2","0","4"
"01",4,"66","38","9","0","9","5","5"
"01",5,"5","3","2","0","0","0","0"
"01",9,"","","","","","",""
"02",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"02",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"02",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"02",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"02",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"02",9,"","","","","","",""
"03",1,"14","0","0","0","3","0","11"
"03",2,"530","1","3","1","155","3","367"
"03",3,"77","1","3","0","27","0","46"
"03",4,"8","0","0","0","1","0","7"
"03",5,"11","0","0","0","3","0","8"
"03",9,"","","","","","",""
"04",1,"40","10","7","0","1","0","22"
"04",2,"60","19","8","0","3","0","30"
"04",3,"120","27","17","0","6","0","70"
"04",4,"76","15","3","0","2","0","56"
"04",5,"41","8","7","0","1","0","25"
"04",9,"","","","","","",""
"05",1,"154","88","0","0","5","16","45"
"05",2,"464","187","47","0","9","0","221"
"05",3,"106","54","0","0","4","0","48"
"05",4,"3","0","0","0","0","0","3"
"05",5,"0","0","0","0","0","0","0"
"05",9,"","","","","","",""
"06",1,"49","0","0","0","0","0","49"
"06",2,"217","180","15","2","0","0","20"
"06",3,"41","30","0","0","0","0","11"
"06",4,"0","0","0","0","0","0","0"
"06",5,"0","0","0","0","0","0","0"
"06",9,"","","","","","",""
"07",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",9,"","","","","","",""
"08",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",9,"","","","","","",""
"09",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",9,"","","","","","",""
"10",1,"942","542","400","0","0","0","0"
"10",2,"952","663","79","1","45","3","161"
"10",3,"149","17","52","0","23","2","55"
"10",4,"3623","1565","1097","0","776","1","184"
"10",5,"422","61","68","0","218","0","75"
"10",9,"","","","","","",""
"11",1,"201","64","40","0","4","42","51"
"11",2,"1320","232","126","0","41","234","687"
"11",3,"483","206","11","2","19","67","178"
"11",4,"228","40","13","0","18","47","110"
"11",5,"55","31","21","0","2","0","1"
"11",9,"","","","","","",""
"12",1,"28","0","21","0","1","2","4"
"12",2,"53","8","7","0","4","25","9"
"12",3,"117","15","62","0","3","19","18"
"12",4,"53","39","4","0","3","2","5"
"12",5,"43","9","13","0","1","0","20"
"12",9,"","","","","","",""
"13",1,"93","30","18","0","4","0","41"
"13",2,"64","19","3","0","8","1","33"
"13",3,"82","36","4","0","5","0","37"
"13",4,"125","74","3","0","2","0","46"
"13",5,"121","58","3","0","3","0","57"
"13",9,"","","","","","",""
"14",1,"56","8","20","0","8","1","19"
"14",2,"135","5","31","0","11","0","88"
"14",3,"1014","346","181","1","234","0","252"
"14",4,"1289","650","289","0","203","21","126"
"14",5,"49","49","0","0","0","0","0"
"14",9,"","","","","","",""
"15",1,"0","0","0","0","0","0","0"
"15",2,"41","2","2","0","1","0","36"
"15",3,"0","0","0","0","0","0","0"
"15",4,"6","6","0","0","0","0","0"
"15",5,"1978","1212","174","0","1","0","591"
"15",9,"","","","","","",""
"16",1,"0","0","0","0","0","0","0"
"16",2,"1","0","0","0","0","0","1"
"16",3,"24","24","0","0","0","0","0"
"16",4,"283","132","15","0","35","5","96"
"16",5,"68","53","1","0","12","2","0"
"16",9,"","","","","","",""
"17",1,"335","146","102","5","76","0","6"
"17",2,"263","68","16","0","77","0","102"
"17",3,"260","95","1","0","11","0","153"
"17",4,"316","158","11","0","25","2","120"
"17",5,"16","2","0","0","2","0","12"
"17",9,"","","","","","",""
"18",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",9,"1373","140","498","79","8","6","642"
"19",1,"62","16","0","0","19","3","24"
"19",2,"205","34","2","0","102","22","45"
"19",3,"10","0","0","0","6","2","2"
"19",4,"4","1","0","0","2","0","1"
"19",5,"2109","324","22","0","1104","130","529"
"19",9,"","","","","","",""
"20",1,"NSS","NSS","0","0","0","0","0"
"20",2,"NSS","NSS","0","0","0","0","0"
"20",3,"NSS","NSS","0","0","0","0","0"
"20",4,"NSS","NSS","0","0","0","0","0"
