entidad,tpresupu,tporcpre
"01","NSS","NSS"
"02","25253948.2","2.64"
"03","3264507","1.31"
"04","1959394.14","1"
"05","6283860.14","1.053"
"06","NSS","NSS"
"07","54440252.7","5.47"
"08","9924527.04",".74"
"09","42024382.8",".6"
"10","8745979.6","2.33"
"11","43378643","3.07"
"12","NSS","NSS"
"13","NSS","NSS"
"14","53288923","NSS"
"15","60743172.65","1.9"
"16","73354178.1","6.16"
"17","NA","NA"
"18","5787313","1.46"
"19","NSS","NSS"
"20","100300",".01593"
"21","3618713.25",".6915"
"22","4490517",".52"
"23","NSS","NSS"
"24","NA","NA"
"25","2317357.98",".42"
"26","18637218.85","2.02"
"27","NSS","NSS"
"28","13200000","2.16"
"29","2228740",".94"
"30","36859806","2.82"
"31","11135454.18","2.49871"
"32","12005586.36","2.83"
