entidad,coansele,avingrtt,avingr1,avingr2,avingr4,avingr5
"01",1,"0","0","0","0","0"
"01",2,"0","0","0","0","0"
"01",3,"1","0","1","0","0"
"01",4,"2","0","2","0","0"
"01",5,"0","0","0","0","0"
"01",6,"0","0","0","0","0"
"01",7,"0","0","0","0","0"
"01",8,"0","0","0","0","0"
"01",9,"0","0","0","0","0"
"01",10,"0","0","0","0","0"
"01",11,"1","0","1","0","0"
"01",12,"0","0","0","0","0"
"01",13,"0","0","0","0","0"
"01",14,"0","0","0","0","0"
"01",15,"0","0","0","0","0"
"02",1,"5","0","0","0","5"
"02",2,"0","0","0","0","0"
"02",3,"0","0","0","0","0"
"02",4,"0","0","0","0","0"
"02",5,"0","0","0","0","0"
"02",6,"0","0","0","0","0"
"02",7,"0","0","0","0","0"
"02",8,"0","0","0","0","0"
"02",9,"0","0","0","0","0"
"02",10,"0","0","0","0","0"
"02",11,"57","0","0","0","57"
"02",12,"0","0","0","0","0"
"02",13,"0","0","0","0","0"
"02",14,"0","0","0","0","0"
"02",15,"2","1","0","0","2"
"03",1,"NSS","0","NSS","0","0"
"03",2,"NSS","0","NSS","0","0"
"03",3,"0","0","0","0","0"
"03",4,"0","0","0","0","0"
"03",5,"0","0","0","0","0"
"03",6,"0","0","0","0","0"
"03",7,"0","0","0","0","0"
"03",8,"0","0","0","0","0"
"03",9,"0","0","0","0","0"
"03",10,"0","0","0","0","0"
"03",11,"0","0","0","0","0"
"03",12,"0","0","0","0","0"
"03",13,"0","0","0","0","0"
"03",14,"0","0","0","0","0"
"03",15,"NSS","0","NSS","0","0"
"04",1,"4","0","0","0","4"
"04",2,"0","0","0","0","0"
"04",3,"0","0","0","0","0"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",6,"0","0","0","0","0"
"04",7,"0","0","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"0","0","0","0","0"
"04",10,"0","0","0","0","0"
"04",11,"0","0","0","0","0"
"04",12,"0","0","0","0","0"
"04",13,"0","0","0","0","0"
"04",14,"0","0","0","0","0"
"04",15,"0","0","0","0","0"
"05",1,"3","0","1","0","2"
"05",2,"2","0","1","0","1"
"05",3,"0","0","0","0","0"
"05",4,"3","0","0","0","3"
"05",5,"0","0","0","0","0"
"05",6,"0","0","0","0","0"
"05",7,"0","0","0","0","0"
"05",8,"0","0","0","0","0"
"05",9,"0","0","0","0","0"
"05",10,"0","0","0","0","0"
"05",11,"2","0","0","0","2"
"05",12,"0","0","0","0","0"
"05",13,"0","0","0","0","0"
"05",14,"0","0","0","0","0"
"05",15,"0","0","0","0","0"
"07",1,"5","2","4","2","1"
"07",2,"18","2","18","2","0"
"07",3,"5","0","5","0","0"
"07",4,"22","0","20","0","2"
"07",5,"0","0","0","0","0"
"07",6,"0","0","0","0","0"
"07",7,"6","0","5","0","1"
"07",8,"1","0","1","0","0"
"07",9,"0","0","0","0","0"
"07",10,"0","0","0","0","0"
"07",11,"3","0","3","0","0"
"07",12,"0","0","0","0","0"
"07",13,"0","0","0","0","0"
"07",14,"3","0","3","0","0"
"07",15,"4","0","4","0","0"
"08",1,"50","2","0","0","50"
"08",2,"22","0","0","0","22"
"08",3,"31","0","0","0","31"
"08",4,"26","3","0","0","26"
"08",5,"0","0","0","0","0"
"08",6,"0","0","0","0","0"
"08",7,"0","0","0","0","0"
"08",8,"0","0","0","0","0"
"08",9,"0","0","0","0","0"
"08",10,"0","0","0","0","0"
