entidad,mater_sa,instantt,instan1,instan2,no_aplic
"01",1,"NA","NA","NA","1"
"01",2,"NA","NA","NA","1"
"01",3,"NA","NA","NA","1"
"01",4,"5","5","0",""
"01",5,"4","4","0",""
"01",6,"1","1","0",""
"02",1,"NA","NA","NA","1"
"02",2,"NA","NA","NA","1"
"02",3,"NA","NA","NA","1"
"02",4,"27","25","2",""
"02",5,"3","3","0",""
"02",6,"NA","NA","NA","1"
"03",1,"NA","NA","NA","1"
"03",2,"NA","NA","NA","1"
"03",3,"NA","NA","NA","1"
"03",4,"8","8","0",""
"03",5,"1","1","0",""
"03",6,"NA","NA","NA","1"
"04",1,"0","0","0",""
"04",2,"1","1","0",""
"04",3,"3","3","0",""
"04",4,"7","7","0",""
"04",5,"0","0","0",""
"04",6,"0","0","0",""
"05",1,"NA","NA","NA","1"
"05",2,"NA","NA","NA","1"
"05",3,"NA","NA","NA","1"
"05",4,"20","20","0",""
"05",5,"NA","NA","NA","1"
"05",6,"NA","NA","NA","1"
"06",1,"NA","NA","NA","1"
"06",2,"2","2","0",""
"06",3,"1","1","0",""
"06",4,"8","7","1",""
"06",5,"1","1","0",""
"06",6,"NA","NA","NA","1"
"07",1,"NA","NA","NA","1"
"07",2,"1","1","0",""
"07",3,"NA","NA","NA","1"
"07",4,"11","11","0",""
"07",5,"3","2","1",""
"07",6,"NA","NA","NA","1"
"08",1,"20","20","0",""
"08",2,"12","12","0",""
"08",3,"24","24","0",""
"08",4,"97","89","8",""
"08",5,"0","0","0",""
"08",6,"3","3","0",""
"09",1,"20","20","0",""
"09",2,"NSS","NSS","0",""
"09",3,"10","10","0",""
"09",4,"129","120","9",""
"09",5,"6","6","0",""
"09",6,"NA","NA","NA","1"
"10",1,"NA","NA","NA","1"
"10",2,"1","1","0",""
"10",3,"NA","NA","NA","1"
"10",4,"23","23","0",""
"10",5,"1","1","0",""
"10",6,"NA","NA","NA","1"
"11",1,"NA","NA","NA","1"
"11",2,"5","5","0",""
"11",3,"34","34","0",""
"11",4,"46","45","1",""
"11",5,"8","7","1",""
"11",6,"NA","NA","NA","1"
"12",1,"NA","NA","NA","1"
"12",2,"2","2","0",""
"12",3,"NA","NA","NA","1"
"12",4,"28","28","0",""
"12",5,"2","2","0",""
"12",6,"NA","NA","NA","1"
"13",1,"NA","NA","NA","1"
"13",2,"3","3","0",""
"13",3,"NA","NA","NA","1"
"13",4,"29","28","1",""
"13",5,"1","1","0",""
"13",6,"NA","NA","NA","1"
"14",1,"NA","NA","NA","1"
"14",2,"0","0","0",""
"14",3,"NA","NA","NA","1"
"14",4,"3","0","3",""
"14",5,"NA","NA","NA","1"
"14",6,"0","0","0",""
"15",1,"34","34","0",""
"15",2,"6","6","0",""
"15",3,"49","49","0",""
"15",4,"102","98","4",""
"15",5,"3","3","0",""
"15",6,"NA","NA","NA","1"
"16",1,"NA","NA","NA","1"
"16",2,"NA","NA","NA","1"
"16",3,"NA","NA","NA","1"
"16",4,"NA","NA","NA","1"
"16",5,"NA","NA","NA","1"
"16",6,"25","25","0",""
"17",1,"NA","NA","NA","1"
"17",2,"NSS","NSS","NSS",""
"17",3,"NA","NA","NA","1"
"17",4,"25","21","4",""
"17",5,"NA","NA","NA","1"
"17",6,"NA","NA","NA","1"
"18",1,"NA","NA","NA","1"
"18",2,"1","1","0",""
"18",3,"NA","NA","NA","1"
"18",4,"6","6","0",""
"18",5,"NA","NA","NA","1"
"18",6,"NA","NA","NA","1"
"19",1,"1","1","0",""
"19",2,"1","1","0",""
"19",3,"12","12","0",""
"19",4,"14","14","0",""
"19",5,"2","2","0",""
"19",6,"12","10","2",""
"20",1,"NA","NA","NA","1"
"20",2,"1","1","0",""
"20",3,"NA","NA","NA","1"
"20",4,"33","33","0",""
"20",5,"2","2","0",""
"20",6,"NA","NA","NA","1"
"21",1,"NA","NA","NA","1"
"21",2,"3","3","0",""
"21",3,"NA","NA","NA","1"
"21",4,"36","36","0",""
"21",5,"NA","NA","NA","1"
"21",6,"NA","NA","NA","1"
"22",1,"NA","NA","NA","1"
"22",2,"4","4","0",""
"22",3,"NA","NA","NA","1"
"22",4,"8","8","0",""
"22",5,"2","2","0",""
"22",6,"1","0","1",""
"23",1,"2","2","0",""
"23",2,"3","3","0",""
"23",3,"14","12","2",""
"23",4,"23","21","2",""
"23",5,"NA","NA","NA","1"
"23",6,"4","4","0",""
"24",1,"5","5","0",""
"24",2,"NA","NA","NA","1"
"24",3,"NA","NA","NA","1"
"24",4,"6","6","0",""
"24",5,"NA","NA","NA","1"
"24",6,"NA","NA","NA","1"
"25",1,"NA","NA","NA","1"
"25",2,"1","1","0",""
"25",3,"NA","NA","NA","1"
"25",4,"17","16","1",""
"25",5,"3","3","0",""
"25",6,"NA","NA","NA","1"
"26",1,"1","1","0",""
"26",2,"2","2","0",""
"26",3,"NA","NA","NA","1"
"26",4,"11","8","3",""
"26",5,"1","0","1",""
"26",6,"NA","NA","NA","1"
"27",1,"NA","NA","NA","1"
"27",2,"NA","NA","NA","1"
"27",3,"NA","NA","NA","1"
"27",4,"14","14","0",""
"27",5,"4","3","1",""
"27",6,"NA","NA","NA","1"
"28",1,"NA","NA","NA","1"
"28",2,"3","3","0",""
"28",3,"NA","NA","NA","1"
"28",4,"17","17","0",""
"28",5,"1","1","0",""
"28",6,"NA","NA","NA","1"
"29",1,"NA","NA","NA","1"
"29",2,"NA","NA","NA","1"
"29",3,"NA","NA","NA","1"
"29",4,"2","2","0",""
"29",5,"NA","NA","NA","1"
"29",6,"1","1","0",""
"30",1,"NA","NA","NA","1"
"30",2,"1","1","0",""
"30",3,"NA","NA","NA","1"
"30",4,"35","32","3",""
"30",5,"2","2","0",""
"30",6,"NA","NA","NA","1"
"31",1,"NA","NA","NA","1"
"31",2,"1","1","0",""
"31",3,"6","6","0",""
"31",4,"18","17","1",""
"31",5,"2","2","0",""
"31",6,"9","9","0",""
"32",1,"NA","NA","NA","1"
"32",2,"1","1","0",""
