entidad,mater_ja,seguimtt,seguim1,seguim2,seguim3,seguim4,seguim5,seguim6,seguim7,seguimne,no_aplic
"01",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"01",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"01",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"01",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"01",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"01",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"01",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"01",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"02",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"02",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"02",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"02",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"02",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"02",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"02",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"02",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"03",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"03",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"03",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"03",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"03",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"03",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"03",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"03",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"04",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"04",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"04",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"04",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"04",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"04",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"04",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"04",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"05",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"05",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"05",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"05",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"05",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"05",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"05",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"05",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"06",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"06",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"06",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"06",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"06",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"06",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"06",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"06",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"07",1,"184","0","0","184","0","0","0","0","",""
"07",2,"216","0","0","216","0","0","0","0","",""
"07",3,"755","0","0","755","0","0","0","0","",""
"07",4,"24","0","0","24","0","0","0","0","",""
"07",5,"0","0","0","0","0","0","0","0","",""
"07",6,"0","0","0","0","0","0","0","0","",""
"07",7,"0","0","0","0","0","0","0","0","",""
"07",8,"0","0","0","0","0","0","0","0","",""
"08",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"08",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"08",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"08",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"08",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"08",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"08",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"08",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"09",1,"0","0","0","0","0","0","0","0","",""
"09",2,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"09",3,"0","0","0","0","0","0","0","0","",""
"09",4,"37","0","0","37","0","0","0","0","",""
"09",5,"28","0","0","28","0","0","0","0","",""
"09",6,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"09",7,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"09",8,"0","0","0","0","0","0","0","0","",""
"10",1,"0","0","0","0","0","0","0","0","",""
"10",2,"0","0","0","0","0","0","0","0","",""
"10",3,"149","0","0","0","149","0","0","0","",""
"10",4,"0","0","0","0","0","0","0","0","",""
"10",5,"5","0","0","5","0","0","0","0","",""
"10",6,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"10",7,"0","0","0","0","0","0","0","0","",""
"10",8,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"11",1,"0","0","0","0","0","0","0","0","",""
"11",2,"0","0","0","0","0","0","0","0","",""
"11",3,"0","0","0","0","0","0","0","0","",""
"11",4,"265","NSS","NSS","NSS","NSS","NSS","NSS","0","265",""
"11",5,"12","NSS","NSS","NSS","NSS","NSS","NSS","0","12",""
"11",6,"0","0","0","0","0","0","0","0","",""
"11",7,"0","0","0","0","0","0","0","0","",""
"11",8,"0","0","0","0","0","0","0","0","",""
"12",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"12",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"12",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"12",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"12",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"12",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"12",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
