entidad,sententt,senten1,senten2,senten3,senten4,senten5,senten6,senten7,senten8
"01","3","3","0","","0","0","","0","0"
"02","14","13","0","","1","0","","0","0"
"03","7","5","0","","2","0","","0","0"
"04","5","NSS","NSS","4","NSS","NSS","1","0","0"
"05","16","11","2","","3","0","","0","0"
"06","0","0","0","","0","0","","0","0"
"07","13","6","0","","7","0","","0","0"
"08","375","145","11","74","91","8","18","25","3"
"09","7","7","0","","0","0","","0","0"
"10","27","20","0","","7","0","","0","0"
"12","20","10","1","","8","0","","1","0"
"13","28","16","1","","10","NSS","1","0","0"
"14","6","6","0","","0","0","","0","0"
"15","644","583","44","3","1","0","","13","0"
"16","87","43","3","","36","5","","0","0"
"17","176","94","14","3","59","NSS","3","3","0"
"18","0","0","0","","0","0","","0","0"
"19","3","2","NSS","1","0","0","","0","0"
"20","0","0","0","","0","0","","0","0"
"21","2","2","0","","0","0","","0","0"
"22","13","12","0","","1","0","","NSS","NSS"
"23","39","27","1","","10","1","","0","0"
"24","0","0","0","","0","0","","0","0"
"25","8","3","NSS","5","0","0","","0","0"
"26","3","3","0","","0","0","","0","0"
"27","27","15","8","","3","1","","0","0"
"28","0","0","0","","0","0","","0","0"
"29","0","0","0","","0","0","","0","0"
"30","11","9","1","","1","0","","0","0"
"31","26","18","3","","5","0","","0","0"
"32","52","38","4","","10","0","","0","0"
