entidad,sententt,senten1,senten2,senten3,senten4,senten5,senten6,senten7,senten8,senten9
"01","170","141","17","","11","1","","0","0",""
"02","2034","1873","93","41","26","NSS","1","0","0",""
"03","NSS","NSS","NSS","","NSS","NSS","","NSS","NSS",""
"04","772","19","NSS","639","3","NSS","100","NSS","NSS","11"
"05","183","141","9","1","27","5","","0","0",""
"06","11","8","1","","2","0","","0","0",""
"07","307","190","14","16","79","6","1","1","0",""
"08","NSS","NSS","NSS","","NSS","NSS","","NSS","NSS",""
"09","7505","6341","624","","472","68","","0","0",""
"10","298","225","18","5","43","2","","3","2",""
"12","294","200","18","5","60","9","2","0","0",""
"13","1007","710","105","1","163","28","","0","0",""
"14","1632","1249","84","99","171","14","14","1","0",""
"15","379","151","18","119","46","5","19","13","2","6"
"16","424","324","27","","63","10","","0","0",""
"17","0","0","0","","0","0","","0","0",""
"18","177","120","7","24","21","2","3","0","0",""
"19","674","39","2","503","27","1","102","0","0",""
"20","107","NSS","NSS","102","NSS","NSS","5","0","0",""
"21","678","582","45","3","46","1","1","0","0",""
"22","204","174","13","","14","2","","1","0",""
"23","29","22","3","","4","0","","0","0",""
"24","895","656","37","","151","17","","32","2",""
"25","2024","348","26","717","230","20","657","6","NSS","20"
"26","1687","1498","69","","110","6","","3","1",""
"27","271","223","8","2","34","2","","2","0",""
"28","1642","155","6","1127","30","2","322","0","0",""
"29","596","299","44","17","201","27","6","2","0",""
"30","192","126","12","10","36","6","","0","2",""
"31","5","5","0","","0","0","","0","0",""
"32","456","323","57","58","16","2","","0","0",""
