entidad,sententt,senten1,senten2,senten3,senten4,senten5,senten7,senten8,senten9
"01","NSS","NSS","NSS","","NSS","NSS","NSS","NSS",""
"02","1014","951","59","4","0","0","0","0",""
"03","14","14","0","","0","0","0","0",""
"04","39","21","NSS","18","0","0","0","0",""
"05","14","14","0","","0","0","0","0",""
"06","0","0","0","","0","0","0","0",""
"07","57","50","4","1","2","0","0","0",""
"08","2099","1954","103","","38","4","0","0",""
"09","302","283","19","","0","0","0","0",""
"10","244","221","20","1","2","0","0","0",""
"12","13","12","1","","0","0","0","0",""
"13","37","31","6","","0","0","0","0",""
"14","20","18","0","","2","0","0","0",""
"15","1065","953","95","4","10","0","2","NSS","1"
"16","0","0","0","","0","0","0","0",""
"17","53","46","3","3","1","0","0","0",""
"18","315","290","23","1","1","0","0","0",""
"19","1","NSS","NSS","1","0","0","0","0",""
"20","0","0","0","","0","0","0","0",""
"21","11","8","1","","2","0","0","0",""
"22","7","7","0","","NSS","NSS","NSS","NSS",""
"23","50","49","1","","0","0","0","0",""
"24","19","13","1","","5","0","NSS","NSS",""
"25","NSS","NSS","NSS","","NSS","NSS","NSS","NSS",""
"26","225","211","14","","0","0","0","0",""
"27","0","0","0","","0","0","0","0",""
"28","0","0","0","","0","0","0","0",""
"29","0","0","0","","0","0","0","0",""
"30","26","23","2","","1","0","0","0",""
"31","148","141","7","","0","0","0","0",""
"32","62","58","4","","0","0","0","0",""
