entidad,alfabeti,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"45","42","3","","NSS","NSS",""
"01",2,"121","110","11","","NSS","NSS",""
"01",3,"7","0","4","","3","NSS",""
"02",1,"2904","1821","88","","937","58",""
"02",2,"66","44","2","","20","NSS",""
"02",3,"92","34","3","42","8","1","4"
"03",1,"13","NSS","NSS","","13","0",""
"03",2,"NSS","NSS","NSS","","NSS","0",""
"03",3,"8","NSS","NSS","","8","0",""
"04",1,"34","20","NSS","","14","NSS",""
"04",2,"4","2","NSS","","2","NSS",""
"04",3,"778","0","0","750","5","NSS","23"
"05",1,"204","160","14","","28","2",""
"05",2,"6","6","0","","0","0",""
"05",3,"3","2","0","1","0","0",""
"06",1,"9","8","1","","0","0",""
"06",2,"2","2","0","","0","0",""
"06",3,"0","0","0","","0","0",""
"07",1,"299","228","16","","53","2",""
"07",2,"28","26","2","","NSS","NSS",""
"07",3,"50","16","2","17","12","2","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"2474","NSS","NSS","","2253","129","92"
"09",1,"7302","6592","671","","37","2",""
"09",2,"99","95","4","","0","0",""
"09",3,"413","126","17","","253","17",""
"10",1,"464","238","21","","191","14",""
"10",2,"19","9","NSS","","8","2",""
"10",3,"86","24","1","5","51","4","1"
"12",1,"276","224","23","","28","1",""
"12",2,"22","15","4","","3","NSS",""
"12",3,"29","21","0","7","0","1",""
"13",1,"1018","833","129","","51","5",""
"13",2,"26","23","3","","NSS","NSS",""
"13",3,"28","17","1","1","6","2","1"
"14",1,"1300","1195","79","","26","0",""
"14",2,"40","37","3","","0","0",""
"14",3,"318","189","16","113","0","0",""
"15",1,"346","NSS","NSS","","328","18",""
"15",2,"14","NSS","NSS","","11","3",""
"15",3,"1728","210","25","144","1223","118","8"
"16",1,"421","314","25","","75","7",""
"16",2,"45","38","5","","2","NSS",""
"16",3,"45","35","7","","2","1",""
"17",1,"167","0","0","","155","12",""
"17",2,"7","0","0","","6","1",""
"17",3,"55","0","0","","42","4","9"
"18",1,"423","114","7","","279","23",""
"18",2,"13","5","NSS","","8","0",""
"18",3,"56","22","2","27","4","0","1"
"19",1,"69","64","3","","2","NSS",""
"19",2,"NSS","NSS","0","","NSS","NSS",""
"19",3,"609","2","0","605","NSS","NSS","2"
"20",1,"NSS","NSS","NSS","","0","0",""
"20",2,"NSS","NSS","NSS","","0","0",""
"20",3,"107","NSS","NSS","107","0","0",""
"21",1,"645","590","42","","12","1",""
"21",2,"12","12","NSS","","0","0",""
"21",3,"34","26","4","4","0","0",""
"22",1,"214","184","15","","15","NSS",""
"22",2,"3","1","0","","2","NSS",""
"22",3,"7","4","0","","3","NSS",""
"23",1,"112","26","3","","80","3",""
"23",2,"4","0","0","","4","0",""
"23",3,"2","0","0","","2","0",""
"24",1,"684","630","36","","17","1",""
"24",2,"127","125","1","","1","0",""
"24",3,"103","84","19","","0","0",""
"25",1,"308","283","25","","NSS","NSS",""
"25",2,"9","7","NSS","","2","NSS",""
"25",3,"1715","294","21","1394","1","NSS","5"
"26",1,"1718","1438","67","","199","14",""
"26",2,"34","27","2","","5","0",""
"26",3,"163","146","7","","10","0",""
"27",1,"265","242","10","","4","9",""
"27",2,"5","5","0","","NSS","0",""
"27",3,"28","12","0","2","14","0",""
"28",1,"142","140","2","","0","0",""
"28",2,"6","6","NSS","","0","0",""
"28",3,"1494","39","6","1449","0","0",""
"29",1,"544","476","68","","0","0",""
"29",2,"13","11","2","","0","0",""
"29",3,"39","15","1","23","0","0",""
"30",1,"185","137","16","","30","2",""
"30",2,"17","12","2","","2","1",""
"30",3,"27","13","2","10","2","0",""
"31",1,"150","5","0","","138","7",""
"31",2,"17","0","0","","14","3",""
"31",3,"12","0","0","","12","0",""
"32",1,"267","164","26","","71","6",""
"32",2,"11","6","1","","4","NSS",""
"32",3,"292","169","32","58","31","2",""
