entidad,sent_del,stcahmtt,stcahm1,stcahm2,stcahm3,stcahm4,stcahmne,spcahmtt,spcahm1,spcahm2,spcahm3,spcahm4
"01",1,"148","125","12","10","1","","NSS","NSS","NSS","NSS","NSS"
"01",2,"10","8","1","1","0","","2","2","NSS","NSS","NSS"
"01",3,"2","2","0","0","0","","NSS","NSS","NSS","NSS","NSS"
"01",4,"1","1","0","0","0","","NSS","NSS","NSS","NSS","NSS"
"01",5,"0","0","0","0","0","","NSS","NSS","NSS","NSS","NSS"
"01",6,"0","0","0","0","0","","NSS","NSS","NSS","NSS","NSS"
"01",9,"9","5","4","","","","1","1","","",""
"02",1,"1904","1791","89","24","NSS","","NSS","NSS","NSS","NSS","0"
"02",2,"74","68","4","2","NSS","","NSS","NSS","NSS","NSS","0"
"02",3,"12","12","0","0","NSS","","NSS","NSS","NSS","NSS","0"
"02",4,"2","2","0","0","NSS","","NSS","NSS","NSS","NSS","0"
"02",5,"0","0","0","0","0","","NSS","NSS","NSS","NSS","0"
"02",6,"0","0","0","0","0","","NSS","NSS","NSS","NSS","0"
"02",9,"42","","","","","42","1024","964","59","1",""
"03",1,"NSS","NSS","NSS","NSS","NSS","","21","19","0","2","0"
"03",2,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"03",3,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"03",4,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"03",5,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"03",6,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"03",9,"","","","","","","","","","",""
"04",1,"21","18","NSS","3","NSS","","20","20","NSS","NSS","NSS"
"04",2,"0","0","0","0","0","","0","0","0","0","0"
"04",3,"1","1","NSS","0","NSS","","1","1","NSS","NSS","NSS"
"04",4,"0","0","0","0","0","","0","0","0","0","0"
"04",5,"0","0","0","0","0","","0","0","0","0","0"
"04",6,"0","0","0","0","0","","0","0","0","0","0"
"04",9,"739","","","","","739","","","","",""
"05",1,"171","132","8","26","5","","28","23","2","3","0"
"05",2,"9","7","1","1","0","","2","2","0","0","0"
"05",3,"1","1","0","0","0","","0","0","0","0","0"
"05",4,"0","0","0","0","0","","0","0","0","0","0"
"05",5,"1","1","0","0","0","","0","0","0","0","0"
"05",6,"0","0","0","0","0","","0","0","0","0","0"
"05",9,"1","","","","","1","","","","",""
"06",1,"9","8","0","1","0","","0","0","0","0","0"
"06",2,"2","0","1","1","0","","0","0","0","0","0"
"06",3,"0","0","0","0","0","","0","0","0","0","0"
"06",4,"0","0","0","0","0","","0","0","0","0","0"
"06",5,"0","0","0","0","0","","0","0","0","0","0"
"06",6,"0","0","0","0","0","","0","0","0","0","0"
"06",9,"","","","","","","","","","",""
"07",1,"268","178","14","70","6","","65","53","4","8","0"
"07",2,"19","11","0","8","0","","2","1","0","1","0"
"07",3,"1","0","0","1","0","","0","0","0","0","0"
"07",4,"1","1","0","0","0","","0","0","0","0","0"
"07",5,"0","0","0","0","0","","0","0","0","0","0"
"07",6,"0","0","0","0","0","","0","0","0","0","0"
"07",9,"17","","","","","17","2","2","","",""
"08",1,"NSS","NSS","NSS","NSS","NSS","","NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS","","NSS","NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS","NSS","","NSS","NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS","NSS","","NSS","NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS","NSS","","NSS","NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS","NSS","","NSS","NSS","NSS","NSS","NSS"
"08",9,"","","","","","","2354","2099","114","129","12"
"09",1,"7039","5942","596","438","63","","295","277","18","0","0"
"09",2,"417","355","28","29","5","","13","12","1","0","0"
"09",3,"43","38","0","5","0","","1","1","0","0","0"
"09",4,"4","4","0","0","0","","0","0","0","0","0"
"09",5,"2","2","0","0","0","","0","0","0","0","0"
"09",6,"0","0","0","0","0","","0","0","0","0","0"
"09",9,"","","","","","","","","","",""
"10",1,"266","209","18","39","0","","262","236","19","7","0"
"10",2,"20","16","0","2","2","","8","5","1","2","0"
"10",3,"2","0","0","2","0","","0","0","0","0","0"
"10",4,"0","0","0","0","0","","0","0","0","0","0"
"10",5,"0","0","0","0","0","","0","0","0","0","0"
"10",6,"0","0","0","0","0","","0","0","0","0","0"
"10",9,"5","","","","","5","","","","",""
"12",1,"248","176","17","49","6","","32","22","2","8","0"
"12",2,"38","23","1","11","3","","0","0","0","0","0"
"12",3,"1","1","0","0","0","","0","0","0","0","0"
"12",4,"0","0","0","0","0","","0","0","0","0","0"
"12",5,"0","0","0","0","0","","0","0","0","0","0"
"12",6,"0","0","0","0","0","","0","0","0","0","0"
"12",9,"7","","","","","7","","","","",""
"13",1,"826","574","92","134","26","","37","27","5","5","NSS"
"13",2,"162","119","12","29","2","","20","16","1","3","NSS"
"13",3,"15","14","1","0","0","","6","4","0","2","NSS"
"13",4,"3","3","0","0","0","","1","0","1","0","NSS"
"13",5,"0","0","0","0","0","","0","0","0","0","0"
"13",6,"0","0","0","0","0","","0","0","0","0","0"
"13",9,"1","","","","","1","","","","",""
"14",1,"1290","1064","65","148","13","","22","20","0","2","0"
"14",2,"161","133","15","12","1","","1","1","0","0","0"
"14",3,"36","28","2","6","0","","1","1","0","0","0"
"14",4,"25","21","0","4","0","","1","1","0","0","0"
"14",5,"2","0","2","0","0","","0","0","0","0","0"
"14",6,"0","0","0","0","0","","0","0","0","0","0"
"14",9,"117","3","","1","","113","1","1","","",""
"15",1,"NSS","NSS","NSS","NSS","NSS","","1501","1362","128","11","0"
"15",2,"NSS","NSS","NSS","NSS","NSS","","34","33","1","0","0"
"15",3,"NSS","NSS","NSS","NSS","NSS","","3","3","0","0","0"
"15",4,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"15",5,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"15",6,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"15",9,"358","151","18","46","5","138","148","138","10","",""
"16",1,"367","297","24","36","10","","76","37","3","31","5"
"16",2,"25","19","3","3","0","","11","6","0","5","0"
