entidad,particip,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"20","17","3","","NSS","NSS",""
"01",2,"24","22","2","","NSS","NSS",""
"01",3,"1","1","0","","NSS","NSS",""
"01",4,"1","1","0","","NSS","NSS",""
"01",5,"NSS","0","0","","NSS","NSS",""
"01",6,"NSS","0","0","","NSS","NSS",""
"01",7,"NSS","0","0","","NSS","NSS",""
"01",8,"NSS","0","0","","NSS","NSS",""
"01",9,"NSS","0","0","","NSS","NSS",""
"01",10,"115","100","12","","3","NSS",""
"02",1,"775","568","31","","172","4",""
"02",2,"991","949","42","","0","0",""
"02",3,"242","35","4","","184","19",""
"02",4,"145","133","11","","1","0",""
"02",5,"0","0","0","","0","0",""
"02",6,"5","2","0","","3","0",""
"02",7,"1","1","0","","0","0",""
"02",8,"0","0","0","","0","0",""
"02",9,"30","30","0","","0","0",""
"02",10,"845","155","5","41","604","36","4"
"03",1,"NSS","NSS","NSS","","0","0",""
"03",2,"12","NSS","NSS","","12","0",""
"03",3,"2","NSS","NSS","","2","0",""
"03",4,"NSS","NSS","NSS","","0","0",""
"03",5,"NSS","NSS","NSS","","0","0",""
"03",6,"NSS","NSS","NSS","","0","0",""
"03",7,"NSS","NSS","NSS","","0","0",""
"03",8,"NSS","NSS","NSS","","0","0",""
"03",9,"5","NSS","NSS","","5","0",""
"03",10,"NSS","NSS","NSS","","0","0",""
"04",1,"6","4","NSS","","2","NSS",""
"04",2,"21","10","NSS","","11","NSS",""
"04",3,"1","0","0","","1","NSS",""
"04",4,"6","0","0","","6","NSS",""
"04",5,"0","0","0","","0","0",""
"04",6,"0","0","0","","0","0",""
"04",7,"0","0","0","","0","0",""
"04",8,"0","0","0","","0","0",""
"04",9,"0","0","0","","0","0",""
"04",10,"667","5","NSS","639","1","NSS","22"
"05",1,"NSS","0","0","","0","NSS",""
"05",2,"132","109","6","","17","NSS",""
"05",3,"39","29","3","","6","1",""
"05",4,"NSS","0","0","","0","NSS",""
"05",5,"NSS","0","0","","0","NSS",""
"05",6,"3","3","0","","0","NSS",""
"05",7,"NSS","0","0","","0","NSS",""
"05",8,"NSS","0","0","","0","NSS",""
"05",9,"NSS","0","0","","0","NSS",""
"05",10,"4","0","0","1","2","1",""
"06",1,"0","0","0","","0","0",""
"06",2,"8","7","1","","0","0",""
"06",3,"1","1","0","","0","0",""
"06",4,"0","0","0","","0","0",""
"06",5,"0","0","0","","0","0",""
"06",6,"0","0","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"0","0","0","","0","0",""
"06",9,"0","0","0","","0","0",""
"06",10,"0","0","0","","0","0",""
"07",1,"31","24","4","","3","NSS",""
"07",2,"170","126","5","","37","2",""
"07",3,"30","21","3","","6","NSS",""
"07",4,"9","8","1","","0","NSS",""
"07",5,"NSS","0","0","","0","NSS",""
"07",6,"NSS","0","0","","0","NSS",""
"07",7,"NSS","0","0","","0","NSS",""
"07",8,"1","0","0","","1","NSS",""
"07",9,"NSS","0","0","","0","NSS",""
"07",10,"40","11","1","16","9","2","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"2213","NSS","NSS","","2099","114",""
"08",3,"NSS","NSS","NSS","","NSS","NSS",""
"08",4,"NSS","NSS","NSS","","NSS","NSS",""
"08",5,"NSS","NSS","NSS","","NSS","NSS",""
"08",6,"NSS","NSS","NSS","","NSS","NSS",""
"08",7,"NSS","NSS","NSS","","NSS","NSS",""
"08",8,"NSS","NSS","NSS","","NSS","NSS",""
"08",9,"NSS","NSS","NSS","","NSS","NSS",""
"08",10,"74","NSS","NSS","","NSS","NSS","74"
"09",1,"542","500","42","","NSS","NSS",""
"09",2,"4164","3860","304","","NSS","NSS",""
"09",3,"2030","1772","258","","NSS","NSS",""
"09",4,"22","21","1","","NSS","NSS",""
"09",5,"2","0","2","","NSS","NSS",""
"09",6,"30","26","4","","NSS","NSS",""
"09",7,"1","1","0","","NSS","NSS",""
"09",8,"NSS","0","0","","NSS","NSS",""
"09",9,"8","8","0","","NSS","NSS",""
"09",10,"475","153","13","","290","19",""
"10",1,"83","48","2","","31","2",""
"10",2,"215","83","11","","113","8",""
"10",3,"62","10","1","","47","4",""
"10",4,"46","32","0","","14","0",""
"10",5,"0","0","0","","0","0",""
"10",6,"9","9","0","","0","0",""
"10",7,"0","0","0","","0","0",""
"10",8,"0","0","0","","0","0",""
"10",9,"4","3","0","","1","0",""
"10",10,"91","40","4","5","35","6","1"
"12",1,"24","21","3","","0","0",""
"12",2,"167","138","13","","15","1",""
"12",3,"26","19","1","","5","1",""
"12",4,"2","1","1","","0","0",""
"12",5,"0","0","0","","0","0",""
