entidad,rangedad,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"19","18","1","","NSS","NSS",""
"01",2,"7","5","2","","NSS","NSS",""
"01",3,"9","9","0","","NSS","NSS",""
"01",4,"6","6","0","","NSS","NSS",""
"01",5,"5","4","1","","NSS","NSS",""
"01",6,"NSS","0","0","","NSS","NSS",""
"01",7,"2","2","0","","NSS","NSS",""
"01",8,"1","0","1","","NSS","NSS",""
"01",9,"NSS","0","0","","NSS","NSS",""
"01",10,"124","108","13","","3","0",""
"02",1,"819","427","17","","354","21",""
"02",2,"540","305","19","","202","14",""
"02",3,"475","302","15","","149","9",""
"02",4,"428","287","12","","122","7",""
"02",5,"314","233","13","","62","6",""
"02",6,"201","159","7","","33","2",""
"02",7,"109","82","3","","24","0",""
"02",8,"48","40","2","","6","0",""
"02",9,"28","19","0","","9","0",""
"02",10,"100","45","5","42","4","0","4"
"03",1,"5","NSS","NSS","","5","0",""
"03",2,"5","NSS","NSS","","5","0",""
"03",3,"1","NSS","NSS","","1","0",""
"03",4,"3","NSS","NSS","","3","0",""
"03",5,"1","NSS","NSS","","1","0",""
"03",6,"3","NSS","NSS","","3","0",""
"03",7,"NSS","NSS","NSS","","0","0",""
"03",8,"NSS","NSS","NSS","","0","0",""
"03",9,"1","NSS","NSS","","1","0",""
"03",10,"2","NSS","NSS","","2","0",""
"04",1,"18","11","NSS","","7","NSS",""
"04",2,"4","1","NSS","","3","NSS",""
"04",3,"6","4","NSS","","2","NSS",""
"04",4,"3","1","NSS","","2","NSS",""
"04",5,"2","2","NSS","","0","0",""
"04",6,"3","1","NSS","","2","NSS",""
"04",7,"2","1","NSS","","1","NSS",""
"04",8,"0","0","0","","0","0",""
"04",9,"0","0","0","","0","0",""
"04",10,"778","1","NSS","750","4","NSS","23"
"05",1,"63","51","4","","8","0",""
"05",2,"28","26","0","","2","0",""
"05",3,"34","27","3","","4","0",""
"05",4,"28","23","2","","3","0",""
"05",5,"18","12","2","","3","1",""
"05",6,"10","9","1","","0","0",""
"05",7,"16","9","2","","4","1",""
"05",8,"4","3","0","","1","0",""
"05",9,"7","5","0","","2","0",""
"05",10,"5","3","0","1","1","0",""
"06",1,"0","0","0","","0","0",""
"06",2,"2","2","0","","0","0",""
"06",3,"1","1","0","","0","0",""
"06",4,"5","5","0","","0","0",""
"06",5,"1","0","1","","0","0",""
"06",6,"2","2","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"0","0","0","","0","0",""
"06",9,"0","0","0","","0","0",""
"06",10,"0","0","0","","0","0",""
"07",1,"90","72","0","","18","0",""
"07",2,"70","49","5","","16","0",""
"07",3,"52","33","4","","14","1",""
"07",4,"44","35","2","","7","0",""
"07",5,"30","23","3","","4","0",""
"07",6,"16","13","1","","1","1",""
"07",7,"16","12","0","","3","1",""
"07",8,"10","9","1","","0","0",""
"07",9,"3","3","0","","0","0",""
"07",10,"46","21","4","17","2","1","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"NSS","NSS","NSS","","NSS","NSS",""
"08",4,"NSS","NSS","NSS","","NSS","NSS",""
"08",5,"NSS","NSS","NSS","","NSS","NSS",""
"08",6,"NSS","NSS","NSS","","NSS","NSS",""
"08",7,"NSS","NSS","NSS","","NSS","NSS",""
"08",8,"NSS","NSS","NSS","","NSS","NSS",""
"08",9,"NSS","NSS","NSS","","NSS","NSS",""
"08",10,"2474","NSS","NSS","","2253","129","92"
"09",1,"2308","2073","158","","70","7",""
"09",2,"1436","1281","115","","37","3",""
"09",3,"1222","1064","118","","40","0",""
"09",4,"1006","904","85","","17","0",""
"09",5,"738","654","70","","13","1",""
"09",6,"453","385","60","","8","0",""
"09",7,"265","225","33","","6","1",""
"09",8,"154","127","25","","2","0",""
"09",9,"128","97","28","","3","0",""
"09",10,"104","3","0","","94","7",""
"10",1,"147","72","4","","67","4",""
"10",2,"89","46","7","","34","2",""
"10",3,"84","44","0","","37","3",""
"10",4,"67","33","5","","26","3",""
"10",5,"34","19","1","","14","0",""
"10",6,"28","19","2","","7","0",""
"10",7,"14","5","1","","7","1",""
"10",8,"13","10","1","","2","0",""
"10",9,"10","7","0","","2","1",""
"10",10,"83","16","1","5","54","6","1"
"12",1,"88","68","6","","14","0",""
"12",2,"57","45","9","","3","0",""
"12",3,"34","30","2","","2","0",""
"12",4,"33","28","2","","3","0",""
"12",5,"32","29","0","","1","2",""
"12",6,"19","16","1","","2","0",""
"12",7,"16","12","4","","0","0",""
"12",8,"11","7","2","","2","0",""
"12",9,"18","15","0","","3","0",""
"12",10,"19","10","1","7","1","0",""
"13",1,"229","194","18","","16","1",""
"13",2,"196","157","24","","12","3",""
"13",3,"196","166","25","","5","0",""
"13",4,"139","115","15","","8","1",""
"13",5,"96","75","14","","6","1",""
"13",6,"59","45","9","","5","0",""
"13",7,"52","43","8","","1","0",""
"13",8,"35","28","5","","2","0",""
"13",9,"48","39","8","","1","0",""
"13",10,"22","11","7","1","1","1","1"
"14",1,"403","380","11","","12","0",""
"14",2,"255","240","11","","4","0",""
"14",3,"233","209","22","","2","0",""
"14",4,"147","130","14","","3","0",""
"14",5,"117","107","9","","1","0",""
"14",6,"60","50","8","","2","0",""
"14",7,"38","35","3","","0","0",""
"14",8,"21","20","1","","0","0",""
"14",9,"31","26","3","","2","0",""
"14",10,"353","224","16","113","0","0",""
"15",1,"100","7","0","","90","3",""
"15",2,"63","3","2","","53","5",""
"15",3,"65","10","0","","50","5",""
"15",4,"42","9","1","","30","2",""
"15",5,"38","7","1","","30","0",""
"15",6,"16","2","0","","13","1",""
"15",7,"18","6","1","","11","0",""
"15",8,"9","2","0","","6","1",""
"15",9,"862","2","1","","777","82",""
"15",10,"875","162","19","144","502","40","8"
"16",1,"108","77","7","","20","4",""
"16",2,"87","62","11","","14","0",""
"16",3,"75","58","2","","14","1",""
"16",4,"63","48","4","","10","1",""
"16",5,"54","41","4","","8","1",""
"16",6,"40","33","3","","4","0",""
"16",7,"28","20","3","","5","0",""
"16",8,"12","11","1","","0","0",""
"16",9,"14","11","1","","2","0",""
"16",10,"30","26","1","","2","1",""
"17",1,"66","0","0","","62","4",""
"17",2,"51","0","0","","48","3",""
"17",3,"33","0","0","","28","5",""
"17",4,"16","0","0","","14","2",""
"17",5,"15","0","0","","15","0",""
"17",6,"5","0","0","","5","0",""
"17",7,"6","0","0","","6","0",""
"17",8,"3","0","0","","3","0",""
"17",9,"5","0","0","","4","1",""
"17",10,"29","0","0","","18","2","9"
"18",1,"103","21","0","","76","6",""
"18",2,"91","21","3","","60","7",""
"18",3,"81","22","0","","54","5",""
"18",4,"50","19","1","","29","1",""
"18",5,"56","17","1","","38","0",""
"18",6,"23","5","1","","14","3",""
"18",7,"11","4","1","","6","0",""
"18",8,"11","5","0","","5","1",""
"18",9,"8","3","0","","5","0",""
"18",10,"58","24","2","27","4","0","1"
"19",1,"14","14","0","","0","NSS",""
"19",2,"11","11","0","","0","NSS",""
"19",3,"13","10","3","","0","NSS",""
"19",4,"16","15","0","","1","NSS",""
"19",5,"5","5","0","","0","NSS",""
"19",6,"5","4","0","","1","NSS",""
"19",7,"4","4","0","","0","NSS",""
"19",8,"1","1","0","","0","NSS",""
"19",9,"1","1","0","","0","NSS",""
"19",10,"608","1","0","605","NSS","NSS","2"
"20",1,"NSS","NSS","NSS","","0","0",""
"20",2,"NSS","NSS","NSS","","0","0",""
"20",3,"NSS","NSS","NSS","","0","0",""
"20",4,"NSS","NSS","NSS","","0","0",""
"20",5,"NSS","NSS","NSS","","0","0",""
"20",6,"NSS","NSS","NSS","","0","0",""
"20",7,"NSS","NSS","NSS","","0","0",""
"20",8,"NSS","NSS","NSS","","0","0",""
"20",9,"NSS","NSS","NSS","","0","0",""
"20",10,"107","NSS","NSS","107","0","0",""
"21",1,"218","203","11","","4","0",""
"21",2,"125","112","7","","5","1",""
"21",3,"120","110","9","","1","0",""
"21",4,"76","71","4","","1","0",""
"21",5,"41","39","2","","0","0",""
"21",6,"36","31","4","","1","0",""
"21",7,"16","15","1","","0","0",""
"21",8,"8","8","0","","0","0",""
"21",9,"10","9","1","","0","0",""
"21",10,"41","30","7","4","0","0",""
"22",1,"68","61","3","","4","NSS",""
"22",2,"44","40","4","","0","NSS",""
"22",3,"28","26","0","","2","NSS",""
"22",4,"30","24","1","","5","NSS",""
"22",5,"20","12","4","","4","NSS",""
"22",6,"15","10","3","","2","NSS",""
"22",7,"7","7","0","","0","NSS",""
"22",8,"3","2","0","","1","NSS",""
"22",9,"6","4","0","","2","NSS",""
"22",10,"3","3","0","","0","NSS",""
"23",1,"35","13","1","","21","0",""
"23",2,"15","2","1","","12","0",""
"23",3,"21","4","0","","17","0",""
"23",4,"13","3","0","","10","0",""
"23",5,"11","2","0","","8","1",""
"23",6,"6","0","1","","4","1",""
"23",7,"7","1","0","","6","0",""
"23",8,"5","0","0","","5","0",""
"23",9,"2","1","0","","1","0",""
"23",10,"3","0","0","","2","1",""
"24",1,"188","175","8","","5","NSS",""
"24",2,"229","214","13","","2","NSS",""
"24",3,"95","84","6","","5","NSS",""
"24",4,"92","85","4","","3","NSS",""
"24",5,"55","53","2","","0","NSS",""
"24",6,"20","18","1","","1","NSS",""
"24",7,"20","17","3","","0","NSS",""
"24",8,"7","6","NSS","","1","NSS",""
"24",9,"1","NSS","NSS","","1","NSS",""
"24",10,"207","187","19","","0","1",""
"25",1,"135","126","9","","0","NSS",""
"25",2,"85","79","6","","0","NSS",""
"25",3,"55","51","4","","0","NSS",""
"25",4,"53","48","4","","1","NSS",""
"25",5,"41","39","2","","0","NSS",""
"25",6,"20","17","2","","1","NSS",""
"25",7,"14","13","1","","0","NSS",""
"25",8,"5","4","1","","0","NSS",""
"25",9,"5","4","1","","0","NSS",""
"25",10,"1619","203","16","1394","1","NSS","5"
"26",1,"484","401","17","","65","1",""
"26",2,"327","272","11","","40","4",""
"26",3,"317","267","12","","35","3",""
"26",4,"276","234","11","","28","3",""
"26",5,"145","126","5","","14","0",""
"26",6,"90","75","2","","12","1",""
"26",7,"54","47","6","","1","0",""
"26",8,"25","22","0","","3","0",""
"26",9,"15","12","2","","1","0",""
"26",10,"182","155","10","","15","2",""
"27",1,"95","87","2","","4","2",""
"27",2,"58","49","4","","2","3",""
"27",3,"49","46","1","","0","2",""
"27",4,"26","23","2","","0","1",""
"27",5,"21","20","0","","0","1",""
"27",6,"12","12","0","","0","0",""
"27",7,"16","16","0","","0","0",""
"27",8,"3","2","1","","0","0",""
"27",9,"4","4","0","","0","0",""
"27",10,"14","0","0","2","12","0",""
"28",1,"NSS","NSS","NSS","","0","0",""
"28",2,"NSS","NSS","NSS","","0","0",""
"28",3,"NSS","NSS","NSS","","0","0",""
"28",4,"NSS","NSS","NSS","","0","0",""
"28",5,"NSS","NSS","NSS","","0","0",""
"28",6,"NSS","NSS","NSS","","0","0",""
"28",7,"NSS","NSS","NSS","","0","0",""
"28",8,"NSS","NSS","NSS","","0","0",""
"28",9,"NSS","NSS","NSS","","0","0",""
"28",10,"1642","185","8","1449","0","0",""
"29",1,"103","91","12","","0","0",""
"29",2,"98","89","9","","0","0",""
"29",3,"91","81","10","","0","0",""
"29",4,"83","71","12","","0","0",""
"29",5,"41","38","3","","0","0",""
"29",6,"30","25","5","","0","0",""
"29",7,"11","8","3","","0","0",""
"29",8,"11","8","3","","0","0",""
"29",9,"15","13","2","","0","0",""
"29",10,"113","78","12","23","0","0",""
"30",1,"29","22","1","","6","0",""
"30",2,"39","31","1","","7","0",""
"30",3,"30","18","2","","9","1",""
"30",4,"33","23","6","","2","2",""
"30",5,"22","20","1","","1","0",""
"30",6,"14","9","2","","3","0",""
"30",7,"11","7","1","","3","0",""
"30",8,"7","4","2","","1","0",""
"30",9,"13","9","3","","1","0",""
"30",10,"31","19","1","10","1","0",""
"31",1,"47","1","0","","43","3",""
"31",2,"27","0","0","","25","2",""
"31",3,"28","1","0","","25","2",""
"31",4,"29","0","0","","27","2",""
"31",5,"12","0","0","","11","1",""
"31",6,"9","0","0","","9","0",""
"31",7,"3","0","0","","3","0",""
"31",8,"4","0","0","","4","0",""
"31",9,"2","0","0","","2","0",""
"31",10,"18","3","0","","15","0",""
"32",1,"67","25","4","","38","0",""
"32",2,"54","35","6","","13","0",""
"32",3,"52","30","4","","17","1",""
"32",4,"45","29","2","","13","1",""
"32",5,"20","5","4","","9","2",""
"32",6,"16","10","2","","3","1",""
"32",7,"15","9","1","","5","0",""
"32",8,"10","5","1","","3","1",""
"32",9,"20","15","1","","4","0",""
"32",10,"271","176","34","58","1","2",""
