entidad,dom_espa,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"166","152","14","","NSS","NSS",""
"01",2,"NSS","0","NSS","","NSS","NSS",""
"01",3,"7","0","4","","3","NSS",""
"02",1,"2975","1867","90","","960","58",""
"02",2,"3","2","NSS","","1","NSS",""
"02",3,"84","30","3","42","4","1","4"
"03",1,"19","NSS","NSS","","19","0",""
"03",2,"1","NSS","NSS","","1","0",""
"03",3,"1","NSS","NSS","","1","0",""
"04",1,"41","22","NSS","","19","NSS",""
"04",2,"NSS","NSS","NSS","","NSS","NSS",""
"04",3,"775","0","0","750","2","NSS","23"
"05",1,"203","162","14","","25","2",""
"05",2,"NSS","NSS","0","","NSS","0",""
"05",3,"10","6","0","1","3","0",""
"06",1,"11","10","1","","0","0",""
"06",2,"0","0","0","","0","0",""
"06",3,"0","0","0","","0","0",""
"07",1,"337","256","18","","60","3",""
"07",2,"5","4","NSS","","1","NSS",""
"07",3,"35","10","2","17","4","1","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"2474","NSS","NSS","","2253","129","92"
"09",1,"7481","6737","675","","66","3",""
"09",2,"19","13","6","","0","0",""
"09",3,"314","63","11","","224","16",""
"10",1,"487","251","21","","201","14",""
"10",2,"3","2","NSS","","1","NSS",""
"10",3,"79","18","1","5","48","6","1"
"12",1,"290","236","26","","27","1",""
"12",2,"10","7","1","","2","NSS",""
"12",3,"27","17","0","7","2","1",""
"13",1,"1048","853","132","","56","7",""
"13",2,"5","5","NSS","","NSS","0",""
"13",3,"19","15","1","1","1","0","1"
"14",1,"1331","1223","83","","25","0",""
"14",2,"5","5","NSS","","NSS","0",""
"14",3,"322","193","15","113","1","0",""
"15",1,"387","NSS","NSS","","365","22",""
"15",2,"1","NSS","NSS","","1","NSS",""
"15",3,"1700","210","25","144","1196","117","8"
"16",1,"435","364","36","","34","1",""
"16",2,"25","23","1","","1","NSS",""
"16",3,"51","0","0","","44","7",""
"17",1,"161","0","0","","149","12",""
"17",2,"4","0","0","","4","NSS",""
"17",3,"64","0","0","","50","5","9"
"18",1,"439","122","7","","287","23",""
"18",2,"3","2","1","","NSS","0",""
"18",3,"50","17","1","27","4","0","1"
"19",1,"25","23","0","","2","NSS",""
"19",2,"46","43","3","","NSS","NSS",""
"19",3,"607","0","0","605","NSS","NSS","2"
"20",1,"NSS","NSS","NSS","","0","0",""
"20",2,"NSS","NSS","NSS","","0","0",""
"20",3,"107","NSS","NSS","107","0","0",""
"21",1,"652","596","43","","12","1",""
"21",2,"1","1","NSS","","0","0",""
"21",3,"38","31","3","4","0","0",""
"22",1,"211","180","14","","17","NSS",""
"22",2,"2","2","NSS","","NSS","NSS",""
"22",3,"11","7","1","","3","NSS",""
"23",1,"109","26","3","","78","2",""
"23",2,"2","0","0","","2","NSS",""
"23",3,"7","0","0","","6","1",""
"24",1,"683","633","31","","18","1",""
"24",2,"91","88","3","","0","0",""
"24",3,"140","118","22","","0","0",""
"25",1,"NSS","NSS","NSS","","NSS","NSS",""
"25",2,"NSS","NSS","NSS","","NSS","NSS",""
"25",3,"2032","584","46","1394","3","NSS","5"
"26",1,"1878","1579","74","","212","13",""
"26",2,"2","1","NSS","","NSS","1",""
"26",3,"35","31","2","","2","0",""
"27",1,"267","244","10","","4","9",""
"27",2,"17","3","0","","14","0",""
"27",3,"14","12","0","2","0","0",""
"28",1,"148","146","2","","0","0",""
"28",2,"NSS","NSS","NSS","","0","0",""
"28",3,"1494","39","6","1449","0","0",""
"29",1,"534","467","67","","0","0",""
"29",2,"2","2","NSS","","0","0",""
"29",3,"60","33","4","23","0","0",""
"30",1,"203","150","18","","33","2",""
"30",2,"1","NSS","NSS","","NSS","1",""
"30",3,"25","12","2","10","1","0",""
"31",1,"162","5","0","","149","8",""
"31",2,"4","0","0","","3","1",""
"31",3,"13","0","0","","12","1",""
"32",1,"478","323","57","","94","4",""
"32",2,"NSS","NSS","NSS","","NSS","NSS",""
"32",3,"92","16","2","58","12","4",""
