entidad,gdo_estu,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"2","1","1","","NSS","NSS",""
"01",2,"13","11","2","","NSS","NSS",""
"01",3,"24","23","1","","NSS","NSS",""
"01",4,"10","9","1","","NSS","NSS",""
"01",5,"NSS","NSS","NSS","","NSS","NSS",""
"01",6,"NSS","NSS","NSS","","NSS","NSS",""
"01",7,"NSS","NSS","NSS","","NSS","NSS",""
"01",8,"NSS","NSS","NSS","","NSS","NSS",""
"01",9,"124","108","13","","3","NSS",""
"02",1,"93","66","4","","23","0",""
"02",2,"893","589","33","","258","13",""
"02",3,"1429","880","41","","474","34",""
"02",4,"503","296","11","","185","11",""
"02",5,"0","0","0","","0","0",""
"02",6,"47","26","1","","19","1",""
"02",7,"0","0","0","","0","0",""
"02",8,"0","0","0","","0","0",""
"02",9,"97","42","3","42","6","0","4"
"03",1,"3","NSS","NSS","","3","0",""
"03",2,"12","NSS","NSS","","12","0",""
"03",3,"5","NSS","NSS","","5","0",""
"03",4,"1","NSS","NSS","","1","0",""
"03",5,"NSS","NSS","NSS","","0","0",""
"03",6,"NSS","NSS","NSS","","0","0",""
"03",7,"NSS","NSS","NSS","","0","0",""
"03",8,"NSS","NSS","NSS","","0","0",""
"03",9,"NSS","NSS","NSS","","0","0",""
"04",1,"4","3","NSS","","1","NSS",""
"04",2,"19","7","NSS","","12","NSS",""
"04",3,"12","10","NSS","","2","NSS",""
"04",4,"3","2","NSS","","1","NSS",""
"04",5,"0","0","0","","0","0",""
"04",6,"0","0","0","","0","0",""
"04",7,"0","0","0","","0","0",""
"04",8,"0","0","0","","0","0",""
"04",9,"778","0","0","750","5","NSS","23"
"05",1,"2","2","0","","0","0",""
"05",2,"85","62","4","","18","1",""
"05",3,"84","75","4","","5","0",""
"05",4,"32","21","5","","5","1",""
"05",5,"0","0","0","","0","0",""
"05",6,"5","5","0","","0","0",""
"05",7,"0","0","0","","0","0",""
"05",8,"0","0","0","","0","0",""
"05",9,"5","3","1","1","0","0",""
"06",1,"2","2","0","","0","0",""
"06",2,"5","5","0","","0","0",""
"06",3,"2","2","0","","0","0",""
"06",4,"2","1","1","","0","0",""
"06",5,"0","0","0","","0","0",""
"06",6,"0","0","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"0","0","0","","0","0",""
"06",9,"0","0","0","","0","0",""
"07",1,"39","34","3","","2","0",""
"07",2,"144","100","5","","37","2",""
"07",3,"95","75","7","","12","1",""
"07",4,"34","33","0","","1","0",""
"07",5,"0","0","0","","0","0",""
"07",6,"10","9","1","","0","0",""
"07",7,"0","0","0","","0","0",""
"07",8,"1","1","0","","0","0",""
"07",9,"54","18","4","17","13","1","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"NSS","NSS","NSS","","NSS","NSS",""
"08",4,"NSS","NSS","NSS","","NSS","NSS",""
"08",5,"NSS","NSS","NSS","","NSS","NSS",""
"08",6,"NSS","NSS","NSS","","NSS","NSS",""
"08",7,"NSS","NSS","NSS","","NSS","NSS",""
"08",8,"NSS","NSS","NSS","","NSS","NSS",""
"08",9,"2474","NSS","NSS","","2253","129","92"
"09",1,"133","125","8","","0","0",""
"09",2,"1598","1450","146","","2","0",""
"09",3,"3481","3180","290","","11","0",""
"09",4,"1636","1447","151","","36","2",""
"09",5,"172","127","28","","16","1",""
"09",6,"390","345","44","","1","0",""
"09",7,"20","18","2","","0","0",""
"09",8,"NSS","NSS","NSS","","NSS","NSS",""
"09",9,"384","121","23","","224","16",""
"10",1,"16","10","0","","5","1",""
"10",2,"252","95","6","","140","11",""
"10",3,"156","103","8","","43","2",""
"10",4,"45","29","5","","10","1",""
"10",5,"0","0","0","","0","0",""
"10",6,"13","11","2","","0","0",""
"10",7,"0","0","0","","0","0",""
"10",8,"0","0","0","","0","0",""
"10",9,"87","23","1","5","52","5","1"
"12",1,"25","16","5","","4","NSS",""
"12",2,"111","83","4","","23","1",""
"12",3,"91","79","10","","2","NSS",""
"12",4,"52","48","3","","1","NSS",""
"12",5,"NSS","0","0","","0","NSS",""
"12",6,"22","17","5","","0","NSS",""
"12",7,"NSS","0","0","","0","NSS",""
"12",8,"NSS","0","0","","0","NSS",""
"12",9,"26","17","0","7","1","1",""
"13",1,"45","36","9","","0","0",""
"13",2,"300","236","24","","34","6",""
"13",3,"419","358","47","","14","0",""
"13",4,"182","147","28","","7","0",""
"13",5,"0","0","0","","0","0",""
"13",6,"98","75","21","","1","1",""
"13",7,"2","1","1","","0","0",""
"13",8,"1","0","1","","0","0",""
"13",9,"25","20","2","1","1","0","1"
"14",1,"40","37","3","","0","0",""
"14",2,"403","370","15","","18","0",""
"14",3,"552","515","34","","3","0",""
"14",4,"243","218","23","","2","0",""
"14",5,"0","0","0","","0","0",""
"14",6,"63","57","6","","0","0",""
"14",7,"2","1","1","","0","0",""
"14",8,"2","2","0","","0","0",""
"14",9,"353","221","16","113","3","0",""
"15",1,"14","NSS","NSS","","11","3",""
"15",2,"280","NSS","NSS","","264","16",""
"15",3,"49","NSS","NSS","","47","2",""
"15",4,"12","NSS","NSS","","12","0",""
"15",5,"NSS","NSS","NSS","","0","0",""
"15",6,"NSS","NSS","NSS","","0","0",""
"15",7,"NSS","NSS","NSS","","0","0",""
"15",8,"NSS","NSS","NSS","","0","0",""
"15",9,"1733","210","25","144","1228","118","8"
"16",1,"17","16","1","","0","0",""
"16",2,"195","127","11","","52","5",""
"16",3,"120","102","9","","7","2",""
"16",4,"59","49","2","","8","0",""
"16",5,"0","0","0","","0","0",""
"16",6,"29","26","2","","1","0",""
"16",7,"2","2","0","","0","0",""
"16",8,"0","0","0","","0","0",""
"16",9,"89","65","12","","11","1",""
"17",1,"7","0","0","","6","1",""
"17",2,"137","0","0","","127","10",""
"17",3,"33","0","0","","32","1",""
"17",4,"8","0","0","","7","1",""
"17",5,"0","0","0","","0","0",""
"17",6,"0","0","0","","0","0",""
"17",7,"0","0","0","","0","0",""
"17",8,"0","0","0","","0","0",""
"17",9,"44","0","0","","31","4","9"
"18",1,"11","4","0","","6","1",""
"18",2,"257","31","0","","210","16",""
"18",3,"127","61","6","","56","4",""
"18",4,"35","17","1","","15","2",""
"18",5,"0","0","0","","0","0",""
"18",6,"5","4","0","","1","0",""
"18",7,"0","0","0","","0","0",""
"18",8,"0","0","0","","0","0",""
"18",9,"57","24","2","27","3","0","1"
"19",1,"1","1","0","","0","NSS",""
"19",2,"20","19","1","","0","NSS",""
"19",3,"34","32","2","","0","NSS",""
"19",4,"10","10","0","","0","NSS",""
"19",5,"NSS","0","0","","0","NSS",""
"19",6,"2","1","0","","1","NSS",""
"19",7,"NSS","0","0","","0","NSS",""
"19",8,"NSS","0","0","","0","NSS",""
"19",9,"611","3","0","605","1","NSS","2"
"20",1,"NSS","NSS","NSS","","0","0",""
"20",2,"NSS","NSS","NSS","","0","0",""
"20",3,"NSS","NSS","NSS","","0","0",""
"20",4,"NSS","NSS","NSS","","0","0",""
"20",5,"NSS","NSS","NSS","","0","0",""
"20",6,"NSS","NSS","NSS","","0","0",""
"20",7,"NSS","NSS","NSS","","0","0",""
"20",8,"NSS","NSS","NSS","","0","0",""
"20",9,"107","NSS","NSS","107","0","0",""
"21",1,"15","13","1","","1","0",""
"21",2,"195","175","11","","8","1",""
"21",3,"302","280","19","","3","0",""
"21",4,"109","101","8","","0","0",""
"21",5,"0","0","0","","0","0",""
"21",6,"14","13","1","","0","0",""
"21",7,"1","1","0","","0","0",""
"21",8,"0","0","0","","0","0",""
"21",9,"55","45","6","4","0","0",""
"22",1,"6","3","0","","3","NSS",""
"22",2,"86","70","2","","14","NSS",""
"22",3,"91","78","11","","2","NSS",""
"22",4,"27","26","1","","0","NSS",""
"22",5,"NSS","0","0","","0","NSS",""
"22",6,"7","6","1","","0","NSS",""
"22",7,"NSS","0","0","","0","NSS",""
"22",8,"NSS","0","0","","0","NSS",""
"22",9,"7","6","0","","1","NSS",""
"23",1,"5","0","0","","5","0",""
"23",2,"66","5","2","","57","2",""
"23",3,"33","15","1","","17","0",""
"23",4,"11","5","0","","5","1",""
"23",5,"0","0","0","","0","0",""
"23",6,"1","1","0","","0","0",""
"23",7,"0","0","0","","0","0",""
"23",8,"0","0","0","","0","0",""
"23",9,"2","0","0","","2","0",""
"24",1,"136","134","1","","1","0",""
"24",2,"208","185","13","","10","0",""
"24",3,"223","201","16","","6","0",""
"24",4,"76","69","5","","1","1",""
"24",5,"37","35","2","","0","0",""
"24",6,"27","27","NSS","","0","0",""
"24",7,"NSS","NSS","NSS","","0","0",""
"24",8,"NSS","NSS","NSS","","0","0",""
"24",9,"207","188","19","","0","0",""
"25",1,"7","7","0","","NSS","NSS",""
"25",2,"75","70","5","","NSS","NSS",""
"25",3,"136","129","7","","NSS","NSS",""
"25",4,"68","61","7","","NSS","NSS",""
"25",5,"NSS","0","0","","NSS","NSS",""
"25",6,"27","21","6","","NSS","NSS",""
"25",7,"NSS","0","0","","NSS","NSS",""
"25",8,"NSS","0","0","","NSS","NSS",""
"25",9,"1719","296","21","1394","3","NSS","5"
"26",1,"5","0","0","","5","0",""
"26",2,"489","296","14","","168","11",""
"26",3,"848","784","31","","30","3",""
"26",4,"289","273","13","","3","0",""
"26",5,"0","0","0","","0","0",""
"26",6,"54","47","7","","0","0",""
"26",7,"0","0","0","","0","0",""
"26",8,"0","0","0","","0","0",""
"26",9,"230","211","11","","8","0",""
"27",1,"12","12","0","","0","0",""
"27",2,"86","74","2","","3","7",""
"27",3,"108","99","4","","3","2",""
"27",4,"54","51","3","","0","0",""
"27",5,"0","0","0","","0","0",""
"27",6,"13","12","1","","0","0",""
"27",7,"0","0","0","","0","0",""
"27",8,"0","0","0","","0","0",""
"27",9,"25","11","0","2","12","0",""
"28",1,"NSS","0","NSS","","0","0",""
"28",2,"44","42","2","","0","0",""
"28",3,"32","32","NSS","","0","0",""
"28",4,"5","5","NSS","","0","0",""
"28",5,"NSS","0","NSS","","0","0",""
"28",6,"NSS","0","NSS","","0","0",""
"28",7,"1","1","NSS","","0","0",""
"28",8,"NSS","0","NSS","","0","0",""
"28",9,"1560","105","6","1449","0","0",""
"29",1,"10","9","1","","0","0",""
"29",2,"185","160","25","","0","0",""
"29",3,"218","195","23","","0","0",""
"29",4,"80","70","10","","0","0",""
"29",5,"0","0","0","","0","0",""
"29",6,"39","30","9","","0","0",""
"29",7,"2","2","0","","0","0",""
"29",8,"0","0","0","","0","0",""
"29",9,"62","36","3","23","0","0",""
"30",1,"19","12","4","","2","1",""
"30",2,"85","52","4","","27","2",""
"30",3,"49","41","5","","3","0",""
"30",4,"34","31","3","","0","0",""
"30",5,"0","0","0","","0","0",""
"30",6,"15","12","3","","0","0",""
"30",7,"0","0","0","","0","0",""
"30",8,"0","0","0","","0","0",""
"30",9,"27","14","1","10","2","0",""
"31",1,"13","0","0","","12","1",""
"31",2,"102","0","0","","97","5",""
"31",3,"29","1","0","","26","2",""
"31",4,"7","1","0","","4","2",""
"31",5,"0","0","0","","0","0",""
"31",6,"1","0","0","","1","0",""
"31",7,"0","0","0","","0","0",""
"31",8,"0","0","0","","0","0",""
"31",9,"27","3","0","","24","0",""
"32",1,"10","6","1","","3","0",""
"32",2,"112","58","9","","43","2",""
"32",3,"89","70","11","","6","2",""
"32",4,"34","20","5","","6","3",""
"32",5,"0","0","0","","0","0",""
"32",6,"12","11","1","","0","0",""
"32",7,"1","0","0","","1","0",""
"32",8,"5","5","0","","0","0",""
"32",9,"307","169","32","58","47","1",""
