entidad,fam_ling,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"NSS","NSS","NSS","","NSS","NSS",""
"01",2,"NSS","NSS","NSS","","NSS","NSS",""
"01",3,"NSS","NSS","NSS","","NSS","NSS",""
"01",4,"NSS","NSS","NSS","","NSS","NSS",""
"01",5,"NSS","NSS","NSS","","NSS","NSS",""
"01",6,"NSS","NSS","NSS","","NSS","NSS",""
"01",7,"NSS","NSS","NSS","","NSS","NSS",""
"01",8,"NSS","NSS","NSS","","NSS","NSS",""
"01",9,"NSS","NSS","NSS","","NSS","NSS",""
"01",10,"NSS","NSS","NSS","","NSS","NSS",""
"01",11,"NSS","NSS","NSS","","NSS","NSS",""
"01",12,"NSS","NSS","NSS","","NSS","NSS",""
"01",13,"NSS","NSS","NSS","","NSS","NSS",""
"01",14,"NSS","NSS","NSS","","NSS","NSS",""
"01",15,"173","152","18","","3","NSS",""
"02",1,"1682","1602","80","","NSS","NSS",""
"02",2,"NSS","0","NSS","","NSS","NSS",""
"02",3,"NSS","0","NSS","","NSS","NSS",""
"02",4,"NSS","0","NSS","","NSS","NSS",""
"02",5,"NSS","0","NSS","","NSS","NSS",""
"02",6,"NSS","0","NSS","","NSS","NSS",""
"02",7,"NSS","0","NSS","","NSS","NSS",""
"02",8,"NSS","0","NSS","","NSS","NSS",""
"02",9,"NSS","0","NSS","","NSS","NSS",""
"02",10,"NSS","0","NSS","","NSS","NSS",""
"02",11,"NSS","0","NSS","","NSS","NSS",""
"02",12,"NSS","0","NSS","","NSS","NSS",""
"02",13,"NSS","0","NSS","","NSS","NSS",""
"02",14,"1","1","NSS","","NSS","NSS",""
"02",15,"1333","296","13","","965","59",""
"03",1,"20","NSS","NSS","","20","0",""
"03",2,"NSS","NSS","NSS","","NSS","0",""
"03",3,"NSS","NSS","NSS","","NSS","0",""
"03",4,"NSS","NSS","NSS","","NSS","0",""
"03",5,"NSS","NSS","NSS","","NSS","0",""
"03",6,"NSS","NSS","NSS","","NSS","0",""
"03",7,"NSS","NSS","NSS","","NSS","0",""
"03",8,"NSS","NSS","NSS","","NSS","0",""
"03",9,"NSS","NSS","NSS","","NSS","0",""
"03",10,"NSS","NSS","NSS","","NSS","0",""
"03",11,"NSS","NSS","NSS","","NSS","0",""
"03",12,"NSS","NSS","NSS","","NSS","0",""
"03",13,"NSS","NSS","NSS","","NSS","0",""
"03",14,"NSS","NSS","NSS","","NSS","0",""
"03",15,"1","NSS","NSS","","1","0",""
"04",1,"39","22","NSS","","17","NSS",""
"04",2,"0","0","0","","0","0",""
"04",3,"0","0","0","","0","0",""
"04",4,"0","0","0","","0","0",""
"04",5,"0","0","0","","0","0",""
"04",6,"0","0","0","","0","0",""
"04",7,"0","0","0","","0","0",""
"04",8,"0","0","0","","0","0",""
"04",9,"0","0","0","","0","0",""
"04",10,"1","0","NSS","","1","NSS",""
"04",11,"0","0","0","","0","0",""
"04",12,"0","0","0","","0","0",""
"04",13,"0","0","0","","0","0",""
"04",14,"0","0","0","","0","0",""
"04",15,"776","0","NSS","750","3","NSS","23"
"05",1,"203","162","12","","27","2",""
"05",2,"NSS","0","NSS","","NSS","0",""
"05",3,"NSS","0","NSS","","NSS","0",""
"05",4,"NSS","0","NSS","","NSS","0",""
"05",5,"NSS","0","NSS","","NSS","0",""
"05",6,"NSS","0","NSS","","NSS","0",""
"05",7,"NSS","0","NSS","","NSS","0",""
"05",8,"NSS","0","NSS","","NSS","0",""
"05",9,"NSS","0","NSS","","NSS","0",""
"05",10,"NSS","0","NSS","","NSS","0",""
"05",11,"NSS","0","NSS","","NSS","0",""
"05",12,"NSS","0","NSS","","NSS","0",""
"05",13,"NSS","0","NSS","","NSS","0",""
"05",14,"1","1","NSS","","NSS","0",""
"05",15,"9","5","2","1","1","0",""
"06",1,"11","10","1","","0","0",""
"06",2,"0","0","0","","0","0",""
"06",3,"0","0","0","","0","0",""
"06",4,"0","0","0","","0","0",""
"06",5,"0","0","0","","0","0",""
"06",6,"0","0","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"0","0","0","","0","0",""
"06",9,"0","0","0","","0","0",""
"06",10,"0","0","0","","0","0",""
"06",11,"0","0","0","","0","0",""
"06",12,"0","0","0","","0","0",""
"06",13,"0","0","0","","0","0",""
"06",14,"0","0","0","","0","0",""
"06",15,"0","0","0","","0","0",""
"07",1,"325","247","16","","59","3",""
"07",2,"NSS","0","NSS","","0","NSS",""
"07",3,"NSS","0","NSS","","0","NSS",""
"07",4,"NSS","0","NSS","","0","NSS",""
"07",5,"NSS","0","NSS","","0","NSS",""
"07",6,"NSS","0","NSS","","0","NSS",""
"07",7,"NSS","0","NSS","","0","NSS",""
"07",8,"NSS","0","NSS","","0","NSS",""
"07",9,"NSS","0","NSS","","0","NSS",""
"07",10,"NSS","0","NSS","","0","NSS",""
"07",11,"NSS","0","NSS","","0","NSS",""
"07",12,"NSS","0","NSS","","0","NSS",""
"07",13,"NSS","0","NSS","","0","NSS",""
"07",14,"13","11","NSS","","2","NSS",""
"07",15,"39","12","4","17","4","1","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"NSS","NSS","NSS","","NSS","NSS",""
"08",4,"NSS","NSS","NSS","","NSS","NSS",""
"08",5,"NSS","NSS","NSS","","NSS","NSS",""
"08",6,"NSS","NSS","NSS","","NSS","NSS",""
"08",7,"NSS","NSS","NSS","","NSS","NSS",""
"08",8,"NSS","NSS","NSS","","NSS","NSS",""
"08",9,"NSS","NSS","NSS","","NSS","NSS",""
"08",10,"NSS","NSS","NSS","","NSS","NSS",""
"08",11,"NSS","NSS","NSS","","NSS","NSS",""
"08",12,"NSS","NSS","NSS","","NSS","NSS",""
"08",13,"NSS","NSS","NSS","","NSS","NSS",""
"08",14,"NSS","NSS","NSS","","NSS","NSS",""
"08",15,"2474","NSS","NSS","","2253","129","92"
"09",1,"7793","6793","692","","289","19",""
"09",2,"0","0","0","","0","0",""
"09",3,"0","0","0","","0","0",""
"09",4,"3","3","0","","0","0",""
"09",5,"7","7","0","","0","0",""
"09",6,"0","0","0","","0","0",""
"09",7,"0","0","0","","0","0",""
"09",8,"1","0","0","","1","0",""
"09",9,"1","1","0","","0","0",""
"09",10,"0","0","0","","0","0",""
"09",11,"0","0","0","","0","0",""
"09",12,"0","0","0","","0","0",""
"09",13,"0","0","0","","0","0",""
"09",14,"7","7","0","","0","0",""
"09",15,"2","2","0","","0","0",""
"10",1,"449","230","18","","187","14",""
"10",2,"NSS","0","NSS","","NSS","NSS",""
"10",3,"NSS","0","NSS","","NSS","NSS",""
"10",4,"NSS","0","NSS","","NSS","NSS",""
"10",5,"NSS","0","NSS","","NSS","NSS",""
"10",6,"NSS","0","NSS","","NSS","NSS",""
"10",7,"NSS","0","NSS","","NSS","NSS",""
"10",8,"NSS","0","NSS","","NSS","NSS",""
"10",9,"NSS","0","NSS","","NSS","NSS",""
"10",10,"NSS","0","NSS","","NSS","NSS",""
"10",11,"NSS","0","NSS","","NSS","NSS",""
"10",12,"NSS","0","NSS","","NSS","NSS",""
"10",13,"NSS","0","NSS","","NSS","NSS",""
"10",14,"2","2","NSS","","NSS","NSS",""
"10",15,"118","39","4","5","63","6","1"
"12",1,"276","224","25","","25","2",""
"12",2,"0","0","0","","0","0",""
"12",3,"0","0","0","","0","0",""
"12",4,"0","0","0","","0","0",""
"12",5,"0","0","0","","0","0",""
"12",6,"0","0","0","","0","0",""
"12",7,"6","4","0","","2","0",""
"12",8,"0","0","0","","0","0",""
"12",9,"0","0","0","","0","0",""
"12",10,"0","0","0","","0","0",""
"12",11,"0","0","0","","0","0",""
"12",12,"0","0","0","","0","0",""
"12",13,"0","0","0","","0","0",""
"12",14,"12","7","1","","4","0",""
"12",15,"33","25","1","7","0","0",""
"13",1,"1018","830","131","","52","5",""
"13",2,"0","0","0","","0","0",""
"13",3,"0","0","0","","0","0",""
"13",4,"0","0","0","","0","0",""
"13",5,"0","0","0","","0","0",""
"13",6,"0","0","0","","0","0",""
"13",7,"0","0","0","","0","0",""
"13",8,"0","0","0","","0","0",""
"13",9,"0","0","0","","0","0",""
"13",10,"0","0","0","","0","0",""
"13",11,"0","0","0","","0","0",""
"13",12,"0","0","0","","0","0",""
"13",13,"0","0","0","","0","0",""
"13",14,"48","43","2","","2","1",""
"13",15,"6","0","0","1","3","1","1"
"14",1,"1307","1205","83","","19","0",""
"14",2,"NSS","NSS","NSS","","NSS","0",""
"14",3,"NSS","NSS","NSS","","NSS","0",""
"14",4,"NSS","NSS","NSS","","NSS","0",""
"14",5,"NSS","NSS","NSS","","NSS","0",""
"14",6,"NSS","NSS","NSS","","NSS","0",""
"14",7,"NSS","NSS","NSS","","NSS","0",""
"14",8,"NSS","NSS","NSS","","NSS","0",""
"14",9,"NSS","NSS","NSS","","NSS","0",""
"14",10,"NSS","NSS","NSS","","NSS","0",""
"14",11,"NSS","NSS","NSS","","NSS","0",""
"14",12,"NSS","NSS","NSS","","NSS","0",""
"14",13,"NSS","NSS","NSS","","NSS","0",""
"14",14,"NSS","NSS","NSS","","NSS","0",""
"14",15,"351","216","15","113","7","0",""
"15",1,"352","NSS","NSS","","331","21",""
"15",2,"NSS","NSS","NSS","","0","NSS",""
"15",3,"NSS","NSS","NSS","","0","NSS",""
"15",4,"NSS","NSS","NSS","","0","NSS",""
"15",5,"NSS","NSS","NSS","","0","NSS",""
"15",6,"NSS","NSS","NSS","","0","NSS",""
"15",7,"NSS","NSS","NSS","","0","NSS",""
"15",8,"NSS","NSS","NSS","","0","NSS",""
"15",9,"NSS","NSS","NSS","","0","NSS",""
"15",10,"NSS","NSS","NSS","","0","NSS",""
"15",11,"NSS","NSS","NSS","","0","NSS",""
"15",12,"NSS","NSS","NSS","","0","NSS",""
"15",13,"NSS","NSS","NSS","","0","NSS",""
"15",14,"1","NSS","NSS","","1","NSS",""
"15",15,"1735","210","25","144","1230","118","8"
"16",1,"454","387","37","","29","1",""
"16",2,"NSS","0","0","","NSS","NSS",""
"16",3,"NSS","0","0","","NSS","NSS",""
"16",4,"NSS","0","0","","NSS","NSS",""
"16",5,"NSS","0","0","","NSS","NSS",""
"16",6,"NSS","0","0","","NSS","NSS",""
"16",7,"NSS","0","0","","NSS","NSS",""
"16",8,"NSS","0","0","","NSS","NSS",""
"16",9,"NSS","0","0","","NSS","NSS",""
"16",10,"NSS","0","0","","NSS","NSS",""
"16",11,"NSS","0","0","","NSS","NSS",""
"16",12,"NSS","0","0","","NSS","NSS",""
"16",13,"NSS","0","0","","NSS","NSS",""
"16",14,"NSS","0","0","","NSS","NSS",""
"16",15,"57","0","0","","50","7",""
"17",1,"215","0","0","","198","17",""
"17",2,"0","0","0","","0","0",""
"17",3,"0","0","0","","0","0",""
"17",4,"0","0","0","","0","0",""
"17",5,"0","0","0","","0","0",""
"17",6,"0","0","0","","0","0",""
"17",7,"4","0","0","","4","0",""
"17",8,"0","0","0","","0","0",""
"17",9,"0","0","0","","0","0",""
"17",10,"0","0","0","","0","0",""
"17",11,"0","0","0","","0","0",""
"17",12,"0","0","0","","0","0",""
"17",13,"0","0","0","","0","0",""
"17",14,"1","0","0","","1","0",""
"17",15,"9","0","0","","0","0","9"
"18",1,"430","122","7","","279","22",""
"18",2,"NSS","NSS","NSS","","0","NSS",""
"18",3,"NSS","NSS","NSS","","0","NSS",""
"18",4,"NSS","NSS","NSS","","0","NSS",""
"18",5,"NSS","NSS","NSS","","0","NSS",""
"18",6,"NSS","NSS","NSS","","0","NSS",""
"18",7,"NSS","NSS","NSS","","0","NSS",""
"18",8,"NSS","NSS","NSS","","0","NSS",""
"18",9,"NSS","NSS","NSS","","0","NSS",""
"18",10,"NSS","NSS","NSS","","0","NSS",""
"18",11,"NSS","NSS","NSS","","0","NSS",""
