entidad,tipomult,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"132","122","10","","NSS","NSS",""
"01",2,"12","9","3","","NSS","NSS",""
"01",3,"NSS","0","0","","NSS","NSS",""
"01",4,"6","6","0","","NSS","NSS",""
"01",5,"1","1","0","","NSS","NSS",""
"01",6,"NSS","0","0","","NSS","NSS",""
"01",7,"NSS","0","0","","NSS","NSS",""
"01",8,"NSS","0","0","","NSS","NSS",""
"01",9,"NSS","0","0","","NSS","NSS",""
"01",10,"NSS","0","0","","NSS","NSS",""
"01",11,"NSS","0","0","","NSS","NSS",""
"01",99,"10","3","4","","3","",""
"02",1,"2202","1446","72","","648","36",""
"02",2,"198","84","4","","105","5",""
"02",3,"27","4","0","","22","1",""
"02",4,"7","0","0","","7","0",""
"02",5,"48","1","0","","44","3",""
"02",6,"9","1","1","","7","0",""
"02",7,"4","1","0","","3","0",""
"02",8,"39","3","0","","35","1",""
"02",9,"0","0","0","","0","0",""
"02",10,"0","0","0","","0","0",""
"02",11,"3","1","0","","2","0",""
"02",99,"497","332","16","41","91","13","4"
"03",1,"11","NSS","NSS","","11","0",""
"03",2,"3","NSS","NSS","","3","0",""
"03",3,"NSS","NSS","NSS","","0","0",""
"03",4,"NSS","NSS","NSS","","0","0",""
"03",5,"NSS","NSS","NSS","","0","0",""
"03",6,"NSS","NSS","NSS","","0","0",""
"03",7,"NSS","NSS","NSS","","0","0",""
"03",8,"NSS","NSS","NSS","","0","0",""
"03",9,"NSS","NSS","NSS","","0","0",""
"03",10,"NSS","NSS","NSS","","0","0",""
"03",11,"NSS","NSS","NSS","","0","0",""
"03",99,"5","","","","5","",""
"04",1,"21","11","NSS","","10","NSS",""
"04",2,"4","3","NSS","","1","NSS",""
"04",3,"1","1","NSS","","0","0",""
"04",4,"2","0","0","","2","NSS",""
"04",5,"0","0","0","","0","0",""
"04",6,"0","0","0","","0","0",""
"04",7,"0","0","0","","0","0",""
