entidad,nacional,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"49","44","5","","NSS","NSS",""
"01",2,"NSS","NSS","NSS","","NSS","NSS",""
"01",3,"NSS","NSS","NSS","","NSS","NSS",""
"01",4,"NSS","NSS","NSS","","NSS","NSS",""
"01",5,"NSS","NSS","NSS","","NSS","NSS",""
"01",6,"NSS","NSS","NSS","","NSS","NSS",""
"01",7,"NSS","NSS","NSS","","NSS","NSS",""
"01",8,"NSS","NSS","NSS","","NSS","NSS",""
"01",9,"NSS","NSS","NSS","","NSS","NSS",""
"01",10,"NSS","NSS","NSS","","NSS","NSS",""
"01",11,"NSS","NSS","NSS","","NSS","NSS",""
"01",12,"NSS","NSS","NSS","","NSS","NSS",""
"01",13,"NSS","NSS","NSS","","NSS","NSS",""
"01",14,"NSS","NSS","NSS","","NSS","NSS",""
"01",15,"NSS","NSS","NSS","","NSS","NSS",""
"01",16,"NSS","NSS","NSS","","NSS","NSS",""
"01",17,"NSS","NSS","NSS","","NSS","NSS",""
"01",18,"NSS","NSS","NSS","","NSS","NSS",""
"01",19,"NSS","NSS","NSS","","NSS","NSS",""
"01",20,"124","108","13","","3","NSS",""
"02",1,"2964","1857","90","","960","57",""
"02",2,"27","22","0","","4","1",""
"02",3,"0","0","0","","0","0",""
"02",4,"0","0","0","","0","0",""
"02",5,"0","0","0","","0","0",""
"02",6,"0","0","0","","0","0",""
"02",7,"0","0","0","","0","0",""
"02",8,"0","0","0","","0","0",""
"02",9,"0","0","0","","0","0",""
"02",10,"0","0","0","","0","0",""
"02",11,"0","0","0","","0","0",""
"02",12,"0","0","0","","0","0",""
"02",13,"0","0","0","","0","0",""
"02",14,"1","1","0","","0","0",""
"02",15,"0","0","0","","0","0",""
"02",16,"0","0","0","","0","0",""
"02",17,"0","0","0","","0","0",""
"02",18,"0","0","0","","0","0",""
"02",19,"0","0","0","","0","0",""
"02",20,"70","19","3","42","1","1","4"
"03",1,"19","NSS","NSS","","19","0",""
"03",2,"1","NSS","NSS","","1","0",""
"03",3,"NSS","NSS","NSS","","0","0",""
"03",4,"NSS","NSS","NSS","","0","0",""
"03",5,"NSS","NSS","NSS","","0","0",""
"03",6,"NSS","NSS","NSS","","0","0",""
"03",7,"NSS","NSS","NSS","","0","0",""
"03",8,"NSS","NSS","NSS","","0","0",""
"03",9,"NSS","NSS","NSS","","0","0",""
"03",10,"NSS","NSS","NSS","","0","0",""
"03",11,"NSS","NSS","NSS","","0","0",""
"03",12,"NSS","NSS","NSS","","0","0",""
"03",13,"NSS","NSS","NSS","","0","0",""
"03",14,"NSS","NSS","NSS","","0","0",""
"03",15,"NSS","NSS","NSS","","0","0",""
"03",16,"NSS","NSS","NSS","","0","0",""
"03",17,"NSS","NSS","NSS","","0","0",""
"03",18,"NSS","NSS","NSS","","0","0",""
"03",19,"NSS","NSS","NSS","","0","0",""
"03",20,"1","NSS","NSS","","1","0",""
"04",1,"42","22","NSS","","20","NSS",""
"04",2,"NSS","NSS","NSS","","NSS","NSS",""
"04",3,"NSS","NSS","NSS","","NSS","NSS",""
"04",4,"NSS","NSS","NSS","","NSS","NSS",""
"04",5,"NSS","NSS","NSS","","NSS","NSS",""
"04",6,"NSS","NSS","NSS","","NSS","NSS",""
"04",7,"NSS","NSS","NSS","","NSS","NSS",""
"04",8,"NSS","NSS","NSS","","NSS","NSS",""
"04",9,"NSS","NSS","NSS","","NSS","NSS",""
"04",10,"NSS","NSS","NSS","","NSS","NSS",""
"04",11,"NSS","NSS","NSS","","NSS","NSS",""
"04",12,"NSS","NSS","NSS","","NSS","NSS",""
"04",13,"NSS","NSS","NSS","","NSS","NSS",""
"04",14,"NSS","NSS","NSS","","NSS","NSS",""
"04",15,"NSS","NSS","NSS","","NSS","NSS",""
"04",16,"NSS","NSS","NSS","","NSS","NSS",""
"04",17,"NSS","NSS","NSS","","NSS","NSS",""
"04",18,"NSS","NSS","NSS","","NSS","NSS",""
"04",19,"NSS","NSS","NSS","","NSS","NSS",""
"04",20,"774","NSS","NSS","750","1","NSS","23"
"05",1,"208","164","14","","28","2",""
"05",2,"2","2","0","","0","0",""
"05",3,"0","0","0","","0","0",""
"05",4,"0","0","0","","0","0",""
"05",5,"0","0","0","","0","0",""
"05",6,"0","0","0","","0","0",""
"05",7,"0","0","0","","0","0",""
"05",8,"0","0","0","","0","0",""
"05",9,"0","0","0","","0","0",""
"05",10,"0","0","0","","0","0",""
"05",11,"0","0","0","","0","0",""
"05",12,"0","0","0","","0","0",""
"05",13,"0","0","0","","0","0",""
"05",14,"0","0","0","","0","0",""
"05",15,"0","0","0","","0","0",""
"05",16,"0","0","0","","0","0",""
"05",17,"0","0","0","","0","0",""
"05",18,"0","0","0","","0","0",""
"05",19,"0","0","0","","0","0",""
"05",20,"3","2","0","1","0","0",""
"06",1,"11","10","1","","0","0",""
"06",2,"0","0","0","","0","0",""
"06",3,"0","0","0","","0","0",""
"06",4,"0","0","0","","0","0",""
"06",5,"0","0","0","","0","0",""
"06",6,"0","0","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"0","0","0","","0","0",""
"06",9,"0","0","0","","0","0",""
"06",10,"0","0","0","","0","0",""
"06",11,"0","0","0","","0","0",""
"06",12,"0","0","0","","0","0",""
"06",13,"0","0","0","","0","0",""
"06",14,"0","0","0","","0","0",""
"06",15,"0","0","0","","0","0",""
