entidad,ocupacio,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"NSS","0","0","","NSS","NSS",""
"01",2,"1","0","1","","NSS","NSS",""
"01",3,"NSS","0","0","","NSS","NSS",""
"01",4,"4","3","1","","NSS","NSS",""
"01",5,"4","3","1","","NSS","NSS",""
"01",6,"NSS","0","0","","NSS","NSS",""
"01",7,"NSS","0","0","","NSS","NSS",""
"01",8,"4","4","0","","NSS","NSS",""
"01",9,"18","17","1","","NSS","NSS",""
"01",10,"6","5","1","","NSS","NSS",""
"01",11,"136","120","13","","3","0",""
"02",1,"1","1","0","","NSS","NSS",""
"02",2,"19","19","0","","NSS","NSS",""
"02",3,"29","27","2","","NSS","NSS",""
"02",4,"246","229","17","","NSS","NSS",""
"02",5,"92","90","2","","NSS","NSS",""
"02",6,"136","135","1","","NSS","NSS",""
"02",7,"90","89","1","","NSS","NSS",""
"02",8,"76","74","2","","NSS","NSS",""
"02",9,"353","340","13","","NSS","NSS",""
"02",10,"141","124","17","","NSS","NSS",""
"02",11,"1833","771","38","","965","59",""
"03",1,"NSS","NSS","NSS","","0","0",""
"03",2,"1","NSS","NSS","","1","0",""
"03",3,"1","NSS","NSS","","1","0",""
"03",4,"3","NSS","NSS","","3","0",""
"03",5,"NSS","NSS","NSS","","0","0",""
"03",6,"2","NSS","NSS","","2","0",""
"03",7,"NSS","NSS","NSS","","0","0",""
"03",8,"1","NSS","NSS","","1","0",""
"03",9,"5","NSS","NSS","","5","0",""
"03",10,"4","NSS","NSS","","4","0",""
"03",11,"4","NSS","NSS","","4","0",""
"04",1,"1","0","0","","1","0",""
"04",2,"4","1","NSS","","3","NSS",""
"04",3,"2","1","NSS","","1","NSS",""
"04",4,"3","2","NSS","","1","NSS",""
"04",5,"9","1","NSS","","8","NSS",""
"04",6,"9","7","NSS","","2","NSS",""
"04",7,"5","4","NSS","","1","NSS",""
"04",8,"2","1","NSS","","1","NSS",""
"04",9,"3","3","NSS","","0","0",""
"04",10,"2","2","NSS","","0","0",""
"04",11,"776","0","0","750","3","0","23"
"05",1,"1","1","0","","0","0",""
"05",2,"7","6","0","","0","1",""
"05",3,"0","0","0","","0","0",""
"05",4,"12","9","1","","1","1",""
"05",5,"7","7","0","","0","0",""
"05",6,"1","1","0","","0","0",""
"05",7,"8","4","1","","3","0",""
"05",8,"30","20","1","","9","0",""
"05",9,"68","59","1","","8","0",""
"05",10,"27","15","7","","5","0",""
"05",11,"52","46","3","1","2","0",""
"06",1,"0","0","0","","0","0",""
"06",2,"1","1","0","","0","0",""
"06",3,"0","0","0","","0","0",""
"06",4,"1","1","0","","0","0",""
"06",5,"0","0","0","","0","0",""
"06",6,"2","2","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"1","1","0","","0","0",""
"06",9,"4","4","0","","0","0",""
"06",10,"2","1","1","","0","0",""
"06",11,"0","0","0","","0","0",""
"07",1,"3","3","0","","0","0",""
"07",2,"4","3","1","","0","0",""
"07",3,"1","1","0","","0","0",""
"07",4,"30","19","2","","8","1",""
"07",5,"28","25","1","","2","0",""
"07",6,"116","107","1","","8","0",""
"07",7,"23","19","0","","4","0",""
"07",8,"9","4","0","","5","0",""
"07",9,"27","20","0","","6","1",""
"07",10,"15","4","6","","4","1",""
"07",11,"121","65","9","17","28","1","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"NSS","NSS","NSS","","NSS","NSS",""
"08",4,"NSS","NSS","NSS","","NSS","NSS",""
"08",5,"NSS","NSS","NSS","","NSS","NSS",""
"08",6,"NSS","NSS","NSS","","NSS","NSS",""
"08",7,"NSS","NSS","NSS","","NSS","NSS",""
"08",8,"NSS","NSS","NSS","","NSS","NSS",""
"08",9,"NSS","NSS","NSS","","NSS","NSS",""
"08",10,"NSS","NSS","NSS","","NSS","NSS",""
"08",11,"2474","NSS","NSS","","2253","129","92"
"09",1,"24","21","3","","0","0",""
"09",2,"114","90","23","","1","0",""
"09",3,"36","28","8","","0","0",""
"09",4,"1936","1738","181","","17","0",""
"09",5,"76","68","3","","5","0",""
"09",6,"22","22","0","","0","0",""
"09",7,"16","14","0","","2","0",""
"09",8,"420","408","4","","8","0",""
"09",9,"4077","3669","387","","19","2",""
"09",10,"575","511","56","","8","0",""
"09",11,"518","244","27","","230","17",""
"10",1,"2","1","0","","1","0",""
"10",2,"13","9","1","","3","0",""
"10",3,"6","2","2","","2","0",""
"10",4,"78","29","1","","45","3",""
"10",5,"35","21","4","","10","0",""
"10",6,"77","67","1","","9","0",""
"10",7,"9","5","0","","4","0",""
"10",8,"13","5","0","","7","1",""
"10",9,"181","82","2","","94","3",""
"10",10,"52","18","6","","21","7",""
"10",11,"103","32","5","5","54","6","1"
"12",1,"1","1","0","","0","0",""
"12",2,"4","4","0","","0","0",""
"12",3,"17","15","2","","0","0",""
"12",4,"34","21","10","","3","0",""
"12",5,"21","20","1","","0","0",""
"12",6,"66","51","1","","13","1",""
"12",7,"7","6","1","","0","0",""
"12",8,"6","2","0","","4","0",""
"12",9,"47","42","1","","4","0",""
"12",10,"27","16","9","","1","1",""
"12",11,"97","82","2","7","6","0",""
"13",1,"8","8","0","","0","0",""
"13",2,"51","41","10","","0","0",""
"13",3,"6","5","1","","0","0",""
"13",4,"174","140","21","","12","1",""
"13",5,"19","11","6","","2","0",""
"13",6,"104","96","1","","7","0",""
"13",7,"5","4","0","","1","0",""
"13",8,"71","65","0","","6","0",""
"13",9,"442","378","42","","20","2",""
"13",10,"151","94","48","","6","3",""
"13",11,"41","31","4","1","3","1","1"
"14",1,"13","10","2","","1","0",""
"14",2,"35","33","2","","0","0",""
"14",3,"19","19","0","","0","0",""
"14",4,"363","343","15","","5","0",""
"14",5,"112","105","6","","1","0",""
"14",6,"22","21","0","","1","0",""
"14",7,"52","49","1","","2","0",""
"14",8,"12","11","0","","1","0",""
"14",9,"191","180","6","","5","0",""
"14",10,"70","56","13","","1","0",""
"14",11,"769","594","53","113","9","0",""
"15",1,"4","NSS","NSS","","4","NSS",""
"15",2,"1","NSS","NSS","","1","NSS",""
"15",3,"3","NSS","NSS","","3","NSS",""
"15",4,"68","NSS","NSS","","66","2",""
"15",5,"15","NSS","NSS","","15","NSS",""
