entidad,residenc,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"47","42","5","","NSS","NSS",""
"01",2,"1","1","NSS","","NSS","NSS",""
"01",3,"NSS","0","0","","NSS","NSS",""
"01",4,"1","1","NSS","","NSS","NSS",""
"01",5,"NSS","0","0","","NSS","NSS",""
"01",6,"NSS","0","0","","NSS","NSS",""
"01",7,"NSS","0","0","","NSS","NSS",""
"01",8,"NSS","0","0","","NSS","NSS",""
"01",9,"NSS","0","0","","NSS","NSS",""
"01",10,"NSS","0","0","","NSS","NSS",""
"01",11,"NSS","0","0","","NSS","NSS",""
"01",12,"124","108","13","","3","NSS",""
"02",1,"2970","1859","87","","965","59",""
"02",2,"17","14","3","","0","0",""
"02",3,"5","5","0","","0","0",""
"02",4,"0","0","0","","0","0",""
"02",5,"1","0","1","","0","0",""
"02",6,"0","0","0","","0","0",""
"02",7,"0","0","0","","0","0",""
"02",8,"0","0","0","","0","0",""
"02",9,"0","0","0","","0","0",""
"02",10,"0","0","0","","0","0",""
"02",11,"0","0","0","","0","0",""
"02",12,"69","21","2","42","0","0","4"
"03",1,"20","NSS","NSS","","20","0",""
"03",2,"NSS","NSS","NSS","","0","0",""
"03",3,"1","NSS","NSS","","1","0",""
"03",4,"NSS","NSS","NSS","","0","0",""
"03",5,"NSS","NSS","NSS","","0","0",""
"03",6,"NSS","NSS","NSS","","0","0",""
"03",7,"NSS","NSS","NSS","","0","0",""
"03",8,"NSS","NSS","NSS","","0","0",""
"03",9,"NSS","NSS","NSS","","0","0",""
"03",10,"NSS","NSS","NSS","","0","0",""
"03",11,"NSS","NSS","NSS","","0","0",""
"03",12,"NSS","NSS","NSS","","0","0",""
"04",1,"39","21","NSS","","18","NSS",""
"04",2,"3","1","NSS","","2","NSS",""
"04",3,"0","0","0","","0","0",""
"04",4,"0","0","0","","0","0",""
"04",5,"0","0","0","","0","0",""
"04",6,"0","0","0","","0","0",""
"04",7,"0","0","0","","0","0",""
"04",8,"0","0","0","","0","0",""
"04",9,"0","0","0","","0","0",""
"04",10,"0","0","0","","0","0",""
"04",11,"0","0","0","","0","0",""
"04",12,"774","0","0","750","1","NSS","23"
"05",1,"206","162","14","","28","2",""
"05",2,"3","3","0","","0","0",""
"05",3,"2","2","0","","0","0",""
"05",4,"0","0","0","","0","0",""
"05",5,"0","0","0","","0","0",""
"05",6,"0","0","0","","0","0",""
"05",7,"0","0","0","","0","0",""
"05",8,"0","0","0","","0","0",""
"05",9,"0","0","0","","0","0",""
"05",10,"0","0","0","","0","0",""
"05",11,"0","0","0","","0","0",""
"05",12,"2","1","0","1","0","0",""
"06",1,"11","10","1","","0","0",""
"06",2,"0","0","0","","0","0",""
"06",3,"0","0","0","","0","0",""
"06",4,"0","0","0","","0","0",""
"06",5,"0","0","0","","0","0",""
"06",6,"0","0","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"0","0","0","","0","0",""
"06",9,"0","0","0","","0","0",""
"06",10,"0","0","0","","0","0",""
"06",11,"0","0","0","","0","0",""
"06",12,"0","0","0","","0","0",""
"07",1,"336","257","18","","58","3",""
"07",2,"4","2","NSS","","2","NSS",""
"07",3,"NSS","0","NSS","","0","NSS",""
"07",4,"NSS","0","NSS","","0","NSS",""
"07",5,"5","4","NSS","","1","NSS",""
"07",6,"NSS","0","NSS","","0","NSS",""
"07",7,"NSS","0","NSS","","0","NSS",""
"07",8,"NSS","0","NSS","","0","NSS",""
"07",9,"NSS","0","NSS","","0","NSS",""
"07",10,"NSS","0","NSS","","0","NSS",""
"07",11,"NSS","0","NSS","","0","NSS",""
"07",12,"32","7","2","17","4","1","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"NSS","NSS","NSS","","NSS","NSS",""
"08",4,"NSS","NSS","NSS","","NSS","NSS",""
"08",5,"NSS","NSS","NSS","","NSS","NSS",""
"08",6,"NSS","NSS","NSS","","NSS","NSS",""
"08",7,"NSS","NSS","NSS","","NSS","NSS",""
"08",8,"NSS","NSS","NSS","","NSS","NSS",""
"08",9,"NSS","NSS","NSS","","NSS","NSS",""
"08",10,"NSS","NSS","NSS","","NSS","NSS",""
"08",11,"NSS","NSS","NSS","","NSS","NSS",""
"08",12,"2474","NSS","NSS","","2253","129","92"
"09",1,"6068","5456","557","","52","3",""
"09",2,"1184","1054","116","","14","0",""
"09",3,"1","1","0","","0","0",""
"09",4,"0","0","0","","0","0",""
"09",5,"2","2","0","","0","0",""
"09",6,"0","0","0","","0","0",""
"09",7,"0","0","0","","0","0",""
"09",8,"0","0","0","","0","0",""
"09",9,"0","0","0","","0","0",""
"09",10,"0","0","0","","0","0",""
"09",11,"0","0","0","","0","0",""
"09",12,"559","300","19","","224","16",""
"10",1,"457","240","20","","183","14",""
"10",2,"29","16","NSS","","13","NSS",""
