entidad,repadano,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"9","8","1","","NSS","NSS",""
"01",2,"NSS","0","NSS","","NSS","NSS",""
"01",3,"NSS","0","NSS","","NSS","NSS",""
"01",4,"NSS","0","NSS","","NSS","NSS",""
"01",5,"NSS","0","NSS","","NSS","NSS",""
"01",6,"NSS","0","NSS","","NSS","NSS",""
"01",7,"NSS","0","NSS","","NSS","NSS",""
"01",8,"1","1","NSS","","NSS","NSS",""
"01",9,"NSS","0","NSS","","NSS","NSS",""
"01",10,"NSS","0","NSS","","NSS","NSS",""
"01",11,"3","3","NSS","","NSS","NSS",""
"01",99,"148","129","16","","3","",""
"02",1,"329","167","5","","152","5",""
"02",2,"52","9","3","","38","2",""
"02",3,"25","6","0","","18","1",""
"02",4,"13","2","0","","10","1",""
"02",5,"4","3","0","","0","1",""
"02",6,"9","1","0","","8","0",""
"02",7,"2","1","0","","1","0",""
"02",8,"5","0","0","","4","1",""
"02",9,"3","0","0","","3","0",""
"02",10,"3","0","0","","3","0",""
"02",11,"31","6","0","","23","2",""
"02",99,"2558","1678","85","41","704","46","4"
"03",1,"4","NSS","NSS","","4","0",""
"03",2,"2","NSS","NSS","","2","0",""
"03",3,"3","NSS","NSS","","3","0",""
"03",4,"4","NSS","NSS","","4","0",""
"03",5,"3","NSS","NSS","","3","0",""
"03",6,"3","NSS","NSS","","3","0",""
"03",7,"NSS","NSS","NSS","","0","0",""
"03",8,"NSS","NSS","NSS","","0","0",""
"03",9,"NSS","NSS","NSS","","0","0",""
"03",10,"NSS","NSS","NSS","","0","0",""
"03",11,"NSS","NSS","NSS","","0","0",""
"03",99,"","","","","","",""
"04",1,"8","4","NSS","","4","NSS",""
"04",2,"1","0","0","","1","NSS",""
"04",3,"0","0","0","","0","0",""
"04",4,"1","0","0","","1","NSS",""
"04",5,"0","0","0","","0","0",""
"04",6,"0","0","0","","0","0",""
"04",7,"1","1","NSS","","0","0",""
"04",8,"0","0","0","","0","0",""
"04",9,"0","0","0","","0","0",""
"04",10,"0","0","0","","0","0",""
"04",11,"5","2","NSS","","3","NSS",""
"04",99,"685","12","","639","12","","22"
"05",1,"15","9","NSS","","6","NSS",""
"05",2,"1","0","NSS","","1","NSS",""
"05",3,"1","1","NSS","","0","NSS",""
"05",4,"1","0","NSS","","1","NSS",""
"05",5,"NSS","0","NSS","","0","NSS",""
"05",6,"NSS","0","NSS","","0","NSS",""
"05",7,"NSS","0","NSS","","0","NSS",""
"05",8,"NSS","0","NSS","","0","NSS",""
"05",9,"NSS","0","NSS","","0","NSS",""
"05",10,"NSS","0","NSS","","0","NSS",""
"05",11,"2","1","NSS","","1","NSS",""
"05",99,"158","130","9","1","16","2",""
"06",1,"1","NSS","1","","0","0",""
"06",2,"1","1","0","","0","0",""
"06",3,"0","0","0","","0","0",""
"06",4,"0","0","0","","0","0",""
"06",5,"0","0","0","","0","0",""
"06",6,"0","0","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"0","0","0","","0","0",""
"06",9,"0","0","0","","0","0",""
"06",10,"0","0","0","","0","0",""
"06",11,"0","0","0","","0","0",""
"06",99,"7","7","","","","",""
"07",1,"31","17","1","","13","0",""
"07",2,"11","6","NSS","","4","1",""
"07",3,"8","8","0","","0","0",""
"07",4,"1","1","0","","0","0",""
"07",5,"2","2","0","","0","0",""
"07",6,"3","2","0","","1","0",""
"07",7,"3","2","0","","1","0",""
"07",8,"0","0","0","","0","0",""
"07",9,"3","3","0","","0","0",""
"07",10,"2","1","0","","1","0",""
