entidad,tieprisi,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"01",1,"22","18","3","","1","NSS",""
"01",2,"70","61","7","","2","NSS",""
"01",3,"48","43","5","","NSS","NSS",""
"01",4,"1","1","0","","NSS","NSS",""
"01",5,"13","11","2","","NSS","NSS",""
"01",6,"NSS","0","0","","NSS","NSS",""
"01",7,"6","6","0","","NSS","NSS",""
"01",8,"1","1","0","","NSS","NSS",""
"01",9,"NSS","0","0","","NSS","NSS",""
"01",10,"NSS","0","0","","NSS","NSS",""
"01",11,"NSS","0","0","","NSS","NSS",""
"01",12,"NSS","0","0","","NSS","NSS",""
"01",13,"NSS","0","0","","NSS","NSS",""
"01",14,"NSS","0","0","","NSS","NSS",""
"01",15,"NSS","0","0","","NSS","NSS",""
"01",16,"NSS","0","0","","NSS","NSS",""
"01",99,"","","","","","",""
"02",1,"199","147","3","","47","2",""
"02",2,"1316","1237","67","","11","1",""
"02",3,"856","318","17","","492","29",""
"02",4,"217","100","3","","105","9",""
"02",5,"90","28","1","","57","4",""
"02",6,"142","1","1","","135","5",""
"02",7,"87","5","0","","79","3",""
"02",8,"8","1","0","","6","1",""
"02",9,"16","0","0","","15","1",""
"02",10,"3","1","0","","1","1",""
"02",11,"5","0","0","","5","0",""
"02",12,"21","7","0","","11","3",""
"02",13,"0","0","0","","0","0",""
"02",14,"0","0","0","","0","0",""
"02",15,"0","0","0","","0","0",""
"02",16,"0","0","0","","0","0",""
"02",99,"74","28","1","41","","","4"
"03",1,"2","NSS","NSS","","2","0",""
"03",2,"1","NSS","NSS","","1","0",""
"03",3,"NSS","NSS","NSS","","0","0",""
"03",4,"3","NSS","NSS","","3","0",""
"03",5,"4","NSS","NSS","","4","0",""
"03",6,"2","NSS","NSS","","2","0",""
"03",7,"2","NSS","NSS","","2","0",""
"03",8,"3","NSS","NSS","","3","0",""
"03",9,"NSS","NSS","NSS","","0","0",""
"03",10,"NSS","NSS","NSS","","0","0",""
"03",11,"NSS","NSS","NSS","","0","0",""
"03",12,"NSS","NSS","NSS","","0","0",""
"03",13,"NSS","NSS","NSS","","0","0",""
"03",14,"NSS","NSS","NSS","","0","0",""
"03",15,"NSS","NSS","NSS","","0","0",""
"03",16,"NSS","NSS","NSS","","0","0",""
"03",99,"2","","","","2","",""
"04",1,"5","5","NSS","","0","0",""
"04",2,"7","5","NSS","","2","NSS",""
"04",3,"10","5","NSS","","5","NSS",""
"04",4,"5","2","NSS","","3","NSS",""
"04",5,"3","1","NSS","","2","NSS",""
"04",6,"0","0","0","","0","0",""
"04",7,"4","1","NSS","","3","NSS",""
"04",8,"2","0","0","","2","NSS",""
"04",9,"2","0","0","","2","NSS",""
