entidad,sistn_op,eqcomptt,eqcomp1,eqcomp2,no_aplic
"01",1,"NA","NA","NA","NA"
"01",2,"NA","NA","NA","NA"
"01",3,"NA","NA","NA","NA"
"01",4,"NA","NA","NA","NA"
"01",5,"NA","NA","NA","NA"
"01",6,"NA","NA","NA","NA"
"01",7,"NA","NA","NA","NA"
"01",8,"NA","NA","NA","NA"
"01",9,"NA","NA","NA","NA"
"01",10,"NA","NA","NA","NA"
"01",11,"NA","NA","NA","NA"
"01",12,"NA","NA","NA","NA"
"01",13,"NA","NA","NA","NA"
"01",14,"NA","NA","NA","NA"
"01",15,"NA","NA","NA","NA"
"01",99,"NA","NA","NA","NA"
"02",1,"NA","NA","NA","NA"
"02",2,"NA","NA","NA","NA"
"02",3,"NA","NA","NA","NA"
"02",4,"NA","NA","NA","NA"
"02",5,"NA","NA","NA","NA"
"02",6,"NA","NA","NA","NA"
"02",7,"NA","NA","NA","NA"
"02",8,"NA","NA","NA","NA"
"02",9,"NA","NA","NA","NA"
"02",10,"NA","NA","NA","NA"
"02",11,"NA","NA","NA","NA"
"02",12,"NA","NA","NA","NA"
"02",13,"NA","NA","NA","NA"
"02",14,"NA","NA","NA","NA"
"02",15,"NA","NA","NA","NA"
"02",99,"NA","NA","NA","NA"
"03",1,"NA","NA","NA","NA"
"03",2,"NA","NA","NA","NA"
"03",3,"NA","NA","NA","NA"
"03",4,"NA","NA","NA","NA"
"03",5,"NA","NA","NA","NA"
"03",6,"NA","NA","NA","NA"
"03",7,"NA","NA","NA","NA"
"03",8,"NA","NA","NA","NA"
"03",9,"NA","NA","NA","NA"
"03",10,"NA","NA","NA","NA"
"03",11,"NA","NA","NA","NA"
"03",12,"NA","NA","NA","NA"
"03",13,"NA","NA","NA","NA"
"03",14,"NA","NA","NA","NA"
"03",15,"NA","NA","NA","NA"
"03",99,"NA","NA","NA","NA"
"04",1,"NA","NA","NA","NA"
"04",2,"NA","NA","NA","NA"
"04",3,"NA","NA","NA","NA"
"04",4,"NA","NA","NA","NA"
"04",5,"NA","NA","NA","NA"
"04",6,"NA","NA","NA","NA"
"04",7,"NA","NA","NA","NA"
"04",8,"NA","NA","NA","NA"
"04",9,"NA","NA","NA","NA"
"04",10,"NA","NA","NA","NA"
"04",11,"NA","NA","NA","NA"
"04",12,"NA","NA","NA","NA"
"04",13,"NA","NA","NA","NA"
"04",14,"NA","NA","NA","NA"
"04",15,"NA","NA","NA","NA"
"04",99,"NA","NA","NA","NA"
"05",1,"NA","NA","NA","1"
"05",2,"NA","NA","NA","1"
"05",3,"NA","NA","NA","1"
"05",4,"65","42","23",""
"05",5,"NA","NA","NA","1"
"05",6,"31","31","0",""
"05",7,"NA","NA","NA","1"
"05",8,"NA","NA","NA","1"
"05",9,"NA","NA","NA","1"
"05",10,"NA","NA","NA","1"
"05",11,"NA","NA","NA","1"
