entidad,mater_ja,tmedcapr
"01",1,"0"
"01",2,"0"
"01",3,"0"
"01",4,"0"
"01",5,"0"
"01",6,"NA"
"01",7,"0"
"01",8,"0"
"02",1,"0"
"02",2,"0"
"02",3,"0"
"02",4,"NA"
"02",5,"NA"
"02",6,"NA"
"02",7,"NA"
"02",8,"0"
"03",1,"0"
"03",2,"0"
"03",3,"0"
"03",4,"0"
"03",5,"0"
"03",6,"NA"
"03",7,"NA"
"03",8,"0"
"04",1,"0"
"04",2,"0"
"04",3,"0"
"04",4,"0"
"04",5,"0"
"04",6,"0"
"04",7,"0"
"04",8,"0"
"05",1,"0"
"05",2,"0"
"05",3,"0"
"05",4,"0"
"05",5,"0"
"05",6,"NA"
"05",7,"0"
"05",8,"NA"
"06",1,"NSS"
"06",2,"NSS"
"06",3,"NSS"
"06",4,"NSS"
"06",5,"NSS"
"06",6,"NA"
"06",7,"NSS"
"06",8,"NA"
"07",1,"0"
"07",2,"0"
"07",3,"0"
"07",4,"0"
"07",5,"0"
"07",6,"0"
"07",7,"0"
"07",8,"0"
"08",1,"0"
"08",2,"0"
"08",3,"0"
"08",4,"0"
"08",5,"0"
"08",6,"0"
"08",7,"0"
"08",8,"0"
"09",1,"0"
"09",2,"NA"
"09",3,"0"
"09",4,"0"
"09",5,"0"
"09",6,"NA"
"09",7,"NA"
"09",8,"6486"
"10",1,"0"
"10",2,"0"
"10",3,"0"
"10",4,"0"
"10",5,"0"
"10",6,"NA"
"10",7,"0"
"10",8,"NA"
"11",1,"0"
"11",2,"0"
"11",3,"0"
"11",4,"0"
"11",5,"0"
"11",6,"0"
"11",7,"0"
"11",8,"0"
"12",1,"NA"
"12",2,"NA"
"12",3,"NA"
"12",4,"NA"
"12",5,"0"
"12",6,"NA"
"12",7,"NA"
"12",8,"NA"
"13",1,"0"
"13",2,"0"
"13",3,"0"
"13",4,"0"
"13",5,"0"
"13",6,"0"
"13",7,"NA"
"13",8,"NA"
"14",1,"0"
"14",2,"0"
"14",3,"0"
"14",4,"0"
"14",5,"0"
"14",6,"0"
"14",7,"0"
"14",8,"0"
"15",1,"NSS"
"15",2,"NSS"
"15",3,"NSS"
"15",4,"NSS"
"15",5,"NSS"
"15",6,"NA"
"15",7,"NA"
"15",8,"NSS"
"16",1,"0"
"16",2,"0"
"16",3,"0"
"16",4,"0"
"16",5,"0"
"16",6,"NA"
"16",7,"0"
"16",8,"NA"
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",4,"NA"
"17",5,"NA"
"17",6,"NA"
"17",7,"NA"
"17",8,"NA"
"18",1,"0"
"18",2,"0"
"18",3,"0"
"18",4,"0"
"18",5,"0"
"18",6,"0"
"18",7,"0"
"18",8,"0"
"19",1,"76"
"19",2,"67"
"19",3,"772"
"19",4,"801"
"19",5,"18"
"19",6,"NA"
"19",7,"0"
"19",8,"25"
"20",1,"0"
"20",2,"0"
"20",3,"0"
"20",4,"0"
"20",5,"0"
"20",6,"0"
"20",7,"0"
"20",8,"0"
"21",1,"0"
"21",2,"0"
"21",3,"0"
"21",4,"NA"
"21",5,"NA"
"21",6,"NA"
"21",7,"NA"
"21",8,"0"
"22",1,"0"
"22",2,"0"
"22",3,"0"
"22",4,"0"
"22",5,"NA"
"22",6,"NA"
"22",7,"0"
"22",8,"NA"
"23",1,"NSS"
"23",2,"NSS"
"23",3,"NSS"
"23",4,"NSS"
"23",5,"NSS"
"23",6,"NA"
"23",7,"NSS"
"23",8,"NA"
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",4,"NA"
"24",5,"NA"
"24",6,"NA"
"24",7,"NA"
"24",8,"NA"
"25",1,"NA"
"25",2,"NA"
"25",3,"0"
"25",4,"NA"
"25",5,"NA"
"25",6,"NA"
"25",7,"NA"
"25",8,"NA"
"26",1,"0"
"26",2,"0"
"26",3,"0"
"26",4,"0"
"26",5,"0"
"26",6,"0"
"26",7,"0"
"26",8,"0"
"27",1,"0"
"27",2,"0"
"27",3,"0"
"27",4,"NA"
"27",5,"NA"
"27",6,"NA"
"27",7,"291"
"27",8,"NA"
"28",1,"0"
"28",2,"0"
"28",3,"0"
"28",4,"0"
"28",5,"0"
"28",6,"NA"
"28",7,"0"
"28",8,"0"
"29",1,"69"
"29",2,"202"
"29",3,"109"
"29",4,"NA"
"29",5,"NA"
"29",6,"NA"
"29",7,"NA"
"29",8,"11"
"30",1,"0"
"30",2,"0"
"30",3,"0"
"30",4,"0"
"30",5,"0"
"30",6,"NA"
"30",7,"NA"
"30",8,"0"
"31",1,"0"
"31",2,"0"
"31",3,"0"
"31",4,"0"
"31",5,"0"
"31",6,"NA"
"31",7,"0"
"31",8,"NA"
"32",1,"0"
"32",2,"0"
"32",3,"0"
"32",4,"NA"
"32",5,"NA"
"32",6,"NA"
"32",7,"0"
"32",8,"NA"
