entidad,mat_alte,mecalttt,mecalt1,mecalt2,mecalt3,mecalt4,mecalt5
"01",1,"2676","0","2676","0","0","0"
"01",2,"0","0","0","0","0","0"
"01",3,"0","0","0","0","0","0"
"01",9,"","","","","",""
"02",1,"15108","15108","0","0","0","0"
"02",2,"0","0","0","0","0","0"
"02",3,"0","0","0","0","0","0"
"02",9,"","","","","",""
"03",1,"1693","1440","252","1","0","0"
"03",2,"9","9","0","0","0","0"
"03",3,"0","0","0","0","0","0"
"03",9,"","","","","",""
"04",1,"2358","2358","0","0","0","0"
"04",2,"0","0","0","0","0","0"
"04",3,"0","0","0","0","0","0"
"04",9,"","","","","",""
"05",1,"5044","5044","0","0","0","0"
"05",2,"0","0","0","0","0","0"
"05",3,"0","0","0","0","0","0"
"05",9,"","","","","",""
"06",1,"1643","612","0","0","1031","0"
"06",2,"0","0","0","0","0","0"
"06",3,"0","0","0","0","0","0"
"06",9,"","","","","",""
"07",1,"20171","9361","0","9572","1238","0"
"07",2,"51","1","0","50","0","0"
"07",3,"0","0","0","0","0","0"
"07",9,"","","","","",""
"08",1,"20486","7354","13117","15","0","0"
"08",2,"26","0","26","0","0","0"
"08",3,"0","0","0","0","0","0"
"08",9,"","","","","",""
"09",1,"6425","6266","159","0","0","0"
"09",2,"233","226","0","7","0","0"
"09",3,"0","0","0","0","0","0"
"09",9,"","","","","",""
"10",1,"4020","2934","1086","0","0","0"
"10",2,"83","83","0","0","0","0"
"10",3,"0","0","0","0","0","0"
"10",9,"","","","","",""
"11",1,"36285","35578","674","33","0","0"
"11",2,"1418","0","1418","0","0","0"
"11",3,"0","0","0","0","0","0"
"11",9,"","","","","",""
"12",1,"1133","571","343","0","219","0"
"12",2,"0","0","0","0","0","0"
"12",3,"0","0","0","0","0","0"
"12",9,"","","","","",""
"13",1,"3148","3148","0","0","0","0"
"13",2,"64","64","0","0","0","0"
"13",3,"0","0","0","0","0","0"
"13",9,"","","","","",""
"14",1,"8437","7306","1131","0","0","0"
"14",2,"56","32","24","0","0","0"
"14",3,"0","0","0","0","0","0"
"14",9,"","","","","",""
"15",1,"3787","2728","1059","0","0","0"
"15",2,"0","0","0","0","0","0"
"15",3,"0","0","0","0","0","0"
"15",9,"","","","","",""
"16",1,"3630","2811","814","5","0","0"
"16",2,"0","0","0","0","0","0"
"16",3,"0","0","0","0","0","0"
"16",9,"","","","","",""
"17",1,"4868","610","251","5","4002","0"
"17",2,"0","0","0","0","0","0"
"17",3,"0","0","0","0","0","0"
"17",9,"","","","","",""
"18",1,"5898","3540","2358","0","0","0"
"18",2,"10","4","6","0","0","0"
"18",3,"0","0","0","0","0","0"
"18",9,"","","","","",""
"19",1,"18832","18832","0","0","0","0"
"19",2,"205","205","0","0","0","0"
"19",3,"0","0","0","0","0","0"
"19",9,"","","","","",""
"20",1,"3926","746","3161","19","0","0"
"20",2,"84","0","0","84","0","0"
"20",3,"5014","2507","2507","0","0","0"
"20",9,"","","","","",""
"21",1,"9722","9552","40","130","0","0"
"21",2,"0","0","0","0","0","0"
"21",3,"0","0","0","0","0","0"
"21",9,"","","","","",""
"22",1,"NA","NA","NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA","NA","NA"
"22",3,"NA","NA","NA","NA","NA","NA"
"22",9,"","","","","",""
"23",1,"1981","1817","162","1","1","0"
"23",2,"69","60","9","0","0","0"
"23",3,"188","154","0","0","34","0"
"23",9,"","","","","",""
"24",1,"4630","913","1986","0","1731","0"
"24",2,"208","37","151","0","20","0"
"24",3,"0","0","0","0","0","0"
"24",9,"","","","","",""
"25",1,"4100","4043","57","0","0","0"
"25",2,"59","57","2","0","0","0"
"25",3,"0","0","0","0","0","0"
"25",9,"","","","","",""
"26",1,"1961","1961","0","0","0","0"
"26",2,"76","76","0","0","0","0"
"26",3,"0","0","0","0","0","0"
"26",9,"","","","","",""
"27",1,"4585","2983","1602","0","0","0"
"27",2,"0","0","0","0","0","0"
"27",3,"0","0","0","0","0","0"
"27",9,"","","","","",""
"28",1,"8832","8832","NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS"
"28",3,"0","0","0","0","0","0"
"28",9,"","","","","",""
"29",1,"3040","3040","0","0","0","0"
"29",2,"0","0","0","0","0","0"
"29",3,"0","0","0","0","0","0"
"29",9,"","","","","",""
"30",1,"NSS","NSS","NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS","NSS","NSS","NSS"
"30",9,"","","","","",""
"31",1,"2800","2750","50","0","0","0"
"31",2,"20","20","0","0","0","0"
"31",3,"0","0","0","0","0","0"
"31",9,"","","","","",""
"32",1,"4095","1940","2153","2","0","0"
"32",2,"226","0","0","226","0","0"
"32",3,"0","0","0","0","0","0"
"32",9,"","","","","",""
