entidad,mat_alte,prosoltt,prosol1,prosol2,prosol4,prosol5,prosol7,prosol8,prosol10,prosol11,prosolst
"01",1,"2676","0","0","2676","0","0","0","","",""
"01",2,"0","0","0","0","0","0","0","","",""
"01",3,"0","0","0","0","0","0","0","","",""
"02",1,"15108","503","0","14547","0","58","0","","",""
"02",2,"0","0","0","0","0","0","0","","",""
"02",3,"0","0","0","0","0","0","0","","",""
"03",1,"2407","1667","714","0","0","26","0","","",""
"03",2,"13","9","4","0","0","0","0","","",""
"03",3,"0","0","0","0","0","0","0","","",""
"04",1,"2390","2358","32","0","0","0","0","","",""
"04",2,"0","0","0","0","0","0","0","","",""
"04",3,"0","0","0","0","0","0","0","","",""
"05",1,"8918","5044","3874","0","0","0","0","","",""
"05",2,"0","0","0","0","0","0","0","","",""
"05",3,"0","0","0","0","0","0","0","","",""
"06",1,"1655","1643","12","0","0","0","0","","",""
"06",2,"0","0","0","0","0","0","0","","",""
"06",3,"0","0","0","0","0","0","0","","",""
"07",1,"37642","1441","1360","18616","16111","114","0","","",""
"07",2,"68","12","5","39","12","0","0","","",""
"07",3,"0","0","0","0","0","0","0","","",""
"08",1,"22390","4067","364","16419","1540","0","0","","",""
"08",2,"26","0","0","26","0","0","0","","",""
"08",3,"0","0","0","0","0","0","0","","",""
"09",1,"13848","2693","378","3732","7045","0","0","","",""
"09",2,"292","193","11","40","48","0","0","","",""
"09",3,"0","0","0","0","0","0","0","","",""
"10",1,"4020","819","0","3201","0","0","0","","",""
"10",2,"83","47","0","36","0","0","0","","",""
"10",3,"0","0","0","0","0","0","0","","",""
"11",1,"36285","35152","0","0","0","1133","0","","",""
"11",2,"1418","1418","0","0","0","0","0","","",""
"11",3,"0","0","0","0","0","0","0","","",""
"12",1,"1676","1133","543","0","0","0","0","","",""
"12",2,"0","0","0","0","0","0","0","","",""
"12",3,"0","0","0","0","0","0","0","","",""
"13",1,"3148","3148","0","0","0","0","0","","",""
"13",2,"64","64","0","0","0","0","0","","",""
"13",3,"0","0","0","0","0","0","0","","",""
"14",1,"9042","6825","405","1612","200","0","0","","",""
"14",2,"57","38","1","18","0","0","0","","",""
"14",3,"0","0","0","0","0","0","0","","",""
"15",1,"3787","3787","0","0","0","0","0","","",""
"15",2,"0","0","0","0","0","0","0","","",""
"15",3,"0","0","0","0","0","0","0","","",""
"16",1,"5000","3630","1370","0","0","0","0","","",""
"16",2,"0","0","0","0","0","0","0","","",""
"16",3,"0","0","0","0","0","0","0","","",""
"17",1,"4868","2110","0","2758","0","0","0","","",""
"17",2,"0","0","0","0","0","0","0","","",""
"17",3,"0","0","0","0","0","0","0","","",""
"18",1,"5996","1445","0","4453","98","0","0","","",""
"18",2,"10","2","0","8","0","0","0","","",""
"18",3,"0","0","0","0","0","0","0","","",""
"19",1,"18832","18832","0","0","0","0","0","","",""
"19",2,"205","205","0","0","0","0","0","","",""
"19",3,"0","0","0","0","0","0","0","","",""
"20",1,"3926","844","0","3082","0","0","0","","",""
"20",2,"84","82","0","0","0","2","0","","",""
"20",3,"5014","0","0","5014","0","0","0","","",""
"21",1,"10203","9722","481","0","0","0","0","","",""
"21",2,"0","0","0","0","0","0","0","","",""
"21",3,"0","0","0","0","0","0","0","","",""
"22",1,"NA","NA","NA","NA","NA","NA","NA","","",""
"22",2,"NA","NA","NA","NA","NA","NA","NA","","",""
"22",3,"NA","NA","NA","NA","NA","NA","NA","","",""
"23",1,"2053","1508","29","472","42","1","1","","",""
"23",2,"77","56","6","13","2","0","0","","",""
"23",3,"188","188","0","0","0","0","0","","",""
"24",1,"4630","4627","0","1","0","2","0","","",""
"24",2,"208","208","0","0","0","0","0","","",""
"24",3,"0","0","0","0","0","0","0","","",""
"25",1,"4100","92","0","4008","0","0","0","","",""
"25",2,"59","2","0","57","0","0","0","","",""
"25",3,"0","0","0","0","0","0","0","","",""
"26",1,"2208","0","0","1961","247","0","0","","",""
"26",2,"76","0","0","76","0","0","0","","",""
"26",3,"0","0","0","0","0","0","0","","",""
"27",1,"4585","4585","0","0","0","0","0","","",""
"27",2,"0","0","0","0","0","0","0","","",""
"27",3,"0","0","0","0","0","0","0","","",""
"28",1,"10714","NSS","NSS","NSS","NSS","NSS","NSS","8832","1882","10714"
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","","",""
"28",3,"0","0","0","0","0","0","0","","",""
"29",1,"3092","3040","52","0","0","0","0","","",""
"29",2,"0","0","0","0","0","0","0","","",""
"29",3,"0","0","0","0","0","0","0","","",""
"30",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","","",""
"30",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","","",""
"30",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","","",""
"31",1,"3295","2000","463","800","32","0","0","","",""
"31",2,"25","10","0","10","5","0","0","","",""
"31",3,"0","0","0","0","0","0","0","","",""
"32",1,"4105","1355","8","2733","2","7","0","","",""
"32",2,"227","146","1","67","0","13","0","","",""
"32",3,"0","0","0","0","0","0","0","","",""
