entidad,mater_ja,mecalttt,mecalt1,mecalt2,mecalt3,mecalt4,mecalt5
"01",1,"607","570","37","0","0","0"
"01",2,"326","318","8","0","0","0"
"01",3,"439","422","17","0","0","0"
"01",4,"43","42","1","0","0","0"
"01",5,"12","8","4","0","0","0"
"01",6,"NA","NA","NA","NA","NA","NA"
"01",7,"0","0","0","0","0","0"
"01",8,"15","14","1","0","0","0"
"01",9,"","","","","",""
"02",1,"3615","0","3615","0","0","0"
"02",2,"436","0","436","0","0","0"
"02",3,"2451","2451","0","0","0","0"
"02",4,"NA","NA","NA","NA","NA","NA"
"02",5,"NA","NA","NA","NA","NA","NA"
"02",6,"NA","NA","NA","NA","NA","NA"
"02",7,"NA","NA","NA","NA","NA","NA"
"02",8,"662","0","662","0","0","0"
"02",9,"","","","","",""
"03",1,"434","434","0","0","0","0"
"03",2,"286","286","0","0","0","0"
"03",3,"331","331","0","0","0","0"
"03",4,"82","82","0","0","0","0"
"03",5,"24","24","0","0","0","0"
"03",6,"NA","NA","NA","NA","NA","NA"
"03",7,"NA","NA","NA","NA","NA","NA"
"03",8,"207","207","0","0","0","0"
"03",9,"","","","","",""
"04",1,"526","526","0","0","0","0"
"04",2,"743","743","0","0","0","0"
"04",3,"749","749","0","0","0","0"
"04",4,"90","90","0","0","0","0"
"04",5,"0","0","0","0","0","0"
"04",6,"0","0","0","0","0","0"
"04",7,"0","0","0","0","0","0"
"04",8,"0","0","0","0","0","0"
"04",9,"","","","","",""
"05",1,"2077","2077","0","0","0","0"
"05",2,"1612","1612","0","0","0","0"
"05",3,"3710","3710","0","0","0","0"
"05",4,"17","16","0","1","0","0"
"05",5,"0","0","0","0","0","0"
"05",6,"NA","NA","NA","NA","NA","NA"
"05",7,"0","0","0","0","0","0"
"05",8,"NA","NA","NA","NA","NA","NA"
"05",9,"","","","","",""
"06",1,"889","889","0","0","0","0"
"06",2,"501","501","0","0","0","0"
"06",3,"785","785","0","0","0","0"
"06",4,"3","3","0","0","0","0"
"06",5,"12","12","0","0","0","0"
"06",6,"NA","NA","NA","NA","NA","NA"
"06",7,"0","0","0","0","0","0"
"06",8,"NA","NA","NA","NA","NA","NA"
"06",9,"","","","","",""
"07",1,"1781","NSS","NSS","0","0","1781"
"07",2,"1024","NSS","NSS","0","0","1024"
"07",3,"2951","NSS","NSS","0","0","2951"
"07",4,"43","NSS","NSS","0","0","43"
"07",5,"0","0","0","0","0","0"
"07",6,"0","0","0","0","0","0"
"07",7,"15","NSS","NSS","0","0","15"
"07",8,"0","0","0","0","0","0"
"07",9,"","","","","",""
"08",1,"1880","1770","110","NSS","0","0"
"08",2,"NSS","NSS","NSS","NSS","0","0"
"08",3,"2438","2426","12","NSS","0","0"
"08",4,"419","0","0","NSS","414","5"
"08",5,"0","0","0","0","0","0"
"08",6,"NSS","NSS","NSS","NSS","0","0"
"08",7,"NSS","NSS","NSS","NSS","0","0"
"08",8,"NSS","NSS","NSS","NSS","0","0"
"08",9,"","","","","",""
"09",1,"6971","6971","0","0","0","0"
"09",2,"NA","NA","NA","NA","NA","NA"
"09",3,"1896","1896","0","0","0","0"
"09",4,"675","675","0","0","0","0"
"09",5,"51","51","0","0","0","0"
"09",6,"NA","NA","NA","NA","NA","NA"
"09",7,"NA","NA","NA","NA","NA","NA"
"09",8,"6486","6486","0","0","0","0"
"09",9,"","","","","",""
"10",1,"2608","2608","0","0","0","0"
"10",2,"1016","1016","0","0","0","0"
"10",3,"1348","1348","0","0","0","0"
"10",4,"121","48","0","73","0","0"
"10",5,"15","4","0","11","0","0"
"10",6,"NA","NA","NA","NA","NA","NA"
"10",7,"0","0","0","0","0","0"
"10",8,"NA","NA","NA","NA","NA","NA"
"10",9,"","","","","",""
"11",1,"4512","4512","0","0","0","0"
"11",2,"5057","5057","0","0","0","0"
"11",3,"8769","3407","5362","0","0","0"
"11",4,"2769","6","0","2763","0","0"
"11",5,"120","0","0","120","0","0"
"11",6,"0","0","0","0","0","0"
"11",7,"0","0","0","0","0","0"
"11",8,"450","450","0","0","0","0"
"11",9,"","","","","",""
"12",1,"NA","NA","NA","NA","NA","NA"
"12",2,"NA","NA","NA","NA","NA","NA"
"12",3,"NA","NA","NA","NA","NA","NA"
"12",4,"NA","NA","NA","NA","NA","NA"
"12",5,"11","5","0","6","0","0"
"12",6,"NA","NA","NA","NA","NA","NA"
"12",7,"NA","NA","NA","NA","NA","NA"
"12",8,"NA","NA","NA","NA","NA","NA"
"12",9,"","","","","",""
"13",1,"1604","1604","0","0","0","0"
"13",2,"441","441","0","0","0","0"
"13",3,"1773","1773","0","0","0","0"
"13",4,"79","79","0","0","0","0"
"13",5,"1","0","0","1","0","0"
"13",6,"714","714","0","0","0","0"
"13",7,"NA","NA","NA","NA","NA","NA"
"13",8,"NA","NA","NA","NA","NA","NA"
"13",9,"","","","","",""
"14",1,"3780","3769","10","0","1","0"
"14",2,"746","746","0","0","0","0"
"14",3,"3646","3645","0","0","1","0"
"14",4,"5460","5460","0","0","0","0"
"14",5,"0","0","0","0","0","0"
"14",6,"0","0","0","0","0","0"
"14",7,"0","0","0","0","0","0"
"14",8,"1106","1106","0","0","0","0"
"14",9,"","","","","",""
"15",1,"3756","NSS","NSS","0","0","3756"
"15",2,"1610","NSS","NSS","0","0","1610"
"15",3,"12487","NSS","NSS","1292","0","11195"
"15",4,"399","0","0","399","0","0"
"15",5,"3","0","0","3","0","0"
"15",6,"NA","NA","NA","NA","NA","NA"
"15",7,"NA","NA","NA","NA","NA","NA"
"15",8,"2294","NSS","NSS","NSS","NSS","2294"
"15",9,"","","","","",""
"16",1,"1625","1625","0","0","0","0"
"16",2,"426","426","0","0","0","0"
"16",3,"2184","2184","0","0","0","0"
"16",4,"321","0","0","321","0","0"
"16",5,"6","0","0","6","0","0"
"16",6,"NA","NA","NA","NA","NA","NA"
"16",7,"0","0","0","0","0","0"
"16",8,"NA","NA","NA","NA","NA","NA"
"16",9,"","","","","",""
"17",1,"NA","NA","NA","NA","NA","NA"
"17",2,"NA","NA","NA","NA","NA","NA"
"17",3,"NA","NA","NA","NA","NA","NA"
"17",4,"NA","NA","NA","NA","NA","NA"
"17",5,"NA","NA","NA","NA","NA","NA"
"17",6,"NA","NA","NA","NA","NA","NA"
"17",7,"NA","NA","NA","NA","NA","NA"
"17",8,"NA","NA","NA","NA","NA","NA"
"17",9,"NA","NA","NA","NA","NA","NA"
"18",1,"592","592","0","0","0","0"
"18",2,"562","562","0","0","0","0"
"18",3,"364","364","0","0","0","0"
"18",4,"0","0","0","0","0","0"
"18",5,"0","0","0","0","0","0"
"18",6,"0","0","0","0","0","0"
"18",7,"0","0","0","0","0","0"
"18",8,"0","0","0","0","0","0"
"18",9,"","","","","",""
"19",1,"521","521","0","0","0","0"
"19",2,"297","297","0","0","0","0"
"19",3,"1609","1609","0","0","0","0"
"19",4,"1602","0","0","1602","0","0"
"19",5,"36","0","0","36","0","0"
"19",6,"NA","NA","NA","NA","NA","NA"
"19",7,"0","0","0","0","0","0"
"19",8,"135","135","0","0","0","0"
"19",9,"","","","","",""
"20",1,"403","403","0","0","0","0"
"20",2,"222","222","0","0","0","0"
"20",3,"791","787","1","3","0","0"
"20",4,"281","134","131","16","0","0"
"20",5,"26","7","17","2","0","0"
"20",6,"0","0","0","0","0","0"
"20",7,"0","0","0","0","0","0"
"20",8,"58","58","0","0","0","0"
"20",9,"","","","","",""
"21",1,"2570","2570","0","0","0","0"
"21",2,"634","634","0","0","0","0"
"21",3,"3680","3680","0","0","0","0"
"21",4,"NA","NA","NA","NA","NA","NA"
