entidad,mater_ja,prosoltt,prosol1,prosol2,prosol4,prosol5,prosol7,prosol8,prosol10,prosol11,prosolst,no_aplic
"01",1,"2470","0","0","607","1863","0","0","","","",""
"01",2,"2990","0","0","326","2664","0","0","","","",""
"01",3,"1297","0","0","439","858","0","0","","","",""
"01",4,"281","0","0","43","238","0","0","","","",""
"01",5,"12","0","0","0","0","12","0","","","",""
"01",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"01",7,"0","0","0","0","0","0","0","","","",""
"01",8,"59","0","0","15","44","0","0","","","",""
"02",1,"3944","0","0","3615","329","0","0","","","",""
"02",2,"445","0","0","436","9","0","0","","","",""
"02",3,"2775","0","0","2451","324","0","0","","","",""
"02",4,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"02",5,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"02",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"02",7,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"02",8,"753","0","0","662","91","0","0","","","",""
"03",1,"434","0","0","433","0","1","0","","","",""
"03",2,"286","0","0","260","0","26","0","","","",""
"03",3,"331","0","0","221","0","110","0","","","",""
"03",4,"82","0","0","24","0","58","0","","","",""
"03",5,"24","8","0","7","0","9","0","","","",""
"03",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"03",7,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"03",8,"207","0","0","207","0","0","0","","","",""
"04",1,"526","0","0","510","0","16","0","","","",""
"04",2,"743","0","0","738","0","5","0","","","",""
"04",3,"749","0","0","702","0","47","0","","","",""
"04",4,"91","0","0","82","0","8","1","","","",""
"04",5,"0","0","0","0","0","0","0","","","",""
"04",6,"0","0","0","0","0","0","0","","","",""
"04",7,"0","0","0","0","0","0","0","","","",""
"04",8,"0","0","0","0","0","0","0","","","",""
"05",1,"2077","0","0","2077","0","0","0","","","",""
"05",2,"1612","0","0","1612","0","0","0","","","",""
"05",3,"3710","0","0","3710","0","0","0","","","",""
"05",4,"17","0","0","0","0","17","0","","","",""
"05",5,"0","0","0","0","0","0","0","","","",""
"05",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"05",7,"0","0","0","0","0","0","0","","","",""
"05",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"06",1,"889","0","0","889","0","0","0","","","",""
"06",2,"501","0","0","501","0","0","0","","","",""
"06",3,"785","0","0","785","0","0","0","","","",""
"06",4,"3","0","0","3","0","0","0","","","",""
"06",5,"12","0","0","12","0","0","0","","","",""
"06",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"06",7,"0","0","0","0","0","0","0","","","",""
"06",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"07",1,"1782","0","0","1781","1","0","0","","","",""
"07",2,"1024","0","0","1024","0","0","0","","","",""
"07",3,"2952","0","0","2951","1","0","0","","","",""
"07",4,"48","6","1","2","3","35","1","","","",""
"07",5,"0","0","0","0","0","0","0","","","",""
"07",6,"0","0","0","0","0","0","0","","","",""
"07",7,"15","0","0","15","0","0","0","","","",""
"07",8,"0","0","0","0","0","0","0","","","",""
"08",1,"2158","0","0","1861","275","19","3","","","",""
"08",2,"NSS","0","0","NSS","NSS","NSS","NSS","","","",""
"08",3,"2863","0","0","2411","425","27","0","","","",""
"08",4,"437","0","0","NSS","NSS","419","18","","","",""
"08",5,"0","0","0","0","0","0","0","","","",""
"08",6,"NSS","0","0","NSS","NSS","NSS","NSS","","","",""
"08",7,"NSS","0","0","NSS","NSS","NSS","NSS","","","",""
"08",8,"NSS","0","0","NSS","NSS","NSS","NSS","","","",""
"09",1,"7899","0","0","6971","928","0","0","","","",""
"09",2,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"09",3,"2587","0","0","1896","691","0","0","","","",""
"09",4,"845","299","76","200","88","176","6","","","",""
"09",5,"67","0","0","0","0","51","16","","","",""
"09",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"09",7,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"09",8,"6486","0","0","6486","0","0","0","","","",""
"10",1,"2608","0","0","2608","0","0","0","","","",""
"10",2,"1016","0","0","1016","0","0","0","","","",""
"10",3,"1348","0","0","1348","0","0","0","","","",""
"10",4,"121","0","0","121","0","0","0","","","",""
"10",5,"15","0","0","15","0","0","0","","","",""
"10",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"10",7,"0","0","0","0","0","0","0","","","",""
"10",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"11",1,"4608","0","0","4512","96","0","0","","","",""
"11",2,"5074","0","0","5057","17","0","0","","","",""
"11",3,"8833","0","0","3407","64","5362","0","","","",""
"11",4,"2778","0","0","6","0","2763","9","","","",""
