entidad,mater_ja,texpabie
"01",1,"607"
"01",2,"326"
"01",3,"439"
"01",4,"43"
"01",5,"12"
"01",6,"NA"
"01",7,"0"
"01",8,"15"
"02",1,"1236"
"02",2,"518"
"02",3,"951"
"02",4,"NA"
"02",5,"NA"
"02",6,"NA"
"02",7,"NA"
"02",8,"68"
"03",1,"434"
"03",2,"286"
"03",3,"331"
"03",4,"82"
"03",5,"24"
"03",6,"NA"
"03",7,"NA"
"03",8,"207"
"04",1,"526"
"04",2,"743"
"04",3,"749"
"04",4,"90"
"04",5,"0"
"04",6,"0"
"04",7,"0"
"04",8,"0"
"05",1,"415"
"05",2,"143"
"05",3,"1734"
"05",4,"14"
"05",5,"0"
"05",6,"NA"
"05",7,"0"
"05",8,"NA"
"06",1,"889"
"06",2,"501"
"06",3,"785"
"06",4,"3"
"06",5,"12"
"06",6,"NA"
"06",7,"0"
"06",8,"NA"
"07",1,"1781"
"07",2,"1024"
"07",3,"2951"
"07",4,"43"
"07",5,"0"
"07",6,"0"
"07",7,"15"
"07",8,"0"
"08",1,"1880"
"08",2,"NSS"
"08",3,"2438"
"08",4,"419"
"08",5,"0"
"08",6,"NSS"
"08",7,"NSS"
"08",8,"NSS"
"09",1,"6971"
"09",2,"NA"
"09",3,"1896"
"09",4,"675"
"09",5,"51"
"09",6,"NA"
"09",7,"NA"
"09",8,"6486"
"10",1,"2608"
"10",2,"1016"
"10",3,"1348"
"10",4,"121"
"10",5,"15"
"10",6,"NA"
"10",7,"0"
"10",8,"NA"
"11",1,"4512"
"11",2,"5057"
"11",3,"8769"
"11",4,"2769"
"11",5,"120"
"11",6,"0"
"11",7,"0"
"11",8,"450"
"12",1,"NA"
"12",2,"NA"
"12",3,"NA"
"12",4,"NA"
"12",5,"11"
"12",6,"NA"
"12",7,"NA"
"12",8,"NA"
"13",1,"1604"
"13",2,"441"
"13",3,"1773"
"13",4,"79"
"13",5,"1"
"13",6,"714"
"13",7,"NA"
"13",8,"NA"
"14",1,"3780"
"14",2,"746"
"14",3,"3646"
"14",4,"5460"
"14",5,"0"
"14",6,"0"
"14",7,"0"
"14",8,"1106"
"15",1,"3756"
"15",2,"1610"
"15",3,"12487"
"15",4,"399"
"15",5,"3"
"15",6,"NA"
"15",7,"NA"
"15",8,"2294"
"16",1,"1625"
"16",2,"426"
"16",3,"2184"
"16",4,"321"
"16",5,"6"
"16",6,"NA"
"16",7,"0"
"16",8,"NA"
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",4,"NA"
"17",5,"NA"
"17",6,"NA"
"17",7,"NA"
"17",8,"NA"
"18",1,"592"
"18",2,"562"
"18",3,"364"
"18",4,"0"
"18",5,"0"
"18",6,"0"
"18",7,"0"
"18",8,"0"
"19",1,"521"
"19",2,"297"
"19",3,"1609"
"19",4,"1602"
"19",5,"36"
"19",6,"NA"
"19",7,"0"
"19",8,"135"
"20",1,"403"
"20",2,"222"
"20",3,"791"
"20",4,"281"
"20",5,"26"
"20",6,"0"
"20",7,"0"
"20",8,"58"
"21",1,"781"
"21",2,"96"
"21",3,"2010"
"21",4,"NA"
"21",5,"NA"
"21",6,"NA"
"21",7,"NA"
"21",8,"9"
"22",1,"5064"
"22",2,"0"
"22",3,"2308"
"22",4,"412"
"22",5,"NA"
"22",6,"NA"
"22",7,"0"
"22",8,"NA"
"23",1,"1618"
"23",2,"7"
"23",3,"2522"
"23",4,"147"
"23",5,"16"
"23",6,"NA"
"23",7,"0"
"23",8,"NA"
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",4,"NA"
"24",5,"NA"
"24",6,"NA"
"24",7,"NA"
"24",8,"NA"
"25",1,"NA"
"25",2,"NA"
"25",3,"72"
"25",4,"NA"
"25",5,"NA"
"25",6,"NA"
"25",7,"NA"
"25",8,"NA"
"26",1,"779"
"26",2,"1431"
"26",3,"4283"
"26",4,"945"
"26",5,"0"
"26",6,"0"
"26",7,"0"
"26",8,"0"
"27",1,"NSS"
"27",2,"NSS"
"27",3,"NSS"
"27",4,"NA"
"27",5,"NA"
"27",6,"NA"
"27",7,"1102"
"27",8,"NA"
"28",1,"230"
"28",2,"163"
"28",3,"1313"
"28",4,"159"
"28",5,"5"
"28",6,"NA"
"28",7,"0"
"28",8,"531"
"29",1,"69"
"29",2,"202"
"29",3,"109"
"29",4,"NA"
"29",5,"NA"
"29",6,"NA"
"29",7,"NA"
"29",8,"11"
"30",1,"2513"
"30",2,"628"
"30",3,"3343"
"30",4,"64"
"30",5,"14"
"30",6,"NA"
"30",7,"NA"
"30",8,"775"
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",4,"143"
"31",5,"21"
"31",6,"NA"
"31",7,"2560"
"31",8,"NA"
"32",1,"924"
"32",2,"273"
"32",3,"1678"
"32",4,"NA"
"32",5,"NA"
"32",6,"NA"
"32",7,"0"
"32",8,"NA"
