entidad,delconac,totalca1
"01",1,"NSS"
"01",2,"NSS"
"01",3,"0"
"01",4,"0"
"01",5,"NSS"
"01",9,""
"02",1,"0"
"02",2,"0"
"02",3,"0"
"02",4,"0"
"02",5,"0"
"02",9,""
"03",1,"496"
"03",2,"192"
"03",3,"2"
"03",4,"0"
"03",5,"690"
"03",9,""
"04",1,"1031"
"04",2,"89"
"04",3,"0"
"04",4,"0"
"04",5,"1120"
"04",9,""
"05",1,"796"
"05",2,"35"
"05",3,"0"
"05",4,"0"
"05",5,"831"
"05",9,""
"06",1,"0"
"06",2,"0"
"06",3,"0"
"06",4,"0"
"06",5,"0"
"06",9,""
"07",1,"0"
"07",2,"0"
"07",3,"0"
"07",4,"0"
"07",5,"0"
"07",9,""
"08",1,"8156"
"08",2,"493"
"08",3,"0"
"08",4,"0"
"08",5,"8649"
"08",9,""
"09",1,"1555"
"09",2,"288"
"09",3,"62"
"09",4,"12"
"09",5,"1917"
"09",9,""
"10",1,"455"
"10",2,"63"
"10",3,"23"
"10",4,"3"
"10",5,"544"
"10",9,""
"11",1,"0"
"11",2,"0"
"11",3,"NA"
"11",4,"NA"
"11",5,"0"
"11",9,""
"12",1,"0"
"12",2,"0"
"12",3,"0"
"12",4,"0"
"12",5,"0"
"12",9,""
"13",1,"0"
"13",2,"0"
"13",3,"0"
"13",4,"0"
"13",5,"0"
"13",9,""
"14",1,"0"
"14",2,"0"
"14",3,"0"
"14",4,"0"
"14",5,"0"
"14",9,""
"15",1,"NSS"
"15",2,"NSS"
"15",3,"0"
"15",4,"0"
"15",5,"755"
"15",9,""
"16",1,"0"
"16",2,"0"
"16",3,"0"
"16",4,"0"
"16",5,"0"
"16",9,""
"17",1,"0"
"17",2,"48"
"17",3,"0"
"17",4,"0"
"17",5,"48"
"17",9,""
"18",1,"0"
"18",2,"0"
"18",3,"0"
"18",4,"0"
"18",5,"0"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"0"
"19",4,"0"
"19",5,"0"
"19",9,""
"20",1,"136"
"20",2,"18"
"20",3,"14"
"20",4,"0"
"20",5,"168"
"20",9,""
"21",1,"2915"
"21",2,"221"
"21",3,"0"
"21",4,"0"
"21",5,"3136"
"21",9,""
"22",1,"NA"
"22",2,"NA"
"22",3,"NA"
"22",4,"NA"
"22",5,"NA"
"22",9,""
"23",1,"0"
"23",2,"0"
"23",3,"0"
"23",4,"0"
"23",5,"0"
"23",9,""
"24",1,"0"
"24",2,"0"
"24",3,"0"
"24",4,"0"
"24",5,"0"
"24",9,""
"25",1,"0"
"25",2,"0"
"25",3,"0"
"25",4,"0"
"25",5,"0"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"0"
"26",4,"0"
"26",5,"283"
"26",9,"283"
"27",1,"0"
"27",2,"0"
"27",3,"0"
"27",4,"0"
"27",5,"0"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",4,"NSS"
"28",5,"NSS"
"28",9,""
"29",1,"0"
"29",2,"0"
"29",3,"0"
"29",4,"0"
"29",5,"0"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",4,"NSS"
"30",5,"NSS"
"30",9,""
"31",1,"0"
"31",2,"0"
"31",3,"0"
"31",4,"0"
"31",5,"0"
"31",9,""
"32",1,"3336"
"32",2,"353"
"32",3,"132"
"32",4,"13"
"32",5,"3834"
"32",9,""
