entidad,mat_alte,mesolutt,mesolu1,mesolu2,mesolu3,mesolu4,mesolu5,mesolu6,mesolu7,mesolu8,mesolu9,mesolu10,mesolu11,mesolune
"01",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"01",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"01",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"01",9,"","","","","","","","","","","","",""
"02",1,"15108","15029","0","0","0","79","0","0","0","0","0","",""
"02",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"02",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"02",9,"","","","","","","","","","","","",""
"03",1,"323","219","0","103","0","1","0","0","0","0","0","",""
"03",2,"3","3","0","0","0","0","0","0","0","0","0","",""
"03",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"03",9,"","","","","","","","","","","","",""
"04",1,"0","0","0","0","0","0","0","0","0","0","0","",""
"04",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"04",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"04",9,"","","","","","","","","","","","",""
"05",1,"2909","2474","435","0","0","0","0","0","0","0","0","",""
"05",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"05",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"05",9,"","","","","","","","","","","","",""
"06",1,"612","612","0","0","0","0","0","0","0","0","0","",""
"06",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"06",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"06",9,"","","","","","","","","","","","",""
"07",1,"5633","746","717","0","0","3350","720","0","0","68","32","",""
"07",2,"4","0","0","0","0","4","0","0","0","0","0","",""
"07",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"07",9,"","","","","","","","","","","","",""
"08",1,"13219","3485","489","7797","625","13","2","73","0","529","206","",""
"08",2,"15","10","5","0","0","0","0","0","0","0","0","",""
"08",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"08",9,"","","","","","","","","","","","",""
"09",1,"478","427","0","51","0","0","0","0","0","0","0","",""
"09",2,"39","32","0","0","0","7","0","0","0","0","0","",""
"09",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"09",9,"","","","","","","","","","","","",""
"10",1,"139","134","0","5","0","0","0","0","0","0","0","",""
"10",2,"8","7","0","1","0","0","0","0","0","0","0","",""
"10",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"10",9,"","","","","","","","","","","","",""
"11",1,"18990","18653","0","330","0","7","0","0","0","0","0","",""
"11",2,"1418","0","0","1418","0","0","0","0","0","0","0","",""
"11",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"11",9,"","","","","","","","","","","","",""
"12",1,"914","528","40","331","15","0","0","0","0","0","0","",""
"12",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"12",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"12",9,"","","","","","","","","","","","",""
"13",1,"2023","1393","630","0","0","0","0","0","0","0","0","",""
