entidad,delicoan,tdelcoan
"01",1,"38"
"01",2,"10"
"01",3,"48"
"01",9,""
"02",1,"NA"
"02",2,"NA"
"02",3,"NA"
"02",9,""
"03",1,"30"
"03",2,"8"
"03",3,"38"
"03",9,""
"04",1,"NSS"
"04",2,"0"
"04",3,"NSS"
"04",9,""
"05",1,"8"
"05",2,"0"
"05",3,"8"
"05",9,""
"06",1,"0"
"06",2,"3"
"06",3,"3"
"06",9,""
"07",1,"28"
"07",2,"0"
"07",3,"28"
"07",9,""
"08",1,"138"
"08",2,"0"
"08",3,"138"
"08",9,""
"09",1,"99"
"09",2,"28"
"09",3,"127"
"09",9,""
"10",1,"21"
"10",2,"6"
"10",3,"27"
"10",9,""
"11",1,"1253"
"11",2,"30"
"11",3,"1283"
"11",9,""
"12",1,"NA"
"12",2,"10"
"12",3,"10"
"12",9,""
"13",1,"41"
"13",2,"0"
"13",3,"41"
"13",9,""
"14",1,"2126"
"14",2,"0"
"14",3,"2126"
"14",9,""
"15",1,"NSS"
"15",2,"0"
"15",3,"NSS"
"15",9,""
"16",1,"207"
"16",2,"3"
"16",3,"210"
"16",9,""
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",9,""
"18",1,"0"
"18",2,"0"
"18",3,"0"
"18",9,""
"19",1,"1125"
"19",2,"36"
"19",3,"1161"
"19",9,""
"20",1,"102"
"20",2,"7"
"20",3,"109"
"20",9,""
"21",1,"NA"
"21",2,"NA"
"21",3,"NA"
"21",9,""
"22",1,"305"
"22",2,"NA"
"22",3,"305"
"22",9,""
"23",1,"108"
"23",2,"12"
"23",3,"120"
"23",9,""
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",9,""
"25",1,"NA"
"25",2,"NA"
"25",3,"NA"
"25",9,""
"26",1,"509"
"26",2,"0"
"26",3,"509"
"26",9,""
"27",1,"NSS"
"27",2,"NSS"
"27",3,"NSS"
"27",9,""
"28",1,"107"
"28",2,"1"
"28",3,"108"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",9,""
"30",1,"49"
"30",2,"9"
"30",3,"58"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",9,""
"32",1,"0"
"32",2,"0"
"32",3,"0"
"32",9,""
