entidad,delicoan,tdelcoan
"01",1,"NA"
"01",2,"NA"
"01",3,"NA"
"01",9,""
"02",1,"NA"
"02",2,"NA"
"02",3,"NA"
"02",9,""
"03",1,"NA"
"03",2,"NA"
"03",3,"NA"
"03",9,""
"04",1,"NA"
"04",2,"NA"
"04",3,"NA"
"04",9,""
"05",1,"NA"
"05",2,"NA"
"05",3,"NA"
"05",9,""
"06",1,"NA"
"06",2,"NA"
"06",3,"NA"
"06",9,""
"07",1,"28"
"07",2,"0"
"07",3,"28"
"07",9,""
"08",1,"NA"
"08",2,"NA"
"08",3,"NA"
"08",9,""
"09",1,"37"
"09",2,"28"
"09",3,"65"
"09",9,""
"10",1,"0"
"10",2,"5"
"10",3,"5"
"10",9,""
"11",1,"265"
"11",2,"12"
"11",3,"277"
"11",9,""
"12",1,"NA"
"12",2,"NA"
"12",3,"NA"
"12",9,""
"13",1,"41"
"13",2,"0"
"13",3,"41"
"13",9,""
"14",1,"5460"
"14",2,"0"
"14",3,"5460"
"14",9,""
"15",1,"NA"
"15",2,"NA"
"15",3,"NA"
"15",9,""
"16",1,"NA"
"16",2,"NA"
"16",3,"NA"
"16",9,""
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",9,""
"18",1,"NA"
"18",2,"NA"
"18",3,"NA"
"18",9,""
"19",1,"379"
"19",2,"0"
"19",3,"379"
"19",9,""
"20",1,"102"
"20",2,"7"
"20",3,"109"
"20",9,""
"21",1,"NA"
"21",2,"NA"
"21",3,"NA"
"21",9,""
"22",1,"305"
"22",2,"NA"
"22",3,"305"
"22",9,""
"23",1,"41"
"23",2,"2"
"23",3,"43"
"23",9,""
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",9,""
"25",1,"NA"
"25",2,"NA"
"25",3,"NA"
"25",9,""
"26",1,"NA"
"26",2,"NA"
"26",3,"NA"
"26",9,""
"27",1,"NA"
"27",2,"NA"
"27",3,"NA"
"27",9,""
"28",1,"NA"
"28",2,"NA"
"28",3,"NA"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",9,""
"30",1,"NA"
"30",2,"NA"
"30",3,"NA"
"30",9,""
"31",1,"NA"
"31",2,"NA"
"31",3,"NA"
"31",9,""
"32",1,"NA"
"32",2,"NA"
"32",3,"NA"
"32",9,""
