entidad,sisoemtt,sisoem1,sisoem2
"01","317","317","0"
"02","62","62","0"
"03","331","331","0"
"04","81","0","81"
"05","40","21","19"
"07","41","3","38"
"08","NSS","0","NSS"
"09","652","592","60"
"10","52","0","52"
"12","68","0","68"
"13","71","64","7"
"14","167","167","0"
"15","NSS","NSS","NSS"
"16","20","15","5"
"17","39","0","39"
"18","127","127","0"
"19","183","0","183"
"20","5","0","5"
"21","84","81","3"
"22","75","0","75"
"23","12","0","12"
"24","3","2","1"
"25","NSS","0","NSS"
"26","166","166","0"
"27","19","0","19"
"28","55","55","0"
"29","93","93","0"
"30","6","0","6"
"31","77","0","77"
"32","143","0","143"
