entidad,vict_del,stpvnitt,stpvni1,stpvni2,stpvni3,stpvni4,stpvni5,stpvni6,stpvni7,stpvni8,stpvni9,stpvni10,stpvni11,stpvni12,stpvni13,stpvni14,stpvni15,stpvni16,stpvni17,stpvni18
"01",1,"1131","285","227","68","0","0","0","0","0","551","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",2,"83","18","31","0","0","0","0","0","0","34","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",3,"5","0","1","0","0","0","0","0","0","4","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",4,"3","1","1","0","0","0","0","0","0","1","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",5,"1","0","0","0","0","0","0","0","0","1","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","0","0","0","0","0","0","0","0","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",9,"11","7","4","","","","","","","","","","","","","","","",""
"02",1,"9091","392","348","187","202","2613","107","0","0","158","2184","1573","0","483","527","0","0","0","317"
"02",2,"1254","52","42","27","10","50","1","0","0","11","492","338","0","121","28","0","0","0","82"
"02",3,"258","10","6","4","0","1","0","0","0","1","126","58","0","30","4","0","0","0","18"
"02",4,"101","2","0","1","0","0","0","0","0","0","53","24","0","17","1","0","0","0","3"
"02",5,"21","0","0","0","0","0","0","0","0","0","16","3","0","0","0","0","0","0","2"
"02",6,"35","0","0","0","0","0","0","0","0","0","19","4","0","6","0","0","0","0","6"
"02",9,"11","","","","","","","","","2","2","","","1","","","","","6"
"03",1,"1659","506","592","2","145","0","0","0","0","0","158","122","17","31","68","13","0","0","5"
"03",2,"239","124","64","2","33","0","0","0","0","0","11","4","0","1","0","0","0","0","0"
"03",3,"46","24","14","0","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"03",4,"16","8","4","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",5,"7","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",6,"17","4","9","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",9,"29","7","2","","5","","","","","","8","7","","","","","","",""
"04",1,"161","51","40","2","5","0","2","0","0","0","19","39","3","0","0","0","0","0","0"
"04",2,"30","7","16","0","0","0","0","0","0","0","4","3","NSS","0","0","0","0","0","0"
"04",3,"7","3","1","0","0","0","0","0","0","0","1","2","NSS","0","0","0","0","0","0"
"04",4,"2","1","1","0","0","0","0","0","0","0","0","0","NSS","0","0","0","0","0","0"
"04",5,"5","5","0","0","0","0","0","0","0","0","0","0","NSS","0","0","0","0","0","0"
"04",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",9,"7","","","","","","","","","","1","4","2","","","","","",""
"05",1,"1556","116","102","8","18","6","1","0","0","2","186","256","36","69","583","170","0","0","3"
