entidad,ran_edad,stpsextt,stpsex1,stpsex2,stpsex4,stpsex5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"NSS","NSS","NSS","NSS","NSS"
"01",11,"NSS","NSS","NSS","NSS","NSS"
"01",12,"NSS","NSS","NSS","NSS","NSS"
"01",13,"NSS","NSS","NSS","NSS","NSS"
"01",14,"575","311","264","NSS","NSS"
"02",1,"56","10","4","30","12"
"02",2,"189","15","20","56","98"
"02",3,"201","12","13","63","113"
"02",4,"226","22","14","98","92"
"02",5,"402","25","24","181","172"
"02",6,"482","33","26","208","215"
"02",7,"517","37","44","219","217"
"02",8,"523","38","33","236","216"
"02",9,"426","40","33","182","171"
"02",10,"377","37","16","182","142"
"02",11,"265","18","22","134","91"
"02",12,"222","28","13","122","59"
"02",13,"349","29","19","175","126"
"02",14,"1509","112","115","1006","276"
"03",1,"99","49","50","0","0"
"03",2,"12","7","5","0","0"
"03",3,"14","2","12","0","0"
"03",4,"12","3","8","1","0"
"03",5,"28","7","16","3","2"
"03",6,"46","11","25","4","6"
"03",7,"53","12","34","4","3"
"03",8,"47","10","29","2","6"
"03",9,"49","14","28","2","5"
"03",10,"31","13","14","2","2"
"03",11,"28","17","10","1","0"
"03",12,"20","9","10","1","0"
"03",13,"25","17","5","1","2"
"03",14,"1212","507","441","156","108"
"04",1,"1","0","1","0","0"
"04",2,"3","0","3","0","0"
"04",3,"1","1","0","0","0"
"04",4,"9","4","3","1","1"
"04",5,"6","1","3","1","1"
"04",6,"23","5","14","0","4"
"04",7,"18","5","4","1","8"
"04",8,"14","6","3","0","5"
"04",9,"25","11","7","3","4"
"04",10,"10","3","3","1","3"
"04",11,"12","7","3","0","2"
"04",12,"8","5","2","0","1"
"04",13,"11","8","1","1","1"
"04",14,"57","11","11","17","18"
"05",1,"9","3","4","0","2"
"05",2,"14","4","9","0","1"
"05",3,"22","4","12","0","6"
"05",4,"22","8","7","1","6"
"05",5,"41","10","14","3","14"
"05",6,"45","7","13","12","13"
"05",7,"50","13","9","4","24"
"05",8,"48","14","11","9","14"
"05",9,"58","15","14","11","18"
"05",10,"27","3","7","6","11"
"05",11,"37","12","5","14","6"
"05",12,"22","9","5","3","5"
"05",13,"33","16","5","6","6"
"05",14,"337","25","11","144","157"
"06",1,"6","4","2","0","0"
"06",2,"22","12","10","0","0"
"06",3,"14","6","8","0","0"
"06",4,"14","6","8","0","0"
"06",5,"17","9","8","0","0"
"06",6,"19","13","6","0","0"
"06",7,"21","9","12","0","0"
"06",8,"22","11","11","0","0"
"06",9,"22","13","9","0","0"
"06",10,"14","4","10","0","0"
"06",11,"18","13","5","0","0"
"06",12,"11","7","4","0","0"
"06",13,"16","8","8","0","0"
"06",14,"89","53","36","0","0"
"07",1,"43","17","22","0","4"
"07",2,"97","44","39","1","13"
"07",3,"88","31","48","4","5"
"07",4,"108","32","58","6","12"
"07",5,"133","19","39","34","41"
"07",6,"126","26","50","27","23"
"07",7,"133","32","55","25","21"
"07",8,"142","38","40","37","27"
"07",9,"115","37","36","24","18"
"07",10,"93","41","18","16","18"
"07",11,"87","37","22","19","9"
"07",12,"51","17","8","18","8"
"07",13,"113","43","14","33","23"
"07",14,"405","145","120","67","73"
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS","NSS"
"08",7,"NSS","NSS","NSS","NSS","NSS"
"08",8,"NSS","NSS","NSS","NSS","NSS"
"08",9,"NSS","NSS","NSS","NSS","NSS"
"08",10,"NSS","NSS","NSS","NSS","NSS"
"08",11,"NSS","NSS","NSS","NSS","NSS"
"08",12,"NSS","NSS","NSS","NSS","NSS"
"08",13,"NSS","NSS","NSS","NSS","NSS"
"08",14,"6109","NSS","NSS","3605","2504"
"09",1,"42","19","21","1","1"
"09",2,"108","31","68","7","2"
"09",3,"172","47","119","3","3"
"09",4,"477","224","217","14","22"
"09",5,"668","346","260","31","31"
"09",6,"636","341","247","25","23"
"09",7,"560","275","242","22","21"
"09",8,"524","304","180","12","28"
"09",9,"476","256","187","13","20"
"09",10,"346","171","144","19","12"
"09",11,"292","145","118","20","9"
"09",12,"179","102","59","5","13"
"09",13,"375","198","136","21","20"
"09",14,"4453","439","372","2068","1574"
"10",1,"3","0","0","0","3"
"10",2,"11","1","1","2","7"
"10",3,"15","1","2","3","9"
"10",4,"12","3","2","1","6"
"10",5,"3","1","0","0","2"
"10",6,"5","1","1","3","0"
"10",7,"5","0","3","0","2"
"10",8,"4","1","1","1","1"
"10",9,"3","1","0","1","1"
"10",10,"7","4","2","0","1"
"10",11,"3","2","1","0","0"
"10",12,"4","3","0","0","1"
"10",13,"10","4","2","2","2"
"10",14,"2511","17","19","1184","1291"
"12",1,"106","50","54","1","1"
"12",2,"192","89","100","1","2"
"12",3,"168","71","87","2","8"
"12",4,"161","55","102","1","3"
"12",5,"162","51","95","8","8"
"12",6,"154","54","92","4","4"
"12",7,"169","65","94","4","6"
"12",8,"180","63","105","7","5"
"12",9,"153","67","79","6","1"
"12",10,"140","60","72","6","2"
"12",11,"109","62","44","1","2"
"12",12,"102","54","44","0","4"
"12",13,"218","128","82","6","2"
"12",14,"698","239","305","98","56"
"13",1,"131","63","63","3","2"
"13",2,"261","106","142","1","12"
"13",3,"273","110","135","3","25"
"13",4,"231","87","126","5","13"
"13",5,"122","38","49","16","19"
"13",6,"164","55","56","24","29"
"13",7,"180","66","77","12","25"
"13",8,"180","58","69","25","28"
"13",9,"164","65","49","28","22"
"13",10,"129","50","44","18","17"
"13",11,"136","60","46","14","16"
"13",12,"108","51","35","12","10"
"13",13,"212","109","66","15","22"
"13",14,"788","135","137","301","215"
"14",1,"13","2","9","1","1"
"14",2,"33","20","13","0","0"
"14",3,"47","20","27","0","0"
"14",4,"115","51","59","1","4"
"14",5,"155","79","70","2","4"
"14",6,"163","82","74","3","4"
"14",7,"162","75","81","2","4"
"14",8,"153","75","71","0","7"
"14",9,"122","60","54","3","5"
"14",10,"139","72","66","0","1"
"14",11,"100","62","37","1","0"
"14",12,"79","40","32","3","4"
"14",13,"137","74","59","1","3"
"14",14,"1653","779","639","139","96"
"15",1,"NSS","NSS","NSS","0","0"
"15",2,"NSS","NSS","NSS","0","0"
"15",3,"NSS","NSS","NSS","0","0"
"15",4,"87","NSS","NSS","50","37"
"15",5,"265","NSS","NSS","153","112"
"15",6,"233","NSS","NSS","141","92"
"15",7,"229","NSS","NSS","133","96"
"15",8,"216","NSS","NSS","135","81"
"15",9,"225","NSS","NSS","145","80"
"15",10,"159","NSS","NSS","95","64"
"15",11,"115","NSS","NSS","72","43"
"15",12,"78","NSS","NSS","48","30"
"15",13,"142","NSS","NSS","88","54"
"15",14,"7534","NSS","NSS","4333","3201"
"16",1,"6","2","3","1","0"
"16",2,"9","1","5","2","1"
"16",3,"14","2","4","4","4"
"16",4,"26","3","6","10","7"
"16",5,"37","2","10","11","14"
"16",6,"35","10","8","9","8"
"16",7,"45","6","7","22","10"
"16",8,"49","10","8","26","5"
"16",9,"49","13","5","14","17"
"16",10,"44","8","6","19","11"
"16",11,"26","3","1","13","9"
"16",12,"15","0","4","4","7"
"16",13,"35","7","6","10","12"
"16",14,"1270","141","59","757","313"
"17",1,"5","0","0","2","3"
"17",2,"9","0","0","1","8"
"17",3,"9","0","0","1","8"
"17",4,"23","0","0","6","17"
"17",5,"9","0","0","4","5"
"17",6,"6","0","0","4","2"
"17",7,"7","0","0","1","6"
"17",8,"4","0","0","1","3"
"17",9,"7","0","0","4","3"
"17",10,"2","0","0","1","1"
"17",11,"5","0","0","2","3"
"17",12,"4","0","0","2","2"
"17",13,"10","0","0","4","6"
"17",14,"569","0","0","237","332"
"18",1,"55","30","20","0","5"
"18",2,"129","60","59","5","5"
"18",3,"122","36","72","4","10"
"18",4,"147","49","78","5","15"
"18",5,"135","51","44","9","31"
"18",6,"176","66","62","7","41"
"18",7,"195","61","63","14","57"
"18",8,"202","91","64","10","37"
"18",9,"168","76","62","7","23"
"18",10,"156","75","55","9","17"
"18",11,"157","83","56","6","12"
"18",12,"98","55","30","7","6"
"18",13,"240","142","63","16","19"
"18",14,"1103","290","189","291","333"
"19",1,"NSS","NSS","NSS","0","0"
"19",2,"676","NSS","NSS","379","297"
"19",3,"7","NSS","NSS","1","6"
"19",4,"21","NSS","NSS","3","18"
"19",5,"22","NSS","NSS","3","19"
"19",6,"38","NSS","NSS","12","26"
"19",7,"28","NSS","NSS","14","14"
"19",8,"33","NSS","NSS","9","24"
"19",9,"34","NSS","NSS","11","23"
"19",10,"19","NSS","NSS","8","11"
"19",11,"14","NSS","NSS","6","8"
"19",12,"14","NSS","NSS","7","7"
"19",13,"420","NSS","NSS","173","247"
"19",14,"5","1","3","0","1"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"20",10,"NSS","NSS","NSS","NSS","NSS"
"20",11,"NSS","NSS","NSS","NSS","NSS"
"20",12,"NSS","NSS","NSS","NSS","NSS"
"20",13,"NSS","NSS","NSS","NSS","NSS"
"20",14,"910","439","471","NSS","NSS"
"21",1,"5","2","1","1","1"
"21",2,"7","1","2","1","3"
"21",3,"11","3","5","1","2"
"21",4,"28","6","5","5","12"
"21",5,"39","13","6","5","15"
"21",6,"57","18","6","11","22"
"21",7,"65","24","9","6","26"
"21",8,"49","19","12","5","13"
"21",9,"40","11","11","9","9"
"21",10,"28","10","6","6","6"
"21",11,"31","9","10","8","4"
"21",12,"20","8","5","3","4"
"21",13,"50","16","14","11","9"
"21",14,"3647","470","474","888","1815"
"22",1,"11","1","0","1","9"
"22",2,"11","1","5","1","4"
"22",3,"19","4","7","4","4"
"22",4,"23","5","8","3","7"
"22",5,"22","10","5","5","2"
"22",6,"26","12","9","5","0"
"22",7,"26","21","3","2","0"
"22",8,"31","14","12","1","4"
"22",9,"31","15","11","3","2"
"22",10,"26","11","9","4","2"
"22",11,"27","11","7","8","1"
"22",12,"8","5","1","2","0"
"22",13,"34","19","8","4","3"
"22",14,"854","232","166","291","165"
"23",1,"6","2","2","1","1"
"23",2,"33","16","7","3","7"
"23",3,"16","2","9","5","0"
"23",4,"26","9","8","3","6"
"23",5,"49","14","13","11","11"
"23",6,"52","15","15","8","14"
"23",7,"51","11","19","4","17"
"23",8,"35","10","10","5","10"
"23",9,"53","17","12","10","14"
"23",10,"43","9","10","16","8"
"23",11,"21","8","4","7","2"
"23",12,"21","7","3","6","5"
"23",13,"38","14","3","12","9"
"23",14,"447","95","82","152","118"
"24",1,"23","10","13","NSS","NSS"
"24",2,"14","6","8","NSS","NSS"
"24",3,"91","38","53","NSS","NSS"
"24",4,"53","17","36","NSS","NSS"
"24",5,"134","86","48","NSS","NSS"
"24",6,"131","71","60","NSS","NSS"
"24",7,"130","49","81","NSS","NSS"
"24",8,"122","80","42","NSS","NSS"
"24",9,"60","40","20","NSS","NSS"
