entidad,ocupacio,stpsextt,stpsex1,stpsex2,stpsex4,stpsex5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"NSS","NSS","NSS","NSS","NSS"
"01",11,"575","311","264","NSS","NSS"
"02",1,"8","4","4","NSS","NSS"
"02",2,"46","27","19","NSS","NSS"
"02",3,"16","10","6","NSS","NSS"
"02",4,"119","70","49","NSS","NSS"
"02",5,"33","25","8","NSS","NSS"
"02",6,"10","5","5","NSS","NSS"
"02",7,"8","6","2","NSS","NSS"
"02",8,"24","17","7","NSS","NSS"
"02",9,"883","39","34","509","301"
"02",10,"121","45","76","NSS","NSS"
"02",11,"4476","208","186","2383","1699"
"03",1,"6","1","NSS","4","1"
"03",2,"9","0","NSS","7","2"
"03",3,"5","0","NSS","1","4"
"03",4,"15","0","NSS","7","8"
"03",5,"2","0","NSS","2","0"
"03",6,"5","0","NSS","4","1"
"03",7,"1","0","NSS","0","1"
"03",8,"NSS","0","NSS","0","0"
"03",9,"6","0","NSS","3","3"
"03",10,"11","0","NSS","2","9"
"03",11,"1616","677","687","147","105"
"04",1,"9","4","0","3","2"
"04",2,"29","16","6","1","6"
"04",3,"6","0","3","2","1"
"04",4,"18","8","8","0","2"
"04",5,"14","5","2","4","3"
"04",6,"14","14","0","0","0"
"04",7,"3","2","1","0","0"
"04",8,"1","1","0","0","0"
"04",9,"10","5","4","0","1"
"04",10,"42","4","25","1","12"
"04",11,"52","8","9","14","21"
"05",1,"5","0","1","3","1"
"05",2,"50","5","5","21","19"
"05",3,"23","4","4","4","11"
"05",4,"70","24","14","13","19"
"05",5,"1","1","0","0","0"
"05",6,"7","3","0","3","1"
"05",7,"4","0","0","3","1"
"05",8,"33","11","6","12","4"
"05",9,"53","15","12","10","16"
"05",10,"115","10","28","8","69"
"05",11,"404","70","56","136","142"
"06",1,"2","2","0","0","0"
"06",2,"13","9","4","0","0"
"06",3,"4","0","4","0","0"
"06",4,"25","14","11","0","0"
"06",5,"6","6","0","0","0"
"06",6,"11","11","0","0","0"
"06",7,"1","1","0","0","0"
"06",8,"1","1","0","0","0"
"06",9,"68","36","32","0","0"
"06",10,"43","15","28","0","0"
"06",11,"131","73","58","0","0"
"07",1,"40","22","3","14","1"
"07",2,"98","27","20","32","19"
"07",3,"28","6","10","4","8"
"07",4,"124","30","30","30","34"
"07",5,"30","10","5","13","2"
"07",6,"98","69","1","26","2"
"07",7,"29","9","13","6","1"
"07",8,"9","1","0","7","1"
"07",9,"34","4","11","11","8"
"07",10,"294","83","140","15","56"
"07",11,"950","298","336","153","163"
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS","NSS"
"08",7,"NSS","NSS","NSS","NSS","NSS"
"08",8,"NSS","NSS","NSS","NSS","NSS"
"08",9,"NSS","NSS","NSS","NSS","NSS"
"08",10,"NSS","NSS","NSS","NSS","NSS"
"08",11,"6109","NSS","NSS","3605","2504"
"09",1,"NSS","NSS","NSS","0","0"
"09",2,"6","NSS","NSS","3","3"
"09",3,"2","NSS","NSS","1","1"
"09",4,"18","NSS","NSS","10","8"
"09",5,"1","NSS","NSS","1","0"
"09",6,"NSS","NSS","NSS","0","0"
"09",7,"NSS","NSS","NSS","0","0"
"09",8,"4","NSS","NSS","4","0"
"09",9,"7","NSS","NSS","5","2"
"09",10,"17","NSS","NSS","5","12"
"09",11,"9253","2898","2370","2232","1753"
"10",1,"1","0","0","1","0"
"10",2,"9","4","0","2","3"
"10",3,"1","0","0","1","0"
"10",4,"10","1","3","5","1"
"10",5,"2","1","0","1","0"
"10",6,"20","10","2","7","1"
"10",7,"0","0","0","0","0"
"10",8,"5","2","0","3","0"
"10",9,"7","0","2","3","2"
"10",10,"176","1","7","89","79"
"10",11,"2365","20","20","1085","1240"
"12",1,"26","18","4","3","1"
"12",2,"134","59","69","1","5"
"12",3,"37","18","19","0","0"
"12",4,"162","62","90","6","4"
"12",5,"43","25","14","2","2"
"12",6,"136","116","7","7","6"
"12",7,"40","19","20","1","0"
"12",8,"2","1","0","1","0"
"12",9,"209","93","104","4","8"
"12",10,"582","187","379","5","11"
"12",11,"1341","510","649","115","67"
"13",1,"35","11","11","7","6"
"13",2,"255","92","105","28","30"
"13",3,"25","6","8","5","6"
"13",4,"245","103","61","44","37"
"13",5,"50","16","19","6","9"
"13",6,"100","84","7","8","1"
"13",7,"17","6","1","6","4"
"13",8,"46","34","2","9","1"
"13",9,"318","140","132","28","18"
"13",10,"669","247","363","6","53"
"13",11,"1319","314","385","330","290"
"14",1,"59","45","9","4","1"
"14",2,"128","70","47","6","5"
"14",3,"57","23","33","0","1"
"14",4,"335","196","133","2","4"
"14",5,"38","29","6","3","0"
"14",6,"8","6","0","2","0"
"14",7,"19","13","6","0","0"
"14",8,"4","3","0","1","0"
"14",9,"44","17","16","2","9"
"14",10,"214","77","126","2","9"
"14",11,"2165","1012","915","134","104"
"15",1,"87","NSS","NSS","63","24"
"15",2,"210","NSS","NSS","128","82"
"15",3,"5","NSS","NSS","4","1"
"15",4,"525","NSS","NSS","357","168"
"15",5,"24","NSS","NSS","21","3"
"15",6,"36","NSS","NSS","35","1"
"15",7,"12","NSS","NSS","12","0"
"15",8,"15","NSS","NSS","15","0"
"15",9,"27","NSS","NSS","23","4"
"15",10,"136","NSS","NSS","71","65"
"15",11,"8206","NSS","NSS","4664","3542"
"16",1,"11","0","0","9","2"
"16",2,"41","2","6","17","16"
"16",3,"9","0","0","6","3"
"16",4,"66","14","5","28","19"
"16",5,"5","1","2","2","0"
"16",6,"38","17","2","18","1"
"16",7,"1","0","0","1","0"
"16",8,"11","1","0","10","0"
"16",9,"981","8","0","689","284"
"16",10,"36","4","14","1","17"
"16",11,"461","161","103","121","76"
"17",1,"3","0","0","2","1"
"17",2,"10","0","0","4","6"
"17",3,"12","0","0","2","10"
"17",4,"18","0","0","6","12"
"17",5,"4","0","0","3","1"
"17",6,"3","0","0","3","0"
"17",7,"6","0","0","3","3"
"17",8,"8","0","0","6","2"
"17",9,"580","0","0","237","343"
"17",10,"17","0","0","3","14"
"17",11,"8","0","0","1","7"
"18",1,"27","16","5","3","3"
"18",2,"198","83","66","17","32"
"18",3,"29","12","11","1","5"
"18",4,"309","149","103","13","44"
"18",5,"32","14","4","2","12"
"18",6,"273","223","36","11","3"
"18",7,"38","13","20","3","2"
"18",8,"26","21","1","4","0"
"18",9,"164","70","61","11","22"
"18",10,"416","123","237","7","49"
"18",11,"1571","441","373","318","439"
"19",1,"1","NSS","NSS","1","0"
"19",2,"33","NSS","NSS","19","14"
"19",3,"94","NSS","NSS","52","42"
"19",4,"44","NSS","NSS","22","22"
"19",5,"58","NSS","NSS","30","28"
"19",6,"1","NSS","NSS","1","0"
"19",7,"NSS","NSS","NSS","0","0"
"19",8,"26","NSS","NSS","19","7"
"19",9,"1","NSS","1","0","0"
"19",10,"145","NSS","NSS","22","123"
"19",11,"928","1","2","460","465"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"20",10,"NSS","NSS","NSS","NSS","NSS"
"20",11,"910","439","471","NSS","NSS"
"21",1,"11","4","0","7","0"
"21",2,"33","13","13","3","4"
"21",3,"10","7","1","1","1"
"21",4,"103","42","16","16","29"
"21",5,"13","4","0","9","0"
"21",6,"50","34","2","12","2"
"21",7,"17","8","8","0","1"
"21",8,"12","2","1","8","1"
"21",9,"119","41","30","10","38"
"21",10,"252","27","67","36","122"
"21",11,"3457","428","428","858","1743"
"22",1,"9","8","1","0","0"
"22",2,"31","25","6","0","0"
"22",3,"6","5","1","0","0"
"22",4,"49","28","17","3","1"
"22",5,"5","4","0","1","0"
"22",6,"11","6","1","4","0"
"22",7,"4","4","0","0","0"
"22",8,"12","6","2","4","0"
"22",9,"26","11","9","3","3"
"22",10,"79","28","41","3","7"
"22",11,"917","236","173","316","192"
"23",1,"24","3","4","12","5"
"23",2,"33","4","5","14","10"
"23",3,"21","6","5","0","10"
"23",4,"61","23","16","12","10"
"23",5,"20","11","6","2","1"
"23",6,"13","8","0","5","0"
"23",7,"4","2","1","1","0"
"23",8,"3","2","0","1","0"
"23",9,"29","5","7","10","7"
"23",10,"92","22","34","9","27"
"23",11,"591","143","119","177","152"
"24",1,"13","10","3","NSS","NSS"
"24",2,"52","38","14","NSS","NSS"
"24",3,"34","15","19","NSS","NSS"
"24",4,"162","136","26","NSS","NSS"
"24",5,"18","12","6","NSS","NSS"
"24",6,"102","77","25","NSS","NSS"
"24",7,"9","2","7","NSS","NSS"
"24",8,"37","35","2","NSS","NSS"
"24",9,"124","70","54","NSS","NSS"
"24",10,"366","111","255","NSS","NSS"
"24",11,"88","55","33","NSS","NSS"
"25",1,"NSS","NSS","NSS","NSS","NSS"
"25",2,"NSS","NSS","NSS","NSS","NSS"
"25",3,"NSS","NSS","NSS","NSS","NSS"
"25",4,"NSS","NSS","NSS","NSS","NSS"
"25",5,"NSS","NSS","NSS","NSS","NSS"
"25",6,"NSS","NSS","NSS","NSS","NSS"
"25",7,"NSS","NSS","NSS","NSS","NSS"
"25",8,"NSS","NSS","NSS","NSS","NSS"
"25",9,"NSS","NSS","NSS","NSS","NSS"
"25",10,"NSS","NSS","NSS","NSS","NSS"
"25",11,"863","NSS","NSS","354","509"
"26",1,"23","18","1","4","0"
"26",2,"103","62","31","7","3"
"26",3,"20","13","6","1","0"
"26",4,"593","309","280","1","3"
"26",5,"224","135","86","3","0"
"26",6,"98","82","16","0","0"
"26",7,"5","5","0","0","0"
"26",8,"13","9","2","2","0"
"26",9,"655","240","408","2","5"
"26",10,"706","283","416","3","4"
"26",11,"1975","729","644","329","273"
"27",1,"13","3","3","4","3"
"27",2,"489","161","290","15","23"
"27",3,"13","4","2","3","4"
"27",4,"74","24","13","13","24"
"27",5,"16","1","0","5","10"
"27",6,"22","3","0","14","5"
"27",7,"10","2","0","2","6"
"27",8,"13","2","0","6","5"
"27",9,"321","86","113","17","105"
"27",10,"134","7","31","17","79"
"27",11,"1387","10","36","351","990"
"28",1,"NSS","NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS","NSS"
"28",3,"NSS","NSS","NSS","NSS","NSS"
"28",4,"NSS","NSS","NSS","NSS","NSS"
"28",5,"NSS","NSS","NSS","NSS","NSS"
"28",6,"NSS","NSS","NSS","NSS","NSS"
"28",7,"NSS","NSS","NSS","NSS","NSS"
"28",8,"NSS","NSS","NSS","NSS","NSS"
"28",9,"NSS","NSS","NSS","NSS","NSS"
"28",10,"NSS","NSS","NSS","NSS","NSS"
"28",11,"1604","454","333","328","489"
"29",1,"11","4","2","4","1"
"29",2,"52","21","13","10","8"
"29",3,"11","3","2","3","3"
"29",4,"90","37","22","17","14"
"29",5,"54","45","6","3","0"
"29",6,"36","31","1","4","0"
"29",7,"11","6","5","0","0"
"29",8,"12","2","0","10","0"
