entidad,tiposist,vicreg1,vicreg2,vicreg3,vicreg4,vicreg5,vicreg6,vicreg7,vicreg8,vicreg9
"01",1,"311","264","68","0","0","0","0","0","591"
"01",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"02",1,"456","396","219","212","2664","108","0","0","172"
"02",2,"2892","2000","0","658","560","0","0","0","434"
"03",1,"678","687","5","197","0","0","0","0","0"
"03",2,"177","134","17","32","68","13","0","0","5"
"04",1,"67","58","2","5","0","2","0","0","0"
"04",2,"25","48","5","0","0","0","0","0","0"
"05",1,"143","126","8","20","6","1","0","0","2"
"05",2,"213","283","43","70","591","172","0","0","4"
"06",1,"168","137","10","29","65","11","0","0","0"
"06",2,"0","0","0","0","0","0","0","0","0"
"07",1,"559","569","26","115","17","4","0","0","19"
"07",2,"311","295","90","74","193","8","0","0","48"
"08",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",2,"3605","2504","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",1,"2898","2370","13","595","1002","0","0","0","0"
"09",2,"2261","1779","61","1400","465","0","0","0","0"
"10",1,"39","34","2","10","0","0","0","0","0"
"10",2,"1197","1326","226","245","441","170","0","0","4"
"12",1,"1108","1355","49","151","80","0","0","0","6"
"12",2,"145","104","35","15","10","0","0","0","4"
"13",1,"1053","1094","2","218","10","0","0","0","13"
"13",2,"477","455","74","71","60","0","0","0","83"
"14",1,"1491","1291","585","608","963","27","0","0","570"
"14",2,"156","133","34","24","75","0","0","0","12"
"15",1,"NSS","NSS","394","NSS","NSS","NSS","NSS","NSS","405"
"15",2,"5393","3890","509","962","129","1328","0","0","447"
"16",1,"208","132","10","27","13","0","0","0","2"
"16",2,"902","418","4","123","150","8","0","0","0"
"17",1,"0","0","0","0","0","0","0","0","0"
"17",2,"270","399","18","179","25","0","0","0","16"
"18",1,"1165","917","45","131","143","9","0","0","23"
"18",2,"390","611","220","32","229","1","0","0","15"
"19",1,"1","3","14","1","0","0","0","0","1274"
"19",2,"626","701","17","16","2","0","0","0","7995"
"20",1,"439","471","13","36","107","0","0","0","9"
"20",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",1,"610","566","180","249","250","53","0","0","89"
"21",2,"960","1941","154","89","142","2","0","0","28"
"22",1,"361","251","31","132","40","19","0","0","3"
"22",2,"334","203","25","60","156","23","0","0","10"
"23",1,"229","197","72","66","58","3","0","0","51"
"23",2,"243","222","40","39","112","3","0","0","6"
"24",1,"561","444","174","161","348","55","30","11","11"
"24",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",2,"354","509","80","243","0","0","0","0","0"
"26",1,"1885","1890","450","234","1016","0","0","0","460"
"26",2,"352","288","17","100","203","18","0","0","2"
"27",1,"303","488","280","56","6","0","0","0","157"
"27",2,"447","1254","0","0","0","0","0","0","89"
"28",1,"454","333","818","356","0","0","0","0","0"
"28",2,"328","489","2","79","0","0","0","0","0"
"29",1,"546","355","18","83","28","0","0","0","3"
"29",2,"86","70","11","14","11","3","0","0","2"
"30",1,"938","1087","282","150","6","19","0","0","6"
"30",2,"516","594","260","61","15","11","0","0","12"
"31",1,"130","221","2","11","0","4","0","0","0"
"31",2,"276","224","35","20","4","115","0","0","5"
"32",1,"925","437","6","51","0","0","0","0","74"
"32",2,"777","618","33","106","28","2","0","0","5"
