entidad,relvicti,stpsextt,stpsex1,stpsex2,stpsex4,stpsex5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"776","459","317","NSS","NSS"
"02",1,"18","10","8","NSS","NSS"
"02",2,"1","1","0","NSS","NSS"
"02",3,"29","0","29","NSS","NSS"
"02",4,"7","2","5","NSS","NSS"
"02",5,"14","4","10","NSS","NSS"
"02",6,"126","64","62","NSS","NSS"
"02",7,"NSS","0","0","NSS","NSS"
"02",8,"30","15","15","NSS","NSS"
"02",9,"567","340","227","NSS","NSS"
"02",10,"5943","103","79","3508","2253"
"03",1,"1","NSS","NSS","0","1"
"03",2,"NSS","NSS","NSS","0","0"
"03",3,"5","NSS","NSS","0","5"
"03",4,"1","NSS","NSS","1","0"
"03",5,"4","NSS","NSS","0","4"
"03",6,"12","NSS","NSS","6","6"
"03",7,"NSS","NSS","NSS","0","0"
"03",8,"6","NSS","1","0","5"
"03",9,"103","NSS","NSS","61","42"
"03",10,"1903","880","797","136","90"
"04",1,"0","0","0","0","0"
"04",2,"0","0","0","0","0"
"04",3,"17","1","9","0","7"
"04",4,"8","6","1","1","0"
"04",5,"11","1","6","0","4"
"04",6,"13","2","8","0","3"
"04",7,"1","1","0","0","0"
"04",8,"10","5","4","0","1"
"04",9,"240","100","93","21","26"
"04",10,"14","1","1","5","7"
"05",1,"0","0","0","0","0"
"05",2,"1","0","0","1","0"
"05",3,"65","0","13","3","49"
"05",4,"8","4","1","3","0"
"05",5,"47","2","15","3","27"
"05",6,"70","18","29","5","18"
"05",7,"1","0","0","1","0"
"05",8,"29","1","5","11","12"
"05",9,"740","338","112","177","113"
"05",10,"217","14","9","102","92"
"06",1,"0","0","0","0","0"
"06",2,"0","0","0","0","0"
"06",3,"6","0","6","0","0"
"06",4,"2","2","0","0","0"
"06",5,"16","6","10","0","0"
"06",6,"101","48","53","0","0"
"06",7,"0","0","0","0","0"
"06",8,"14","7","7","0","0"
"06",9,"198","125","73","0","0"
"06",10,"14","13","1","0","0"
"07",1,"10","0","4","0","6"
"07",2,"1","0","0","1","0"
"07",3,"111","5","92","0","14"
"07",4,"16","5","9","2","0"
"07",5,"75","10","51","2","12"
"07",6,"352","155","164","10","23"
"07",7,"13","7","6","0","0"
"07",8,"50","8","35","2","5"
"07",9,"1399","626","284","320","169"
"07",10,"416","62","63","165","126"
"08",1,"NSS","NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS","NSS"
"08",7,"NSS","NSS","NSS","NSS","NSS"
"08",8,"NSS","NSS","NSS","NSS","NSS"
"08",9,"NSS","NSS","NSS","NSS","NSS"
"08",10,"6109","NSS","NSS","3605","2504"
"09",1,"137","1","3","57","76"
"09",2,"5","3","0","2","0"
"09",3,"189","2","53","5","129"
"09",4,"19","6","4","0","9"
"09",5,"83","7","23","8","45"
"09",6,"231","46","80","38","67"
"09",7,"5","1","3","1","0"
"09",8,"118","17","25","18","58"
"09",9,"3310","626","417","1394","873"
"09",10,"5211","2189","1762","738","522"
"10",1,"3","0","0","0","3"
"10",2,"1","0","0","1","0"
"10",3,"117","0","1","2","114"
"10",4,"29","5","0","15","9"
"10",5,"189","0","0","13","176"
"10",6,"165","21","16","40","88"
"10",7,"3","0","1","2","0"
"10",8,"146","1","1","12","132"
"10",9,"1899","35","18","1079","767"
"10",10,"656","20","10","367","259"
"12",1,"1","1","0","0","0"
"12",2,"117","109","8","0","0"
"12",3,"199","12","177","0","10"
"12",4,"22","11","9","0","2"
"12",5,"244","30","201","4","9"
"12",6,"743","322","402","6","13"
"12",7,"4","1","1","1","1"
"12",8,"42","13","26","1","2"
"12",9,"2942","1570","1131","166","75"
"12",10,"1207","833","284","69","21"
"13",1,"17","1","2","2","12"
"13",2,"1","0","1","0","0"
"13",3,"118","3","80","3","32"
"13",4,"31","13","14","1","3"
"13",5,"208","48","130","2","28"
"13",6,"1004","453","501","14","36"
"13",7,"13","4","6","2","1"
"13",8,"126","51","57","5","13"
"13",9,"1873","925","549","236","163"
"13",10,"803","72","80","368","283"
"14",1,"2","1","1","0","0"
"14",2,"22","12","10","0","0"
"14",3,"128","1","93","1","33"
"14",4,"37","27","10","0","0"
"14",5,"121","25","87","0","9"
"14",6,"184","83","83","8","10"
"14",7,"33","24","9","0","0"
"14",8,"156","103","52","0","1"
"14",9,"2471","1417","845","148","61"
"14",10,"689","311","289","54","35"
"15",1,"17","NSS","NSS","5","12"
"15",2,"49","NSS","NSS","47","2"
"15",3,"89","NSS","NSS","17","72"
"15",4,"70","NSS","NSS","39","31"
"15",5,"150","NSS","NSS","39","111"
"15",6,"337","NSS","NSS","148","189"
"15",7,"1","NSS","NSS","0","1"
"15",8,"341","NSS","NSS","158","183"
"15",9,"6255","NSS","NSS","4048","2207"
"15",10,"6279","NSS","NSS","3797","2482"
"16",1,"0","0","0","0","0"
"16",2,"0","0","0","0","0"
"16",3,"24","1","2","3","18"
"16",4,"32","0","0","14","18"
"16",5,"29","3","7","7","12"
"16",6,"74","7","5","23","39"
"16",7,"1","0","0","0","1"
"16",8,"31","10","6","5","10"
"16",9,"671","50","33","459","129"
"16",10,"2068","272","101","1315","380"
"17",1,"1","0","0","0","1"
"17",2,"1","0","0","1","0"
"17",3,"46","0","0","1","45"
"17",4,"30","0","0","17","13"
"17",5,"38","0","0","1","37"
"17",6,"71","0","0","20","51"
"17",7,"3","0","0","0","3"
"17",8,"42","0","0","12","30"
"17",9,"429","0","0","236","193"
"17",10,"112","0","0","41","71"
"18",1,"4","1","3","0","0"
"18",2,"0","0","0","0","0"
"18",3,"142","13","64","2","63"
"18",4,"41","19","12","8","2"
"18",5,"185","18","49","4","114"
"18",6,"712","212","221","120","159"
"18",7,"4","0","4","0","0"
"18",8,"120","21","52","14","33"
"18",9,"1864","962","596","187","119"
"18",10,"528","192","87","106","143"
"19",1,"NSS","NSS","NSS","NSS","NSS"
"19",2,"NSS","NSS","NSS","NSS","NSS"
"19",3,"NSS","NSS","NSS","NSS","NSS"
"19",4,"NSS","NSS","NSS","NSS","NSS"
"19",5,"NSS","NSS","NSS","NSS","NSS"
"19",6,"NSS","NSS","NSS","NSS","NSS"
"19",7,"NSS","NSS","NSS","NSS","NSS"
"19",8,"1","NSS","1","NSS","NSS"
"19",9,"NSS","NSS","NSS","NSS","NSS"
"19",10,"917","1","2","431","483"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"20",10,"1054","516","538","NSS","NSS"
"21",1,"3","0","1","0","2"
"21",2,"0","0","0","0","0"
"21",3,"519","2","27","19","471"
"21",4,"21","3","5","4","9"
"21",5,"142","6","21","16","99"
"21",6,"221","18","33","53","117"
"21",7,"11","1","2","5","3"
"21",8,"146","68","40","7","31"
"21",9,"1458","371","263","499","325"
"21",10,"2846","547","450","727","1122"
"22",1,"1","0","0","0","1"
"22",2,"0","0","0","0","0"
"22",3,"17","1","6","1","9"
"22",4,"15","7","5","2","1"
"22",5,"27","4","15","2","6"
"22",6,"141","62","51","12","16"
"22",7,"1","0","0","1","0"
"22",8,"60","12","16","12","20"
"22",9,"1057","301","139","421","196"
"22",10,"339","119","76","95","49"
"23",1,"6","0","0","0","6"
"23",2,"0","0","0","0","0"
"23",3,"29","1","15","0","13"
"23",4,"5","3","1","1","0"
"23",5,"15","3","10","0","2"
"23",6,"103","47","31","17","8"
"23",7,"3","1","2","0","0"
"23",8,"37","7","7","3","20"
"23",9,"653","211","116","216","110"
"23",10,"313","78","47","104","84"
"24",1,"3","2","1","NSS","NSS"
"24",2,"3","3","NSS","NSS","NSS"
"24",3,"145","36","109","NSS","NSS"
"24",4,"17","9","8","NSS","NSS"
"24",5,"79","16","63","NSS","NSS"
"24",6,"73","26","47","NSS","NSS"
"24",7,"8","5","3","NSS","NSS"
"24",8,"14","5","9","NSS","NSS"
"24",9,"471","323","148","NSS","NSS"
"24",10,"192","136","56","NSS","NSS"
"25",1,"NSS","NSS","NSS","NSS","NSS"
"25",2,"NSS","NSS","NSS","NSS","NSS"
"25",3,"NSS","NSS","NSS","NSS","NSS"
"25",4,"NSS","NSS","NSS","NSS","NSS"
"25",5,"NSS","NSS","NSS","NSS","NSS"
"25",6,"NSS","NSS","NSS","NSS","NSS"
"25",7,"NSS","NSS","NSS","NSS","NSS"
"25",8,"NSS","NSS","NSS","NSS","NSS"
"25",9,"NSS","NSS","NSS","NSS","NSS"
"25",10,"1006","NSS","NSS","475","531"
"26",1,"NSS","NSS","NSS","0","0"
"26",2,"NSS","NSS","NSS","0","0"
"26",3,"14","NSS","NSS","0","14"
"26",4,"2","NSS","NSS","1","1"
"26",5,"14","NSS","NSS","1","13"
"26",6,"29","NSS","NSS","12","17"
"26",7,"1","NSS","NSS","0","1"
"26",8,"4","NSS","NSS","0","4"
"26",9,"428","NSS","NSS","277","151"
"26",10,"5749","3072","2387","156","134"
"27",1,"0","0","0","0","0"
"27",2,"1","0","1","0","0"
"27",3,"96","3","93","0","0"
"27",4,"4","2","2","0","0"
"27",5,"76","8","68","0","0"
"27",6,"100","37","63","0","0"
"27",7,"10","2","8","0","0"
"27",8,"22","7","15","0","0"
"27",9,"646","380","266","0","0"
"27",10,"2486","52","51","748","1635"
"28",1,"2","1","1","0","0"
"28",2,"2","1","1","0","0"
"28",3,"124","3","19","6","96"
"28",4,"11","4","2","3","2"
"28",5,"97","0","9","12","76"
"28",6,"203","67","57","30","49"
"28",7,"1","0","0","0","1"
"28",8,"65","4","8","3","50"
"28",9,"705","219","118","230","138"
"28",10,"394","155","118","44","77"
"29",1,"1","0","1","0","0"
"29",2,"0","0","0","0","0"
"29",3,"2","1","1","0","0"
"29",4,"2","2","0","0","0"
"29",5,"13","7","1","1","4"
"29",6,"301","156","140","3","2"
"29",7,"19","10","9","0","0"
"29",8,"20","3","8","2","7"
"29",9,"839","469","227","84","59"
"29",10,"233","121","84","17","11"
"30",1,"13","5","1","0","7"
"30",2,"6","3","1","1","1"
"30",3,"252","6","193","2","51"
"30",4,"52","28","14","8","2"
"30",5,"176","20","64","11","81"
"30",6,"629","225","253","62","89"
"30",7,"4","1","3","0","0"
"30",8,"570","218","262","29","61"
"30",9,"2166","949","566","396","255"
"30",10,"748","80","106","336","226"
"31",1,"0","0","0","0","0"
"31",2,"1","0","0","0","1"
"31",3,"23","0","7","4","12"
"31",4,"3","0","1","1","1"
"31",5,"50","0","41","2","7"
"31",6,"47","19","12","5","11"
"31",7,"0","0","0","0","0"
"31",8,"88","6","68","3","11"
"31",9,"660","131","97","279","153"
"31",10,"304","12","9","157","126"
"32",1,"7","NSS","NSS","0","7"
"32",2,"NSS","NSS","NSS","0","0"
"32",3,"22","NSS","NSS","0","22"
"32",4,"6","NSS","NSS","4","2"
"32",5,"58","NSS","NSS","12","46"
"32",6,"140","NSS","NSS","68","72"
"32",7,"NSS","NSS","NSS","0","0"
