entidad,delitos,raedadtt,raedad1,raedad2,raedad3,raedad4,raedad5,raedad6,raedad7,raedad8,raedad9,raedad10,raedad11,raedad12,raedad13,raedad14
"07",90502,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",90503,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",90509,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",90599,"","","","","","","","","","","","","","",""
"07",90600,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",90700,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",90701,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",90709,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",90799,"","","","","","","","","","","","","","",""
"07",90800,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",90900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",91000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",91100,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",91200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",91300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",91400,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",91500,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",91600,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",91900,"61","0","0","0","0","1","1","3","2","1","3","0","2","0","48"
"07",999999,"","","","","","","","","","","","","","",""
"08",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",10200,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"08",10300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",10900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20300,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20400,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"08",20500,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20601,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20603,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20699,"","","","","","","","","","","","","","",""
"08",20900,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",30100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",30200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",30300,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",30400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",30500,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",30600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",30700,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",30900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",40101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",40102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40103,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",40104,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40105,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40107,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40108,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40109,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40110,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40111,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40112,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40113,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40114,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",40115,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",40116,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
