entidad,stpvnitt,stpvni1,stpvni2,stpvni3,stpvni4,stpvni5,stpvni6,stpvni7,stpvni8,stpvni9,stpvni10,stpvni11,stpvni12,stpvni13,stpvni14,stpvni15,stpvni16,stpvni17,stpvni18
"01","1329","325","296","68","0","0","0","0","0","640","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"02","13185","534","450","257","222","2716","109","0","0","183","4021","2579","0","922","599","0","0","0","593"
"03","2568","919","874","10","316","0","0","0","0","0","180","133","17","33","68","13","0","0","5"
"04","275","103","79","2","5","0","2","0","0","0","30","51","3","0","0","0","0","0","0"
"05","1835","177","160","8","23","6","1","0","0","2","245","312","51","71","600","174","0","0","5"
"06","522","206","178","17","32","77","12","0","0","0","0","0","0","0","0","0","0","0","0"
"07","2627","667","585","28","169","34","8","0","0","21","354","319","99","81","203","8","0","0","51"
"08","9720","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","6258","3385","NSS","77","NSS","NSS","NSS","NSS","NSS"
"09","17895","4628","4327","30","1084","1649","0","0","0","0","2376","1851","61","1413","476","0","0","0","0"
"10","4462","45","38","2","12","0","0","0","0","0","1456","1758","271","257","445","172","0","0","6"
"12","3501","1276","1547","50","166","81","0","0","0","6","185","118","40","17","11","0","0","0","4"
"13","3895","1118","1148","2","227","10","0","0","0","13","558","516","77","79","63","0","0","0","84"
"14","6995","1797","1620","622","645","1080","37","0","0","622","204","193","40","30","91","0","0","0","14"
"15","15013","NSS","NSS","394","NSS","NSS","NSS","NSS","NSS","1405","5648","4068","529","975","134","1397","0","0","463"
"16","2288","288","122","15","39","15","0","0","0","2","1012","460","5","137","184","9","0","0","0"
"17","961","0","0","0","0","0","0","0","0","0","289","428","17","180","27","0","0","0","20"
"18","4647","1358","1098","87","154","168","13","0","0","27","454","682","296","34","260","1","0","0","15"
"19","1023","1","4","17","1","0","0","0","0","6","391","549","23","16","2","0","0","0","13"
"20","1167","470","523","16","39","109","0","0","0","10","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21","6065","727","653","203","256","265","57","0","0","62","1179","2158","201","101","161","3","0","0","39"
"22","1450","263","191","32","90","27","15","0","0","2","340","212","25","63","158","22","0","0","10"
"23","1443","267","215","84","66","66","4","0","0","6","277","252","46","40","112","3","0","0","5"
"24","1297","585","490","103","71","36","5","5","2","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25","1426","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","420","667","90","249","0","0","0","0","0"
"26","8114","2230","2158","470","282","1179","0","0","0","644","433","355","21","101","217","22","0","0","2"
"27","3552","412","614","284","66","6","0","0","0","182","523","1370","0","0","0","0","0","0","95"
"28","4265","752","500","1647","356","0","0","0","0","0","386","540","5","79","0","0","0","0","0"
"29","1307","602","374","20","92","32","0","0","0","3","75","67","11","14","11","4","0","0","2"
"30","4665","1123","1250","309","191","8","31","0","0","11","647","674","296","66","19","18","0","0","22"
"31","1281","162","250","7","12","0","6","0","0","0","360","278","43","24","4","130","0","0","5"
"32","4643","1735","681","53","84","0","0","0","0","113","967","793","64","113","32","3","0","0","5"
