ocupacio,descrip
1,"Funcionarios, directores y jefes"
2,"Profesionistas y técnicos"
3,"Trabajadores auxiliares en actividades administrativas"
4,"Comerciantes, empleados en ventas y agentes de ventas"
5,"Trabajadores en servicios personales y vigilancia"
6,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca"
7,"Trabajadores artesanales"
8,"Operadores de maquina industrial, ensambladores, choferes y conductores de transporte"
9,"Trabajadores en actividades elementales y de apoyo"
10,"No ejercía ninguna ocupación"
11,"No identificado"
