catadcoa,descrip
11,"Adolescentes inculpados por 1 conducta antisocial del fuero común"
12,"Adolescentes inculpados por 2 conductas antisociales del fuero común"
13,"Adolescentes inculpados por 3 conductas antisociales del fuero común"
14,"Adolescentes inculpados por 4 conductas antisociales del fuero común"
15,"Adolescentes inculpados por 5 conductas antisociales del fuero común"
16,"Adolescentes inculpados por 6 o más conductas antisociales del fuero común"
21,"Adolescentes inculpados por 1 conducta antisocial del fuero federal"
22,"Adolescentes inculpados por 2 conductas antisociales del fuero federal"
23,"Adolescentes inculpados por 3 conductas antisociales del fuero federal"
24,"Adolescentes inculpados por 4 conductas antisociales del fuero federal"
25,"Adolescentes inculpados por 5 conductas antisociales del fuero federal"
26,"Adolescentes inculpados por 6 o más conductas antisociales del fuero federal"
99,"No especificado"
