coansele,descrip
1,"Homicidio doloso"
2,"Robo a casa habitación con violencia"
3,"Robo de vehículo con violencia"
4,"Robo a transeúnte en vía pública con violencia"
5,"Robo a transeúnte en espacio abierto al público con violencia"
6,"Robo a transportista con violencia"
7,"Robo en transporte público individual con violencia"
8,"Robo en transporte público colectivo con violencia"
9,"Robo en transporte individual con violencia"
10,"Robo a institución bancaria con violencia"
11,"Robo a negocio con violencia"
12,"Robo de ganado con violencia"
13,"Robo de maquinaria con violencia"
14,"Robo de autopartes con violencia"
15,"Otros robos con violencia"
