cond_ant,descrip
10100,"La vida y la integridad corporal - Homicidio"
10200,"La vida y la integridad corporal - Feminicidio"
10300,"La vida y la integridad corporal - Aborto"
10400,"La vida y la integridad corporal - Lesiones"
10900,"La vida y la integridad corporal - Otros delitos que atentan contra la vida y la integridad corporal"
20100,"La libertad personal - Privación de la libertad"
20200,"La libertad personal - Tráfico de menores"
20300,"La libertad personal - Retención o sustracción de menores e incapaces"
20400,"La libertad personal - Rapto"
20500,"La libertad personal - Desaparición forzada"
20600,"La libertad personal - Secuestro"
20601,"La libertad personal - Secuestro - Secuestro extorsivo"
20602,"La libertad personal - Secuestro - Secuestro con calidad de rehén"
20603,"La libertad personal - Secuestro - Secuestro para causar daños"
20604,"La libertad personal - Secuestro - Secuestro exprés"
20609,"La libertad personal - Secuestro - Otro tipo de secuestros"
20699,"La libertad personal - Secuestro - No especificado"
20900,"La libertad personal - Otros delitos que atentan contra la libertad personal"
30100,"La libertad y la seguridad sexual - Abuso sexual"
30200,"La libertad y la seguridad sexual - Acoso sexual"
30300,"La libertad y la seguridad sexual - Hostigamiento sexual"
30400,"La libertad y la seguridad sexual - Violación"
30500,"La libertad y la seguridad sexual - Violación equiparada"
30600,"La libertad y la seguridad sexual - Estupro"
30700,"La libertad y la seguridad sexual - Incesto"
30900,"La libertad y la seguridad sexual - Otros delitos que atentan contra la libertad y seguridad sexual"
40100,"El patrimonio - Robo"
40101,"El patrimonio - Robo - Robo simple"
40102,"El patrimonio - Robo - Robo a casa habitación"
40103,"El patrimonio - Robo - Robo de vehículo"
40104,"El patrimonio - Robo - Robo de autopartes"
40105,"El patrimonio - Robo - Robo a transeúnte en vía pública"
40106,"El patrimonio - Robo - Robo a transeúnte en espacio abierto al público"
40107,"El patrimonio - Robo - Robo a persona en un lugar privado"
40108,"El patrimonio - Robo - Robo a transportista"
40109,"El patrimonio - Robo - Robo en transporte público individual"
40110,"El patrimonio - Robo - Robo en transporte público colectivo"
40111,"El patrimonio - Robo - Robo en transporte individual"
40112,"El patrimonio - Robo - Robo a institución bancaria"
40113,"El patrimonio - Robo - Robo a negocio"
40114,"El patrimonio - Robo - Robo de ganado"
40115,"El patrimonio - Robo - Robo de maquinaria"
40116,"El patrimonio - Robo - Robo de energía eléctrica"
40119,"El patrimonio - Robo - Otros robos"
40199,"El patrimonio - Robo - No especificado"
40200,"El patrimonio - Sustracción de hidrocarburos"
40300,"El patrimonio - Fraude"
40400,"El patrimonio - Abuso de confianza"
40500,"El patrimonio - Extorsión"
40501,"El patrimonio - Extorsión - Extorsión cometida por vía telefónica o cualquier otro medio electrónico o de comunicación"
40509,"El patrimonio - Extorsión - Otro tipo de extorsión"
40599,"El patrimonio - Extorsión - No especificado"
40600,"El patrimonio - Daño a la propiedad"
40700,"El patrimonio - Despojo"
40900,"El patrimonio - Otros delitos que atentan contra el patrimonio"
50100,"La familia - Violencia familiar"
50200,"La familia - Incumplimiento de obligaciones familiares"
50900,"La familia - Otros delitos contra la familia"
60100,"La sociedad - Delitos contra el libre desarrollo de la personalidad"
60101,"La sociedad - Delitos contra el libre desarrollo de la personalidad - Corrupción de menores e incapaces"
60102,"La sociedad - Delitos contra el libre desarrollo de la personalidad - Prostitución de menores e incapaces"
60103,"La sociedad - Delitos contra el libre desarrollo de la personalidad - Pornografía infantil"
60104,"La sociedad - Delitos contra el libre desarrollo de la personalidad - Lenocinio"
60105,"La sociedad - Delitos contra el libre desarrollo de la personalidad - Turismo Sexual"
60106,"La sociedad - Delitos contra el libre desarrollo de la personalidad - Pederastia"
60109,"La sociedad - Delitos contra el libre desarrollo de la personalidad - Otros delitos contra el libre desarrollo de la personalidad"
60199,"La sociedad - Delitos contra el libre desarrollo de la personalidad - No especificado"
60200,"La sociedad - Trata de personas"
60201,"La sociedad - Trata de personas - Trata de personas con fines de explotación sexual"
60202,"La sociedad - Trata de personas - Trata de personas con fines de trabajo o servicios forzados"
60203,"La sociedad - Trata de personas - Trata de personas con fines de tráfico de órganos"
60209,"La sociedad - Trata de personas - Trata de personas con otros fines de explotación"
60299,"La sociedad - Trata de personas - No especificado"
60300,"La sociedad - Violencia de género en todas sus modalidades distinta a la violencia familiar"
60400,"La sociedad - Discriminación"
60900,"La sociedad - Otros delitos contra la sociedad"
70100,"La seguridad pública y la seguridad del Estado - Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo"
70101,"La seguridad pública y la seguridad del Estado - Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión simple"
70102,"La seguridad pública y la seguridad del Estado - Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión con fines de comercio o suministro"
70103,"La seguridad pública y la seguridad del Estado - Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Comercio de narcóticos"
70104,"La seguridad pública y la seguridad del Estado - Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Suministro de narcóticos"
70109,"La seguridad pública y la seguridad del Estado - Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Otros delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo"
70199,"La seguridad pública y la seguridad del Estado - Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - No especificado"
