delconsu,descrip
10101,"Homicidio doloso"
40102,"Robo a casa habitación con violencia"
40103,"Robo de vehículo con violencia"
40104,"Robo de autopartes con violencia"
40105,"Robo a transeúnte en vía pública con violencia"
40106,"Robo a transeúnte en espacio abierto al público con violencia"
40108,"Robo a transportista con violencia"
40109,"Robo en transporte público individual con violencia"
40110,"Robo en transporte público colectivo con violencia"
40111,"Robo en transporte individual con violencia"
40112,"Robo a institución bancaria con violencia"
40113,"Robo a negocio con violencia"
40114,"Robo de ganado con violencia"
40115,"Robo de maquinaria con violencia"
40199,"Otros robos con violencia"
99999,"No especificado"
