desi_con,descrip
0,"No aplica"
1,"Presidente del Tribunal Superior de Justicia"
2,"Pleno del Tribunal Superior de Justicia"
3,"Consejo de la Judicatura"
4,"Consejo de la Judicatura a propuesta de alguna otra instancia"
5,"Gobernador o Jefe de Gobierno de la Ciudad de México"
6,"Congreso local o Asamblea Legislativa de la Ciudad de México"
7,"Congreso local o Asamblea Legislativa de la Ciudad de México a propuesta de alguna instancia del Poder Judicial"
8,"Congreso local o Asamblea Legislativa de la Ciudad de México a propuesta de alguna instancia distinta del Poder Judicial"
9,"Otra"
99,"No se sabe"
