fun_oadm,descrip
1,"Oficina de la Presidencia"
2,"Secretaría General de Acuerdos"
3,"Judicatura"
4,"Escuela o Instituto Judicial"
5,"Visitaduría Judicial"
6,"Servicios Periciales"
7,"Fondo para la Administración de Justicia"
8,"Biblioteca"
9,"Archivo"
10,"Oficialía Mayor o Administración"
11,"Recursos Humanos"
12,"Recursos Presupuestales"
13,"Recursos Materiales"
14,"Servicios Generales"
15,"Informática"
16,"Asuntos Jurídicos"
17,"Contraloría Interna"
18,"Comunicación Social"
19,"Planeación y/o Evaluación"
20,"Transparencia, Acceso a la Información y Protección de Datos Personales"
21,"Otras"
99,"No especificado"
